Equipment,Hour_0,Hour_1,Hour_2,Hour_3,Hour_4,Hour_5,Hour_6,Hour_7,Hour_8,Hour_9,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Hour_19,Hour_20,Hour_21,Hour_22,Hour_23
DCS 1 TrFO PO Occ SM 1 CH 3 SHLF 2 Type GQPH-33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DCS 1 TrFO PO Occ SM 1 CH 12 SHLF 4 Type GQPH-33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DCS 1 TrFO PO Occ SM 1 CH 15 SHLF 2 Type SIPT-E2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DCS 1 TrFO PO Occ SM 1 CH 15 SHLF 4 Type SIPT-E2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DCS 1 TrFO OVLD SM 1 CH 0 SHLF 3 Type SIPT-E2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DCS 1 TrFO OVLD SM 1 CH 0 SHLF 4 Type SIPT-E2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DCS 1 TrFO OVLD SM 1 CH 3 SHLF 2 Type GQPH-33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DCS 1 TrFO OVLD SM 1 CH 12 SHLF 4 Type GQPH-33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DCS 1 TrFO OVLD SM 1 CH 15 SHLF 2 Type SIPT-E2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DCS 1 TrFO OVLD SM 1 CH 15 SHLF 4 Type SIPT-E2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DCS 1 TrFO CVTGTT Erlangs TG 1362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DCS 1 TrFO CVTGTT TG 1362 In Service Utilization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DCS 1 TrFO CVTGTT TG 1362 Percent Trunks In Service,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
DCS 1 TrFO PVTGTT Erlangs TG 1762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DCS 1 TrFO PVTGTT TG 1762 In Service Utilization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DCS 1 TrFO PVTGTT TG 1762 Percent Trunks In Service,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
DCS 1 TrFO PFSTGTT Erlangs TG 1882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DCS 1 TrFO PFSTGTT TG 1882 In Service Utilization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DCS 1 TrFO PFSTGTT TG 1882 Percent Trunks In Service,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
DCS 1 TrFO PFSTGTT Erlangs TG 1883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DCS 1 TrFO PFSTGTT TG 1883 In Service Utilization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DCS 1 TrFO PFSTGTT TG 1883 Percent Trunks In Service,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
DCS 1 TrFO PFSTGTT Erlangs TG 1884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DCS 1 TrFO PFSTGTT TG 1884 In Service Utilization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DCS 1 TrFO PFSTGTT TG 1884 Percent Trunks In Service,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
DCS 1 TrFO PFSTGTT Erlangs TG 1885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DCS 1 TrFO PFSTGTT TG 1885 In Service Utilization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DCS 1 TrFO PFSTGTT TG 1885 Percent Trunks In Service,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
DCS 1 TrFO PFSTGTT Erlangs TG 1886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DCS 1 TrFO PFSTGTT TG 1886 In Service Utilization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DCS 1 TrFO PFSTGTT TG 1886 Percent Trunks In Service,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
DCS 1 TrFO PFSTGTT Erlangs TG 1887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DCS 1 TrFO PFSTGTT TG 1887 In Service Utilization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DCS 1 TrFO PFSTGTT TG 1887 Percent Trunks In Service,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
DCS 1 TrFO PFSTGTT Erlangs TG 1888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DCS 1 TrFO PFSTGTT TG 1888 In Service Utilization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DCS 1 TrFO PFSTGTT TG 1888 Percent Trunks In Service,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0
DCS 1 TLDN Utilization,7,1,5,5,4,4,7,10,13,14,15,16,17,17,19,18,20,23,20,18,16,16,12,10
DCS 1 DPH React OFL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Packet Discarded(per Mbyte) 21,2,38,3,2,2,2,4,3,11,7,8,24,30,12,9,9,11,15,8,7,8,12,7,5
Packet Discarded(per Mbyte) 22,4,4,4,4,3,6,3,5,9,5,5,4,6,14,9,11,10,6,7,10,11,7,13,6
Packet Discarded(per Mbyte) 23,5,3,3,8,6,10,7,5,29,9,7,7,6,6,11,9,6,6,10,15,6,7,7,3
Packet Discarded(per Mbyte) 24,7,8,2,1,1,1,1,8,5,7,7,10,12,7,11,9,13,12,7,7,8,8,16,12
Packet Discarded(per Mbyte) 25,6,3,2,2,5,3,6,7,9,8,11,9,9,8,9,7,11,37,7,9,5,7,5,3
Packet Discarded(per Mbyte) 26,6,10,9,11,6,6,6,6,5,7,8,7,8,8,8,8,9,24,7,15,15,8,7,4
Packet Discarded(per Mbyte) 29,5,10,5,4,4,6,5,5,6,4,4,5,13,6,7,9,6,5,4,13,7,5,4,3
FRBC Forward Bandwidth % 21 0,0,2,2,0,0,0,1,0,2,1,0,2,0,0,1,1,1,2,3,2,1,1,1,1
FRBC Forward Bandwidth % 21 1,1,1,0,5,6,6,1,1,1,2,1,1,1,0,1,1,1,1,1,1,1,1,1,0
FRBC Forward Bandwidth % 21 2,0,0,0,0,0,0,0,1,1,1,1,1,3,1,1,1,1,1,0,1,0,1,1,1
FRBC Forward Bandwidth % 21 3,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0
FRBC Forward Bandwidth % 21 4,2,1,1,0,0,0,1,0,0,1,1,1,2,2,2,3,2,2,2,2,2,2,2,2
FRBC Forward Bandwidth % 21 5,0,0,0,0,0,0,0,1,3,2,3,1,0,1,0,1,1,1,1,1,1,1,0,1
FRBC Forward Bandwidth % 21 6,0,0,0,0,0,0,1,0,1,0,1,2,1,1,1,1,1,1,3,0,1,0,1,0
FRBC Forward Bandwidth % 21 8,1,5,4,0,0,0,2,1,1,1,2,1,1,2,1,2,2,2,2,2,3,2,1,1
FRBC Forward Bandwidth % 21 9,4,1,3,1,0,3,1,2,1,1,2,1,1,1,2,1,3,2,2,1,2,1,1,1
FRBC Forward Bandwidth % 21 10,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0
FRBC Forward Bandwidth % 21 11,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0
FRBC Forward Bandwidth % 21 12,0,0,0,0,0,0,1,3,0,1,0,0,1,1,2,2,1,1,0,1,2,1,0,0
FRBC Forward Bandwidth % 22 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
FRBC Forward Bandwidth % 22 1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
FRBC Forward Bandwidth % 22 2,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0
FRBC Forward Bandwidth % 22 3,0,0,0,0,0,0,0,0,0,1,3,4,1,1,0,0,1,0,1,1,0,0,0,0
FRBC Forward Bandwidth % 22 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
FRBC Forward Bandwidth % 22 5,0,0,0,0,0,0,2,0,0,0,1,1,4,1,1,1,0,0,0,0,0,1,0,1
FRBC Forward Bandwidth % 22 6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0
FRBC Forward Bandwidth % 22 7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,1
FRBC Forward Bandwidth % 22 8,1,0,0,0,0,0,0,1,1,1,1,0,0,1,2,1,0,0,0,0,0,0,0,0
FRBC Forward Bandwidth % 22 9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,1,1,0,0,0,1,0,0
FRBC Forward Bandwidth % 22 10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
FRBC Forward Bandwidth % 22 11,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,6,5,0
FRBC Forward Bandwidth % 23 0,1,0,0,0,0,0,0,2,1,1,1,1,2,2,1,1,2,4,4,3,2,1,1,1
FRBC Forward Bandwidth % 23 1,0,0,0,0,0,0,0,1,1,1,1,0,2,3,1,1,1,1,1,1,2,1,1,2
FRBC Forward Bandwidth % 23 2,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,1
FRBC Forward Bandwidth % 23 3,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0
FRBC Forward Bandwidth % 23 4,1,2,1,0,0,0,1,0,1,2,2,2,2,1,1,1,1,2,1,1,1,1,2,1
FRBC Forward Bandwidth % 23 5,0,0,0,0,0,0,0,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1
FRBC Forward Bandwidth % 23 6,0,1,0,0,0,0,0,1,0,1,1,3,2,1,1,3,1,2,2,1,1,1,1,1
FRBC Forward Bandwidth % 23 7,1,1,3,0,0,0,0,0,1,1,1,2,3,1,1,1,1,2,1,1,2,2,1,1
FRBC Forward Bandwidth % 23 8,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1
FRBC Forward Bandwidth % 23 9,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2
FRBC Forward Bandwidth % 23 10,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,6
FRBC Forward Bandwidth % 23 11,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,4
FRBC Forward Bandwidth % 24 0,1,0,6,10,10,10,11,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
FRBC Forward Bandwidth % 24 1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,2,1,1,1,1,1
FRBC Forward Bandwidth % 24 2,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,2,0
FRBC Forward Bandwidth % 24 3,0,0,0,0,0,0,0,1,2,0,0,0,0,1,2,1,1,1,4,2,0,1,1,0
FRBC Forward Bandwidth % 24 4,0,1,0,0,2,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
FRBC Forward Bandwidth % 24 5,0,0,0,0,0,0,0,1,1,3,0,1,1,1,1,1,1,1,1,1,2,1,1,1
FRBC Forward Bandwidth % 24 6,0,0,3,0,0,0,3,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0
FRBC Forward Bandwidth % 24 7,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,2,1,1,0
FRBC Forward Bandwidth % 24 8,1,0,0,0,5,1,1,1,3,1,2,2,2,2,2,1,1,2,2,2,2,1,2,1
FRBC Forward Bandwidth % 24 9,1,0,0,0,0,0,1,1,2,1,2,1,1,1,1,2,1,1,1,1,2,2,3,1
FRBC Forward Bandwidth % 24 10,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,1,1,0,1,3,1,0,1,0
FRBC Forward Bandwidth % 24 11,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,1,1,1,0,0
FRBC Forward Bandwidth % 25 0,1,0,6,3,0,1,0,1,1,0,1,1,2,1,1,1,2,2,1,1,1,1,1,1
FRBC Forward Bandwidth % 25 1,1,0,1,0,2,2,1,3,1,0,1,1,1,2,1,1,1,1,1,1,1,1,1,1
FRBC Forward Bandwidth % 25 2,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
FRBC Forward Bandwidth % 25 3,1,0,0,0,0,0,0,2,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0
FRBC Forward Bandwidth % 25 4,1,0,3,8,0,1,0,0,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1
FRBC Forward Bandwidth % 25 5,0,1,0,0,0,0,0,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1
FRBC Forward Bandwidth % 25 6,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1
FRBC Forward Bandwidth % 25 7,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1
FRBC Forward Bandwidth % 25 8,0,2,0,0,0,0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FRBC Forward Bandwidth % 25 9,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1
FRBC Forward Bandwidth % 25 10,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,1,3,1,1
FRBC Forward Bandwidth % 25 11,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0
FRBC Forward Bandwidth % 26 0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
FRBC Forward Bandwidth % 26 1,0,0,1,0,0,0,1,1,1,1,1,1,2,1,1,2,1,1,3,3,1,1,1,1
FRBC Forward Bandwidth % 26 2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,2,1
FRBC Forward Bandwidth % 26 3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,0,0,1,1,1,1
FRBC Forward Bandwidth % 26 4,1,0,1,0,0,0,1,0,1,1,1,1,2,3,1,3,2,1,1,1,1,1,1,1
FRBC Forward Bandwidth % 26 5,0,0,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,3,1,1,1,1,1
FRBC Forward Bandwidth % 26 6,2,1,0,1,0,0,0,3,4,3,4,4,4,3,2,2,1,2,2,2,3,2,2,2
FRBC Forward Bandwidth % 26 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRBC Forward Bandwidth % 26 8,1,1,1,0,0,0,0,2,2,1,1,1,1,4,1,1,1,2,1,1,1,1,1,1
FRBC Forward Bandwidth % 26 9,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
FRBC Forward Bandwidth % 26 10,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1
FRBC Forward Bandwidth % 26 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,3,1,1
FRBC Forward Bandwidth % 29 0,1,0,1,0,0,0,0,2,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,2
FRBC Forward Bandwidth % 29 1,0,0,0,0,0,0,0,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,2
FRBC Forward Bandwidth % 29 2,1,1,0,0,0,0,0,2,1,1,1,1,1,1,1,1,1,4,2,1,1,4,3,1
FRBC Forward Bandwidth % 29 3,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1
FRBC Forward Bandwidth % 29 4,1,0,0,0,0,0,0,1,1,1,2,2,1,1,1,1,1,1,2,1,2,2,1,1
FRBC Forward Bandwidth % 29 5,1,1,0,0,0,0,0,1,2,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1
FRBC Forward Bandwidth % 29 6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0
FRBC Forward Bandwidth % 29 7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0
FRBC Forward Bandwidth % 29 8,1,0,0,0,0,0,0,1,1,1,2,2,3,1,2,1,1,1,1,1,1,1,1,1
FRBC Forward Bandwidth % 29 9,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
FRBC Forward Bandwidth % 29 10,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,1,1,1,1,0,0,1,0,0
FRBC Forward Bandwidth % 29 11,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0
FRBC Forward Bandwidth % 21 0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
FRBC Forward Bandwidth % 21 1,0,0,0,2,2,2,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0
FRBC Forward Bandwidth % 21 2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
FRBC Forward Bandwidth % 21 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRBC Forward Bandwidth % 21 4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0
FRBC Forward Bandwidth % 21 5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1
FRBC Forward Bandwidth % 21 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FRBC Forward Bandwidth % 21 8,0,2,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1
FRBC Forward Bandwidth % 21 9,5,3,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5
FRBC Forward Bandwidth % 21 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FRBC Forward Bandwidth % 21 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FRBC Forward Bandwidth % 21 12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRBC Forward Bandwidth % 22 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRBC Forward Bandwidth % 22 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FRBC Forward Bandwidth % 22 2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRBC Forward Bandwidth % 22 3,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
FRBC Forward Bandwidth % 22 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
FRBC Forward Bandwidth % 22 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
FRBC Forward Bandwidth % 22 6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FRBC Forward Bandwidth % 22 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRBC Forward Bandwidth % 22 8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRBC Forward Bandwidth % 22 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
FRBC Forward Bandwidth % 22 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRBC Forward Bandwidth % 22 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRBC Forward Bandwidth % 23 0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1
FRBC Forward Bandwidth % 23 1,0,0,0,0,0,0,0,0,0,1,1,0,1,5,1,1,1,1,1,1,1,1,1,1
FRBC Forward Bandwidth % 23 2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FRBC Forward Bandwidth % 23 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRBC Forward Bandwidth % 23 4,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
FRBC Forward Bandwidth % 23 5,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0
FRBC Forward Bandwidth % 23 6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,1,1,1,1,1,0,0
FRBC Forward Bandwidth % 23 7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0
FRBC Forward Bandwidth % 23 8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,0,1,1,1,1,0
FRBC Forward Bandwidth % 23 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0
FRBC Forward Bandwidth % 23 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRBC Forward Bandwidth % 23 11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FRBC Forward Bandwidth % 24 0,0,0,5,8,8,8,8,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0
FRBC Forward Bandwidth % 24 1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
FRBC Forward Bandwidth % 24 2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
FRBC Forward Bandwidth % 24 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
FRBC Forward Bandwidth % 24 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
FRBC Forward Bandwidth % 24 5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0
FRBC Forward Bandwidth % 24 6,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
FRBC Forward Bandwidth % 24 7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
FRBC Forward Bandwidth % 24 8,1,0,0,0,0,0,0,0,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1
FRBC Forward Bandwidth % 24 9,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FRBC Forward Bandwidth % 24 10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FRBC Forward Bandwidth % 24 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRBC Forward Bandwidth % 25 0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1
FRBC Forward Bandwidth % 25 1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0
FRBC Forward Bandwidth % 25 2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FRBC Forward Bandwidth % 25 3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
FRBC Forward Bandwidth % 25 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,2,6,7
FRBC Forward Bandwidth % 25 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0
FRBC Forward Bandwidth % 25 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0
FRBC Forward Bandwidth % 25 7,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0
FRBC Forward Bandwidth % 25 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0
FRBC Forward Bandwidth % 25 9,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,3,4,4,4,4,5,3,4,2
FRBC Forward Bandwidth % 25 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRBC Forward Bandwidth % 25 11,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
FRBC Forward Bandwidth % 26 0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FRBC Forward Bandwidth % 26 1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
FRBC Forward Bandwidth % 26 2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
FRBC Forward Bandwidth % 26 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRBC Forward Bandwidth % 26 4,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,4,2,1,1
FRBC Forward Bandwidth % 26 5,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0
FRBC Forward Bandwidth % 26 6,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
FRBC Forward Bandwidth % 26 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
