Column1,data_year,STATE,total1,total2,total3,total4,total5,total6,total7,,data_year,total1,total2,total3,total4,total5,total6,total7
2005|New Mexico,2005,New Mexico,328157,12440,6288,595506,2382,3293,113544,,,,,,,,,
2005|New York,2005,New York,2346495,134897,29039,1642267,4526,22243,58953,,,,,,,,,
2005|North Carolina,2005,North Carolina,1239157,55314,23795,1900866,3394,17207,88052,,,,,,,,,
2005|North Dakota,2005,North Dakota,111414,4417,1429,80904,305,940,436,,,,,,,,,
2005|Ohio,2005,Ohio,1724146,102041,39064,2806274,5814,34062,87632,,,,,,,,,
2005|Oklahoma,2005,Oklahoma,480612,32212,21872,1993727,5792,7790,5287,,,,,,,,,
2005|Oregon,2005,Oregon,651911,28322,12734,596338,1358,10092,4659,,,,,,,,,
2005|Pennsylvania,2005,Pennsylvania,2104244,95869,47708,2060077,7030,26734,54209,,,,,,,,,
2005|Puerto Rico,2005,Puerto Rico,728781,18331,7000,570027,1579,3956,467,,,,,,,,,
2005|Rhode Island,2005,Rhode Island,205332,8451,4241,207410,271,3306,6827,,,,,,,,,
2005|South Carolina,2005,South Carolina,754169,33854,16145,858599,2765,7003,49678,,,,,,,,,
2005|South Dakota,2005,South Dakota,133071,5766,1567,95209,401,1069,838,,,,,,,,,
2005|Tennessee,2005,Tennessee,1116768,51409,14003,880174,3030,10991,26942,,,,,,,,,
2005|Texas,2005,Texas,2417430,130284,61405,4471789,13608,42148,65086,,,,,,,,,
2005|Utah,2005,Utah,248321,10794,8715,651804,2619,3390,7299,,,,,,,,,
2005|Vermont,2005,Vermont,101739,4846,1061,70408,207,810,614,,,,,,,,,
2005|Virginia,2005,Virginia,1051665,35395,17146,1034738,2153,12652,14705,,,,,,,,,
2005|Washington,2005,Washington,969908,34559,15682,896926,1897,12251,10047,,,,,,,,,
2005|West Virginia,2005,West Virginia,330595,18052,4806,379318,608,4056,5051,,,,,,,,,
2005|Wisconsin,2005,Wisconsin,758377,42615,17109,1008386,1560,13688,18807,,,,,,,,,
2005|Wyoming,2005,Wyoming,63026,2967,1006,52195,99,512,749,,,,,,,,,
2006|Alabama,2006,Alabama,883028,31383,30095,3366571,12193,9413,23480,,,,,,,,,
2006|Alaska,2006,Alaska,49854,1711,396,26223,44,332,179,,,,,,,,,
2006|Arizona,2006,Arizona,992058,32771,31350,1979559,4907,17501,95452,,,,,,,,,
2006|Arkansas,2006,Arkansas,436534,17570,10612,585866,1441,6313,23258,,,,,,,,,
2006|California,2006,California,5061427,182912,100224,4311019,11538,51939,66420,,,,,,,,,
2006|Colorado,2006,Colorado,473753,24367,13940,951913,1656,9050,20996,,,,,,,,,
2006|Connecticut,2006,Connecticut,610832,21588,9923,367383,1163,5761,40059,,,,,,,,,
2006|Delaware,2006,Delaware,132640,5295,3809,180876,657,2427,3245,,,,,,,,,
2006|District of Columbia,2006,District of Columbia,89172,3305,1259,58875,193,613,1677,,,,,,,,,
2006|Florida,2006,Florida,3765704,131669,87136,7100175,9491,53099,333193,,,,,,,,,
2006|Georgia,2006,Georgia,1087347,54333,31021,1975671,6165,16126,73832,,,,,,,,,
2006|Hawaii,2006,Hawaii,175675,6161,1861,92511,148,1398,3984,,,,,,,,,
2006|Idaho,2006,Idaho,246010,8902,3934,363257,491,2985,1203,,,,,,,,,
2006|Illinois,2006,Illinois,1485815,70218,39874,2277322,3555,31865,42852,,,,,,,,,
2006|Indiana,2006,Indiana,973624,38466,17332,1163227,4959,11183,33799,,,,,,,,,
2006|Iowa,2006,Iowa,441170,20711,13436,827604,1342,11639,25786,,,,,,,,,
2006|Kansas,2006,Kansas,422160,22230,10599,678491,1928,6218,8365,,,,,,,,,
2006|Kentucky,2006,Kentucky,778152,36371,13066,769388,1455,8603,15475,,,,,,,,,
2006|Louisiana,2006,Louisiana,718349,29783,12794,994113,2414,10423,15782,,,,,,,,,
2006|Maine,2006,Maine,253583,11143,4209,234531,829,2684,5370,,,,,,,,,
2006|Maryland,2006,Maryland,875311,33039,12303,621861,1452,9416,18709,,,,,,,,,
2006|Massachusetts,2006,Massachusetts,1221572,44163,22842,958438,3184,13453,29805,,,,,,,,,
2006|Michigan,2006,Michigan,1642535,77470,34799,1799087,3168,25635,34801,,,,,,,,,
2006|Minnesota,2006,Minnesota,762548,26966,12972,667320,1630,10586,7386,,,,,,,,,
2006|Mississippi,2006,Mississippi,454503,19356,15213,1849242,8255,6168,26194,,,,,,,,,
2006|Missouri,2006,Missouri,880991,41736,22840,1236466,2166,13139,6525,,,,,,,,,
2006|Montana,2006,Montana,127407,5817,2808,131506,343,2260,3253,,,,,,,,,
2006|Nebraska,2006,Nebraska,225304,12345,5803,270911,745,4183,1349,,,,,,,,,
2006|Nevada,2006,Nevada,290766,16018,6349,465249,905,4950,19393,,,,,,,,,
2006|New Hampshire,2006,New Hampshire,213839,7403,2977,183652,650,2577,8253,,,,,,,,,
2006|New Jersey,2006,New Jersey,1064891,54847,28278,1107937,2778,17085,28251,,,,,,,,,
2006|New Mexico,2006,New Mexico,255259,12323,6861,671915,2727,2771,6431,,,,,,,,,
2006|New York,2006,New York,2468776,132294,36752,1930429,5771,25028,92036,,,,,,,,,
2006|North Carolina,2006,North Carolina,1587550,67931,36215,2401955,6074,21331,65013,,,,,,,,,
2006|North Dakota,2006,North Dakota,128847,4646,1274,86270,179,1289,741,,,,,,,,,
2006|Ohio,2006,Ohio,1620805,91701,49605,3086573,7477,26699,72414,,,,,,,,,
2006|Oklahoma,2006,Oklahoma,580808,32294,22739,2282469,5730,7872,5488,,,,,,,,,
2006|Oregon,2006,Oregon,616249,26019,13447,769968,1766,10763,6170,,,,,,,,,
2006|Pennsylvania,2006,Pennsylvania,2252634,81430,47363,3531544,5951,33386,107433,,,,,,,,,
2006|Puerto Rico,2006,Puerto Rico,533236,23321,7713,796176,1313,3369,60865,,,,,,,,,
2006|Rhode Island,2006,Rhode Island,213007,7818,4322,202223,478,2765,9019,,,,,,,,,
2006|South Carolina,2006,South Carolina,728294,27833,15466,1101510,4090,9332,20387,,,,,,,,,
2006|South Dakota,2006,South Dakota,152075,5892,1616,77366,286,1458,1181,,,,,,,,,
2006|Tennessee,2006,Tennessee,1020225,40085,21256,1260667,2790,9789,32942,,,,,,,,,
2006|Texas,2006,Texas,3245241,108065,82511,5762872,14984,49681,83986,,,,,,,,,
2006|Utah,2006,Utah,258066,9676,8250,611906,2527,3417,5256,,,,,,,,,
2006|Vermont,2006,Vermont,106523,3323,1484,71408,180,1032,985,,,,,,,,,
2006|Virginia,2006,Virginia,1080985,35439,18582,1031176,2359,13043,15977,,,,,,,,,
2006|Washington,2006,Washington,907688,41280,17541,913535,2084,13610,14787,,,,,,,,,
2006|West Virginia,2006,West Virginia,405387,15433,7425,494978,815,4193,7102,,,,,,,,,
2006|Wisconsin,2006,Wisconsin,939157,33380,15337,926233,1754,10687,19100,,,,,,,,,
2006|Wyoming,2006,Wyoming,80940,3718,1032,54949,109,733,1356,,,,,,,,,
2007|Alabama,2007,Alabama,895704,38343,32001,2931574,11455,13573,22203,,,,,,,,,
2007|Alaska,2007,Alaska,49868,1954,451,33684,74,381,142,,,,,,,,,
2007|Arizona,2007,Arizona,834007,30332,37227,2878551,5649,17730,91529,,,,,,,,,
2007|Arkansas,2007,Arkansas,580273,19049,11949,725959,2059,5898,18914,,,,,,,,,
2007|California,2007,California,4692577,184843,94623,5308198,12184,54178,64192,,,,,,,,,
2007|Colorado,2007,Colorado,541682,24737,13419,881675,2470,11888,21532,,,,,,,,,
2007|Connecticut,2007,Connecticut,596364,21470,9350,473202,1623,6446,32408,,,,,,,,,
2007|Delaware,2007,Delaware,149388,6217,3278,317583,553,2459,5685,,,,,,,,,
2007|District of Columbia,2007,District of Columbia,75854,3061,1333,70200,198,797,1835,,,,,,,,,
2007|Florida,2007,Florida,3367111,142504,100954,8098707,17994,69086,328242,,,,,,,,,
2007|Georgia,2007,Georgia,1316962,55634,29126,2215562,6624,15387,82191,,,,,,,,,
2007|Hawaii,2007,Hawaii,190771,8611,2004,123903,191,1533,4249,,,,,,,,,
2007|Idaho,2007,Idaho,218234,9606,4078,381159,674,3132,1066,,,,,,,,,
2007|Illinois,2007,Illinois,1817984,77198,45053,1776203,3627,30769,50541,,,,,,,,,
2007|Indiana,2007,Indiana,1040242,36754,18663,1075512,3741,15661,24512,,,,,,,,,
2007|Iowa,2007,Iowa,440927,22103,12708,942369,1770,9806,31439,,,,,,,,,
2007|Kansas,2007,Kansas,451675,22394,12292,837511,1755,6907,10160,,,,,,,,,
2007|Kentucky,2007,Kentucky,775213,27101,10760,769597,1235,9793,19727,,,,,,,,,
2007|Louisiana,2007,Louisiana,776249,34651,17639,1192329,3374,11644,21150,,,,,,,,,
2007|Maine,2007,Maine,292197,8682,3738,268949,892,3118,5489,,,,,,,,,
2007|Maryland,2007,Maryland,680898,32171,12034,687904,1854,9158,18335,,,,,,,,,
2007|Massachusetts,2007,Massachusetts,1058890,46730,19985,1503315,3404,13111,21991,,,,,,,,,
2007|Michigan,2007,Michigan,1398561,58807,38164,2055561,4352,25279,45664,,,,,,,,,
2007|Minnesota,2007,Minnesota,885191,27255,14925,766983,2195,9816,8914,,,,,,,,,
2007|Mississippi,2007,Mississippi,544665,18016,18299,1878449,8489,6080,16197,,,,,,,,,
2007|Missouri,2007,Missouri,867631,38139,19983,1572404,2942,16579,8344,,,,,,,,,
2007|Montana,2007,Montana,141494,7701,2718,223265,340,2051,2849,,,,,,,,,
2007|Nebraska,2007,Nebraska,257807,13293,5244,349781,590,3874,2280,,,,,,,,,
2007|Nevada,2007,Nevada,281038,11287,8319,353182,1321,4872,19386,,,,,,,,,
2007|New Hampshire,2007,New Hampshire,237620,8695,3392,231514,695,2844,7791,,,,,,,,,
2007|New Jersey,2007,New Jersey,1212546,65101,23667,1453576,2770,19559,32564,,,,,,,,,
2007|New Mexico,2007,New Mexico,277028,9543,9470,606648,2425,4093,7016,,,,,,,,,
2007|New York,2007,New York,3121133,126793,33998,1933256,4552,24178,77221,,,,,,,,,
2007|North Carolina,2007,North Carolina,1200144,71032,29124,2393091,5430,20239,58257,,,,,,,,,
2007|North Dakota,2007,North Dakota,103220,4181,1541,101960,198,1199,795,,,,,,,,,
2007|Ohio,2007,Ohio,1612339,99119,45315,3087801,6263,33689,95861,,,,,,,,,
2007|Oklahoma,2007,Oklahoma,648257,25702,25821,1711000,6644,7997,6418,,,,,,,,,
2007|Oregon,2007,Oregon,610758,20832,16280,759588,1325,11945,5576,,,,,,,,,
2007|Pennsylvania,2007,Pennsylvania,2018129,117617,52227,3923867,7317,30735,91716,,,,,,,,,
2007|Puerto Rico,2007,Puerto Rico,705525,24289,9705,1037669,1623,5026,608,,,,,,,,,
2007|Rhode Island,2007,Rhode Island,153977,8430,4374,325283,538,3347,12485,,,,,,,,,
2007|South Carolina,2007,South Carolina,714524,23996,16472,1300468,4413,10928,24917,,,,,,,,,
2007|South Dakota,2007,South Dakota,112517,5449,2148,115440,310,1399,1707,,,,,,,,,
2007|Tennessee,2007,Tennessee,1134412,39425,20413,1344297,3363,14198,43804,,,,,,,,,
2007|Texas,2007,Texas,2688264,104046,91924,6146539,15779,41686,106280,,,,,,,,,
2007|Utah,2007,Utah,214653,11077,8692,733102,2491,3825,9303,,,,,,,,,
2007|Vermont,2007,Vermont,101988,4209,1575,70323,158,1001,1601,,,,,,,,,
2007|Virginia,2007,Virginia,1083440,44492,19957,1324402,3501,14420,14146,,,,,,,,,
2007|Washington,2007,Washington,1063268,32781,21743,1192966,2121,12954,19823,,,,,,,,,
2007|West Virginia,2007,West Virginia,398069,17633,6341,414720,761,4801,12105,,,,,,,,,
2007|Wisconsin,2007,Wisconsin,909838,36694,19534,1163914,2334,16195,21515,,,,,,,,,
2007|Wyoming,2007,Wyoming,89673,2610,970,55560,142,604,920,,,,,,,,,
2008|Alabama,2008,Alabama,690091,30297,34272,2455747,10178,11102,25806,,,,,,,,,
2008|Alaska,2008,Alaska,40202,1662,388,28519,79,283,161,,,,,,,,,
2008|Arizona,2008,Arizona,979324,28720,30014,2202037,7163,16178,82209,,,,,,,,,
2008|Arkansas,2008,Arkansas,468258,19272,12662,778224,1900,8121,20952,,,,,,,,,
2008|California,2008,California,4894765,152547,101438,5302595,10048,56415,132341,,,,,,,,,
2008|Colorado,2008,Colorado,534059,23937,15213,833989,2223,11188,56871,,,,,,,,,
2008|Connecticut,2008,Connecticut,562235,23946,9720,417298,1483,6558,36118,,,,,,,,,
2008|Delaware,2008,Delaware,138520,6993,3915,397464,570,3117,4860,,,,,,,,,
2008|District of Columbia,2008,District of Columbia,91114,3115,1281,73213,209,811,1297,,,,,,,,,
2008|Florida,2008,Florida,3106031,144410,93036,5797933,16648,71909,339421,,,,,,,,,
2008|Georgia,2008,Georgia,1387091,42277,40998,2164223,7498,23242,63190,,,,,,,,,
2008|Hawaii,2008,Hawaii,202872,7389,2789,128517,214,2036,5856,,,,,,,,,
2008|Idaho,2008,Idaho,184225,7961,6137,391353,1006,3253,1162,,,,,,,,,
2008|Illinois,2008,Illinois,2166238,82465,36612,2305647,4003,24921,51962,,,,,,,,,
2008|Indiana,2008,Indiana,883914,38652,26249,1697299,3877,13406,30666,,,,,,,,,
2008|Iowa,2008,Iowa,570988,22053,15145,934866,2042,10731,115418,,,,,,,,,
2008|Kansas,2008,Kansas,445749,23246,14208,794993,1778,8092,10038,,,,,,,,,
2008|Kentucky,2008,Kentucky,805316,30118,15593,732141,1543,9868,24764,,,,,,,,,
2008|Louisiana,2008,Louisiana,644018,26067,21986,1244252,3521,10265,20773,,,,,,,,,
2008|Maine,2008,Maine,263193,10130,6003,387588,834,3779,7418,,,,,,,,,
2008|Maryland,2008,Maryland,767599,33916,16282,849710,1923,12857,36669,,,,,,,,,
2008|Massachusetts,2008,Massachusetts,973715,38799,19536,1438782,3363,13959,19320,,,,,,,,,
2008|Michigan,2008,Michigan,1614639,65294,36955,2654595,4151,31095,43663,,,,,,,,,
2008|Minnesota,2008,Minnesota,905646,34356,15788,1024927,1861,9223,8793,,,,,,,,,
2008|Mississippi,2008,Mississippi,443304,25916,14828,1429905,6361,6421,17811,,,,,,,,,
2008|Missouri,2008,Missouri,1095758,51124,28787,2176711,2726,15970,9562,,,,,,,,,
2008|Montana,2008,Montana,168012,7149,3639,236777,481,2467,2114,,,,,,,,,
2008|Nebraska,2008,Nebraska,312105,12626,6987,388623,923,4460,4357,,,,,,,,,
2008|Nevada,2008,Nevada,373518,13640,6561,474763,1140,5190,15348,,,,,,,,,
2008|New Hampshire,2008,New Hampshire,234621,9002,4240,210844,598,3026,7101,,,,,,,,,
2008|New Jersey,2008,New Jersey,1561483,55831,28058,1441237,3369,18652,33407,,,,,,,,,
2008|New Mexico,2008,New Mexico,298670,12036,8540,530144,2491,4518,9494,,,,,,,,,
2008|New York,2008,New York,2436526,112289,34339,2379989,5096,32106,75208,,,,,,,,,
2008|North Carolina,2008,North Carolina,1758142,55116,37683,2436749,6215,22836,69448,,,,,,,,,
2008|North Dakota,2008,North Dakota,96459,4933,1959,99310,290,1165,1044,,,,,,,,,
2008|Ohio,2008,Ohio,1797098,74429,61391,2707156,6854,34876,94240,,,,,,,,,
2008|Oklahoma,2008,Oklahoma,718499,23939,21652,1527796,5583,11183,6954,,,,,,,,,
2008|Oregon,2008,Oregon,661860,29656,18183,807319,1596,13756,5353,,,,,,,,,
2008|Pennsylvania,2008,Pennsylvania,2311709,101720,50451,3502191,8006,44359,78318,,,,,,,,,
2008|Puerto Rico,2008,Puerto Rico,588293,17324,10493,1319897,1894,3848,412,,,,,,,,,
2008|Rhode Island,2008,Rhode Island,168793,8969,5349,301797,587,4374,12213,,,,,,,,,
2008|South Carolina,2008,South Carolina,801634,30703,18349,1978146,5904,10196,40618,,,,,,,,,
2008|South Dakota,2008,South Dakota,120738,6170,2035,95073,334,1854,2942,,,,,,,,,
2008|Tennessee,2008,Tennessee,1025634,50192,18047,1351430,3113,12521,34802,,,,,,,,,
2008|Texas,2008,Texas,2623217,109497,96653,5559845,15851,55720,84094,,,,,,,,,
2008|Utah,2008,Utah,298535,9019,8752,904850,2140,5912,4298,,,,,,,,,
2008|Vermont,2008,Vermont,111664,3912,1287,94024,190,1207,1520,,,,,,,,,
2008|Virginia,2008,Virginia,1207027,42851,19646,1470290,4159,16274,14885,,,,,,,,,
2008|Washington,2008,Washington,904886,38245,21414,1104701,2488,13567,20318,,,,,,,,,
2008|West Virginia,2008,West Virginia,315099,17555,8155,590962,896,4698,11539,,,,,,,,,
2008|Wisconsin,2008,Wisconsin,945425,36505,23792,1563858,2696,14877,23028,,,,,,,,,
2008|Wyoming,2008,Wyoming,65437,2579,864,64952,137,724,978,,,,,,,,,
2009|Alabama,2009,Alabama,812596,32203,30395,2087562,7750,15696,23047,,,,,,,,,
2009|Alaska,2009,Alaska,61501,1909,523,20013,73,277,119,,,,,,,,,
2009|Arizona,2009,Arizona,977813,39645,39035,2494836,6220,21704,68320,,,,,,,,,
2009|Arkansas,2009,Arkansas,602010,20664,13310,622755,1637,5804,21165,,,,,,,,,
2009|California,2009,California,4767618,178889,85509,6520524,13074,77109,59004,,,,,,,,,
2009|Colorado,2009,Colorado,724390,23180,18884,1168263,1952,12363,26756,,,,,,,,,
2009|Connecticut,2009,Connecticut,489219,20694,9710,565804,1422,7261,30020,,,,,,,,,
2009|Delaware,2009,Delaware,132520,5419,4281,472710,665,3290,9142,,,,,,,,,
2009|District of Columbia,2009,District of Columbia,95913,3191,1441,86843,295,1034,1875,,,,,,,,,
2009|Florida,2009,Florida,3738625,115780,113217,6303117,15978,72660,259733,,,,,,,,,
2009|Georgia,2009,Georgia,1500394,54454,34990,3004539,5500,25607,61022,,,,,,,,,
2009|Hawaii,2009,Hawaii,207454,8356,3255,157470,243,2286,2850,,,,,,,,,
2009|Idaho,2009,Idaho,230195,9226,4904,495807,1065,3652,1211,,,,,,,,,
2009|Illinois,2009,Illinois,2061981,91222,36357,2438376,4499,33198,62621,,,,,,,,,
2009|Indiana,2009,Indiana,1089573,39872,23562,1400645,4317,15758,23030,,,,,,,,,
2009|Iowa,2009,Iowa,575130,21828,17854,941486,1858,10256,23158,,,,,,,,,
2009|Kansas,2009,Kansas,408211,17097,11841,1049353,1903,8598,11431,,,,,,,,,
2009|Kentucky,2009,Kentucky,879732,37183,15164,713321,1387,8309,21414,,,,,,,,,
2009|Louisiana,2009,Louisiana,569763,35149,15635,1249007,2934,12830,25229,,,,,,,,,
2009|Maine,2009,Maine,243880,12442,6600,310052,622,4209,8785,,,,,,,,,
2009|Maryland,2009,Maryland,799618,26852,13713,922072,2308,11294,20122,,,,,,,,,
2009|Massachusetts,2009,Massachusetts,1228974,46034,21484,1506073,3469,17191,21982,,,,,,,,,
2009|Michigan,2009,Michigan,1668486,66303,37222,2240289,5025,28650,44018,,,,,,,,,
2009|Minnesota,2009,Minnesota,682858,25297,18714,800287,2231,12015,5606,,,,,,,,,
2009|Mississippi,2009,Mississippi,451951,17531,15093,1502695,6058,6773,16867,,,,,,,,,
2009|Missouri,2009,Missouri,1107254,38029,28439,2258513,4011,14072,10561,,,,,,,,,
2009|Montana,2009,Montana,180801,7277,3016,181078,541,2671,2726,,,,,,,,,
2009|Nebraska,2009,Nebraska,274091,9630,6728,384281,611,5710,3031,,,,,,,,,
2009|Nevada,2009,Nevada,414644,15455,9762,628882,1131,6006,15782,,,,,,,,,
2009|New Hampshire,2009,New Hampshire,232482,7810,5237,238222,563,2957,4714,,,,,,,,,
2009|New Jersey,2009,New Jersey,1191780,52875,28022,1930411,3465,21640,44543,,,,,,,,,
2009|New Mexico,2009,New Mexico,349853,11772,9169,565657,1863,4449,7884,,,,,,,,,
2009|New York,2009,New York,2626494,100981,43854,2327666,5056,30645,87253,,,,,,,,,
2009|North Carolina,2009,North Carolina,1427703,65787,40307,2581990,6467,19982,71126,,,,,,,,,
2009|North Dakota,2009,North Dakota,117602,4307,1984,115494,284,1122,676,,,,,,,,,
2009|Ohio,2009,Ohio,1849124,76905,49351,3402478,6747,42374,104688,,,,,,,,,
2009|Oklahoma,2009,Oklahoma,550341,25855,22289,1561343,5381,9288,7738,,,,,,,,,
2009|Oregon,2009,Oregon,681519,29215,18638,934283,2078,13100,5292,,,,,,,,,
2009|Pennsylvania,2009,Pennsylvania,2302850,112281,52537,3564695,10738,36683,71724,,,,,,,,,
2009|Puerto Rico,2009,Puerto Rico,753230,24841,13183,1366825,2646,4915,626,,,,,,,,,
2009|Rhode Island,2009,Rhode Island,194228,6486,6042,274973,513,3110,12540,,,,,,,,,
2009|South Carolina,2009,South Carolina,860619,36680,20096,1547995,7289,10248,32843,,,,,,,,,
2009|South Dakota,2009,South Dakota,149898,5892,2110,117432,239,1727,1644,,,,,,,,,
2009|Tennessee,2009,Tennessee,916041,40711,25724,1393058,3027,13928,40430,,,,,,,,,
2009|Texas,2009,Texas,2873326,129476,82170,7503353,14063,58356,78140,,,,,,,,,
2009|Utah,2009,Utah,272567,9582,8291,800895,2138,6307,3659,,,,,,,,,
2009|Vermont,2009,Vermont,108723,4100,1716,87848,199,1203,654,,,,,,,,,
2009|Virginia,2009,Virginia,1150421,38168,28554,1765355,4163,15890,60608,,,,,,,,,
2009|Washington,2009,Washington,852201,35755,24459,1370405,2654,17268,15307,,,,,,,,,
2009|West Virginia,2009,West Virginia,328060,14200,7775,689929,1366,4883,11571,,,,,,,,,
2009|Wisconsin,2009,Wisconsin,1018655,39624,24261,1596840,2614,16799,21691,,,,,,,,,
2009|Wyoming,2009,Wyoming,76383,2974,924,72024,205,619,1592,,,,,,,,,
2010|Alabama,2010,Alabama,1001501,41703,34952,2595031,8452,15966,25471,,,,,,,,,
2010|Alaska,2010,Alaska,54031,1624,443,23226,77,339,127,,,,,,,,,
2010|Arizona,2010,Arizona,1037003,32558,36031,2230817,6155,21903,80331,,,,,,,,,
2010|Arkansas,2010,Arkansas,500979,21974,14658,780091,2327,7806,30307,,,,,,,,,
2010|California,2010,California,4959951,151289,104200,7517609,13494,70706,70876,,,,,,,,,
2010|Colorado,2010,Colorado,730125,24996,18257,1020443,2664,11887,23478,,,,,,,,,
2010|Connecticut,2010,Connecticut,695205,24484,12328,590781,1078,10784,26368,,,,,,,,,
2010|Delaware,2010,Delaware,140197,6222,6306,498418,930,2718,6740,,,,,,,,,
2010|District of Columbia,2010,District of Columbia,65518,3296,1352,104155,372,955,1438,,,,,,,,,
2010|Florida,2010,Florida,4062148,140204,113221,6890763,17489,62987,260473,,,,,,,,,
2010|Georgia,2010,Georgia,1221300,49487,37345,2660341,5798,20444,71150,,,,,,,,,
2010|Hawaii,2010,Hawaii,255207,8750,3056,208884,425,2591,617,,,,,,,,,
2010|Idaho,2010,Idaho,229001,10210,6371,536790,998,3469,1203,,,,,,,,,
2010|Illinois,2010,Illinois,2134688,67905,40745,2759796,5145,36423,66114,,,,,,,,,
2010|Indiana,2010,Indiana,850181,36881,21701,1750042,3621,17715,30941,,,,,,,,,
2010|Iowa,2010,Iowa,440555,19749,16811,1050857,1698,14456,20311,,,,,,,,,
2010|Kansas,2010,Kansas,466706,21131,13876,1056751,1929,7946,10518,,,,,,,,,
2010|Kentucky,2010,Kentucky,760114,26100,16295,1027231,1363,9793,22589,,,,,,,,,
2010|Louisiana,2010,Louisiana,859041,27561,17345,1570409,4329,13873,22765,,,,,,,,,
2010|Maine,2010,Maine,309934,9456,6419,381817,602,3712,8338,,,,,,,,,
2010|Maryland,2010,Maryland,864232,31140,18014,802596,1794,11978,20261,,,,,,,,,
2010|Massachusetts,2010,Massachusetts,1178277,47112,25666,1719538,4162,17838,20592,,,,,,,,,
2010|Michigan,2010,Michigan,1440284,57971,54721,3071450,5886,28943,46270,,,,,,,,,
2010|Minnesota,2010,Minnesota,850727,33646,16569,993538,2107,11523,6148,,,,,,,,,
2010|Mississippi,2010,Mississippi,516607,23107,17251,1241531,4962,6827,21472,,,,,,,,,
2010|Missouri,2010,Missouri,939369,40389,32644,1908862,4195,21479,9970,,,,,,,,,
2010|Montana,2010,Montana,158853,5851,4050,268081,545,2797,2192,,,,,,,,,
2010|Nebraska,2010,Nebraska,322205,13454,7863,410394,947,5938,2784,,,,,,,,,
2010|Nevada,2010,Nevada,443100,12297,11519,669921,1135,6589,15629,,,,,,,,,
2010|New Hampshire,2010,New Hampshire,232441,10023,4883,209613,671,3293,5047,,,,,,,,,
2010|New Jersey,2010,New Jersey,1274840,62317,37284,2316082,5462,19036,27245,,,,,,,,,
2010|New Mexico,2010,New Mexico,282163,13914,6910,702387,1639,4481,11921,,,,,,,,,
2010|New York,2010,New York,3366517,116415,35859,2418186,6161,33161,78937,,,,,,,,,
2010|North Carolina,2010,North Carolina,1800782,60986,42967,2644328,5465,25476,72617,,,,,,,,,
2010|North Dakota,2010,North Dakota,129446,5754,2075,91634,260,1285,823,,,,,,,,,
2010|Ohio,2010,Ohio,2120788,99215,54645,3258714,9316,34689,92459,,,,,,,,,
2010|Oklahoma,2010,Oklahoma,568015,26770,22592,1816372,5593,11131,9483,,,,,,,,,
2010|Oregon,2010,Oregon,709849,21853,19918,845788,2601,11919,4434,,,,,,,,,
2010|Pennsylvania,2010,Pennsylvania,1917036,117022,72743,3509873,9043,38861,83587,,,,,,,,,
2010|Puerto Rico,2010,Puerto Rico,787579,24619,13040,1140680,2887,6355,644,,,,,,,,,
2010|Rhode Island,2010,Rhode Island,155450,7122,5304,347433,558,4166,14582,,,,,,,,,
2010|South Carolina,2010,South Carolina,882581,32224,25925,1913819,6722,11481,33172,,,,,,,,,
2010|South Dakota,2010,South Dakota,133227,6520,2573,106120,353,1706,1609,,,,,,,,,
2010|Tennessee,2010,Tennessee,1286139,51292,21717,1266865,3858,17978,39136,,,,,,,,,
2010|Texas,2010,Texas,3216106,131351,108463,6625589,15426,54890,83117,,,,,,,,,
2010|Utah,2010,Utah,349786,12760,9950,763578,2402,5718,4216,,,,,,,,,
2010|Vermont,2010,Vermont,103101,4686,1920,81771,193,1020,1482,,,,,,,,,
2010|Virginia,2010,Virginia,1038586,40664,20273,1535730,4540,13972,19359,,,,,,,,,
2010|Washington,2010,Washington,819114,31331,25137,1351584,2651,16409,19221,,,,,,,,,
2010|West Virginia,2010,West Virginia,418580,16215,9095,733597,1298,5579,11141,,,,,,,,,
2010|Wisconsin,2010,Wisconsin,1131251,43101,25062,1584889,2747,20328,21789,,,,,,,,,
2010|Wyoming,2010,Wyoming,78728,2820,1068,72977,202,851,948,,,,,,,,,
2011|Alabama,2011,Alabama,937462,33274,25359,2814970,6671,14013,17954,,,,,,,,,
2011|Alaska,2011,Alaska,55377,1765,471,29214,78,342,96,,,,,,,,,
2011|Arizona,2011,Arizona,948346,35400,34286,2740222,5783,21662,77149,,,,,,,,,
2011|Arkansas,2011,Arkansas,515170,23025,16370,794252,1914,10206,31784,,,,,,,,,
2011|California,2011,California,5897354,199050,104450,8135966,16771,73566,50729,,,,,,,,,
2011|Colorado,2011,Colorado,774230,23495,20815,1480153,2355,10851,29922,,,,,,,,,
2011|Connecticut,2011,Connecticut,671289,22634,15297,662276,1560,10848,35064,,,,,,,,,
2011|Delaware,2011,Delaware,178051,5891,6504,470302,1205,2835,9485,,,,,,,,,
2011|District of Columbia,2011,District of Columbia,90963,2970,1599,128214,377,1100,1642,,,,,,,,,
2011|Florida,2011,Florida,3588078,130971,116025,6177773,17562,83730,275124,,,,,,,,,
2011|Georgia,2011,Georgia,1499874,48343,49531,3328940,5896,24725,72088,,,,,,,,,
2011|Hawaii,2011,Hawaii,263604,7804,3444,207516,475,3192,1414,,,,,,,,,
2011|Idaho,2011,Idaho,200608,9413,7744,481891,1125,3730,1314,,,,,,,,,
2011|Illinois,2011,Illinois,2149234,94976,39729,3036888,4651,35118,65748,,,,,,,,,
