CMTS Type:,acr,Version:,8.45,,OTN/Hub Name:,A1Atlanta (GA),,Cities Served:,Atlanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,downloaded 8.45
# of Nodes:,104,Submitted date:,01/18/2015,,Facility DNS:,A1atlanta.ga,,Opt Tran:,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total HHP:,5031,Implementation Date:,01/19/2015,,CLLI Code:,ATLAGA31,,Opt Rec:,101,,MULTI-CONFIG:,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicator City,State,Fiber Node,Corp ID (DST) or Sys Prin (CSG) or SysPrinAgent (CSG),GL,Virtual Node Indicator,Old Node ID (If Applicable),Homes Passed,Optical Transmitter,Optical Receiver,Service Delivery Type,Unit ID (DNS),Unit ID - IP,MAC Domain,Downstream Slot,Downstream Physical Port,I-CMTS Logical Downstream Port,Downstream Freq. (MHz),Downstream Modulation (64 or 256QAM),EDGE QAM Name,EDGE QAM IP,Modular RF Channel ID,EDGE QAM Input Port,EDGE QAM Output Slot,EDGE QAM Output Port,EDGE QAM Output Port Channel,Upstream Slot,Logical Upstream Port,Physical Upstream Port,Upstream Freq. (Mhz),Upstream Channel Width (MHz),"Upstream Modulation (8,16,32,64, 128QAM or QPSK)",Multiplexing Technique,Serving Group,NCP Changes (previous serving groups or notes),Modem Count,Node Group,Downstream Plant,OM-1000 Name,NC-1500 Name,EMM Multicast IP,SI Multicast IP,DSG RADD Name,DSG RADD Device IP,OM-1000 Device IP,SCTE-18 EAS Name,SCTE-18 EAS Encoder IP,SCTE-18 EAS Model,SCTE-18 EAS Multicast IP,SCTE-65 Multicast IP,XAIT Multicast IP,XAIT Device IP,SA (CA) Multicast IP,SA DNCS DBDS Interface IP,VOD Server Group,FFOArea,PlantOps,TechOps,HeadEndOps,MTA Count,MARKET DEFINED 1,MARKET DEFINED 2,MARKET DEFINED 3,MARKET DEFINED 4,MARKET DEFINED 5
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,342,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1037,82201800,000570,TBD,,0,30,10C,PacketCable,acr01.a1atlanta.ga.atlanta.comcast.net,68.85.11.60,18,10,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,2,"8,9,10",2,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr01.a1atlanta.ga.atlanta.comcast.net-10/1/15/2/2/10,,310,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,105,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,310,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1038,82201800,000570,TBD,,0,23,7B,PacketCable,acr01.a1atlanta.ga.atlanta.comcast.net,68.85.11.60,29,9,4,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,3,"4,5,6",1,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr01.a1atlanta.ga.atlanta.comcast.net-9/4/15/3/1/6,,429,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,169,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,429,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1040,82201800,000570,TBD,,0,1,1A,PacketCable,acr01.a1atlanta.ga.atlanta.comcast.net,68.85.11.60,6,12,5,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,1,"8,9,10",5,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr01.a1atlanta.ga.atlanta.comcast.net-12/5/15/1/5/10,,317,6,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,128,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,317,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1041,82201800,000570,TBD,,0,42,4B,PacketCable,acr01.a1atlanta.ga.atlanta.comcast.net,68.85.11.60,34,8,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,3,"4,5,6",10,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr01.a1atlanta.ga.atlanta.comcast.net-8/1/15/3/10/6,,228,34,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,51,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,228,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1044,82201800,000570,TBD,,0,24,8B,PacketCable,acr01.a1atlanta.ga.atlanta.comcast.net,68.85.11.60,13,11,4,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,1,"4,5,6",16,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr01.a1atlanta.ga.atlanta.comcast.net-11/4/15/1/16/6,,229,13,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,99,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,229,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1045,82201800,000570,TBD,,0,25,8D,PacketCable,acr01.a1atlanta.ga.atlanta.comcast.net,68.85.11.60,21,10,4,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,2,"8,9,10",8,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr01.a1atlanta.ga.atlanta.comcast.net-10/4/15/2/8/10,,474,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,135,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,474,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1047,82201800,000570,TBD,,0,51,11B,PacketCable,acr01.a1atlanta.ga.atlanta.comcast.net,68.85.11.60,5,12,4,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,1,"4,5,6",4,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr01.a1atlanta.ga.atlanta.comcast.net-12/4/15/1/4/6,,296,5,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,103,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,296,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1048,82201800,000570,TBD,,0,50,11B,PacketCable,acr01.a1atlanta.ga.atlanta.comcast.net,68.85.11.60,39,8,6,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,3,"0,1,2",21,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr01.a1atlanta.ga.atlanta.comcast.net-8/6/15/3/21/2,,379,39,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,153,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,379,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1049,82201800,000570,TBD,,0,48,10D,PacketCable,acr01.a1atlanta.ga.atlanta.comcast.net,68.85.11.60,35,8,2,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,3,"0,1,2",12,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr01.a1atlanta.ga.atlanta.comcast.net-8/2/15/3/12/2,,166,35,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,83,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,166,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1050A,82201800,000570,TBD,,0,52,12C,PacketCable,acr01.a1atlanta.ga.atlanta.comcast.net,68.85.11.60,34,8,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,3,"8,9,10",11,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr01.a1atlanta.ga.atlanta.comcast.net-8/1/15/3/11/10,,154,34,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,75,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,154,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1051,82201800,000570,TBD,,0,55,13D,PacketCable,acr01.a1atlanta.ga.atlanta.comcast.net,68.85.11.60,23,10,6,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,2,"4,5,6",13,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr01.a1atlanta.ga.atlanta.comcast.net-10/6/15/2/13/6,,219,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,107,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,219,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1053,82201800,000570,TBD,,0,10,4D,PacketCable,acr01.a1atlanta.ga.atlanta.comcast.net,68.85.11.60,10,11,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,1,"4,5,6",10,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr01.a1atlanta.ga.atlanta.comcast.net-11/1/15/1/10/6,,519,10,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,212,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,519,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1055,82201800,000570,TBD,,0,8,3C,PacketCable,acr01.a1atlanta.ga.atlanta.comcast.net,68.85.11.60,26,9,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,2,"0,1,2",18,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr01.a1atlanta.ga.atlanta.comcast.net-9/1/15/2/18/2,,191,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,37,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,191,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1056,82201800,000570,TBD,,332,29,9A,PacketCable,acr01.a1atlanta.ga.atlanta.comcast.net,68.85.11.60,30,9,5,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,3,"8,9,10",2,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr01.a1atlanta.ga.atlanta.comcast.net-9/5/15/3/2/10,,282,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,84,
Total Node,,,,,,,332,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,282,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1057,82201800,000570,TBD,,0,49,11C,PacketCable,acr01.a1atlanta.ga.atlanta.comcast.net,68.85.11.60,16,11,7,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,1,"4,5,6",22,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr01.a1atlanta.ga.atlanta.comcast.net-11/7/15/1/22/6,,274,16,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,71,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,274,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1059,82201800,000570,TBD,,0,36,9D,PacketCable,acr01.a1atlanta.ga.atlanta.comcast.net,68.85.11.60,19,10,2,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,2,"4,5,6",4,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr01.a1atlanta.ga.atlanta.comcast.net-10/2/15/2/4/6,,206,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,60,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,206,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1060,82201800,000570,TBD,,0,46,10B,PacketCable,acr01.a1atlanta.ga.atlanta.comcast.net,68.85.11.60,26,9,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,2,"4,5,6",19,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr01.a1atlanta.ga.atlanta.comcast.net-9/1/15/2/19/6,,111,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,29,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,111,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1061,82201800,000570,TBD,,0,53,12A,PacketCable,acr01.a1atlanta.ga.atlanta.comcast.net,68.85.11.60,37,8,4,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,3,"4,5,6",16,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr01.a1atlanta.ga.atlanta.comcast.net-8/4/15/3/16/6,,415,37,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,127,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,415,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1063A,82201800,000570,TBD,,0,39,13B,PacketCable,acr01.a1atlanta.ga.atlanta.comcast.net,68.85.11.60,3,12,2,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,1,"8,9,10",2,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr01.a1atlanta.ga.atlanta.comcast.net-12/2/15/1/2/10,,339,3,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,82,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,339,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1064A,82201800,000570,TBD,,609,67,17B,PacketCable,acr01.a1atlanta.ga.atlanta.comcast.net,68.85.11.60,31,9,6,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,3,"8,9,10",5,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr01.a1atlanta.ga.atlanta.comcast.net-9/6/15/3/5/10,,99,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,74,
Total Node,,,,,,,609,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,99,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1064B,82201800,000570,TBD,,332,102,102,PacketCable,acr01.a1atlanta.ga.atlanta.comcast.net,68.85.11.60,30,9,5,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,3,"0,1,2",3,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr01.a1atlanta.ga.atlanta.comcast.net-9/5/15/3/3/2,,116,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,64,
Total Node,,,,,,,332,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,116,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1066,82201800,000570,TBD,,0,76,19B,PacketCable,acr01.a1atlanta.ga.atlanta.comcast.net,68.85.11.60,15,11,6,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,1,"8,9,10",20,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr01.a1atlanta.ga.atlanta.comcast.net-11/6/15/1/20/10,,148,15,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,41,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,148,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1067,82202000,000570,TBD,,0,79,20C,PacketCable,acr01.a1atlanta.ga.atlanta.comcast.net,68.85.11.60,23,10,6,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,2,"0,1,2",12,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr01.a1atlanta.ga.atlanta.comcast.net-10/6/15/2/12/2,,85,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,12,
