"All Employer-Insured Plans, All Claims",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Marketscan Continuance Table, 2009 Continuously Enrolled Beneficiaries",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Up To,Number of Enrollees,Avg. Cost per Enrollee (Max'd),Avg. Cost per Enrollee (Bucket),ER,Avg. ER Freq,IP,Avg. IP Freq,Primary Care,Avg. Primary Care Freq,Specialist,Avg. Specialist Freq,Mental Health and Sub. Abuse,Mental Health and Sub. Abuse Freq.,-,-,Imaging,Avg. Imaging Freq,-,-,-,-,Speech Therapy,Avg. Speech Therapy Freq,Occ. + Physical Therapy,Occ. + Physical Therapy Freq,-,-,Well Baby (Combined),Avg. Well Baby Freq (Combined),-,-,-,-,Well Baby (Unclass.),Avg. Well Baby Freq (Unclass.),Preventive (Combined),Avg. Prev. Freq (Combined),-,-,-,-,-,-,Laboratory,Avg. Laboratory Freq,X-rays (Combined),Avg. X-ray Freq (Combined),X-rays (Specialist),Avg. X-rays Freq (Specialist),X-rays (Primary),Avg. X-rays Freq (Primary),X-rays (Unclass.),Avg. X-rays Freq (Unclass.),SNF,Avg. SNF Freq.,Unclassified,Avg. Unclassified Freq,Avg. IP Days,Avg. SNF Days,Generics,Avg. Generics Prescriptions,Preferred Brand,Avg. Pref. Brand Prescriptions,Non-Preferred Brand,Avg. Non-Pref. Brand Prescriptions,Specialty High-Cost,Avg. Spec. Prescriptions,Chronic Maintenance,Avg. Chronic Maintenance,Unclassified,Avg. Unclassified Prescriptions,Mental Health - OP Facility,Avg. Mental Health - OP Facility Freq,Mental Health - OP Prof.,Avg. Mental Health - OP Prof. Freq,Sub. Abuse - OP Facility,Avg. Sub. Abuse - OP Facility Freq,Sub. Abuse - OP Prof.,Avg. Sub. Abuse - OP Prof. Freq,Imaging - OP Facility,Avg. Imaging - OP Facility Freq,Imaging - OP Prof.,Avg. Imaging - OP Prof. Freq,-,-,-,-,-,-,-,-,Speech Therapy - OP Facility,Avg. Speech Therapy - OP Facility Freq,Speech Therapy - OP Prof.,Avg. Speech Therapy - OP Prof. Freq,Occupational Therapy - OP Facility,Avg. Occ. Therapy - OP Facility Freq,Occupational Therapy - OP Prof.,Avg. Occ. Therapy - OP Prof. Freq,-,-,-,-,Laboratory - OP Facility,Avg. Lab - OP Facility Freq,Laboratory - OP Prof.,Avg. Lab - OP Prof. Freq,Unclassified - OP Facility,Avg. Unclass. - OP Facility Freq,Unclassified - OP Prof,Avg. Unclass. - OP Prof Freq,IP Max Days - 1,IP Max Days - 2,IP Max Days - 3,IP Max Days - 4,IP Max Days - 5,IP Max Days - 6,IP Max Days - 7,IP Max Days - 8,IP Max Days - 9,IP Max Days - 10,Primary Care >1 Visit,Primary Care >1 Visit Freq.,Primary Care >2 Visits,Primary Care >2 Visits Freq.,Primary Care >3 Visits,Primary Care >3 Visits Freq.,Primary Care >4 Visits,Primary Care >4 Visits Freq.,Primary Care >5 Visits,Primary Care >5 Visits Freq.,Primary Care >6 Visits,Primary Care >6 Visits Freq.,Primary Care >7 Visits,Primary Care >7 Visits Freq.,Primary Care >8 Visits,Primary Care >8 Visits Freq.,Primary Care >9 Visits,Primary Care >9 Visits Freq.,Primary Care >10 Visits,Primary Care >10 Visits Freq.,,,,,,,,,,
"$2,900","10,603","$1,629.88","$2,849.55",$18.60,0.046,$2.07,0.002,$155.08,1.955,$183.81,1.588,$0.55,0.004,0%,0.00,$25.15,0.114,.,0.00,.,0.00,$0.25,0.002,$1.67,0.000,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$204.30,1.230,.,0.00,.,0.00,.,0.00,$19.43,0.415,$23.41,0.162,$15.64,0.085,$5.16,0.027,$2.61,0.05,$0.00,0,$17.58,0.072,0.002,0,$90.69,2.979,$100.94,0.777,$57.91,0.321,$4.66,0.010,$0.00,0.000,.,0.00,$0.27,0.002,$0.03,0.000,.,0.00,.,0.00,$24.27,0.111,$0.17,0.001,.,0.00,.,0.00,.,0.00,.,0.00,$0.21,0.001,$0.00,0.000,$1.36,0.006,$0.00,0.000,.,0.00,.,0.00,$15.82,0.109,$0.06,0.000,$11.91,0.042,$0.10,0.001,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,$75.30,1.29,$48.04,0.83,$29.92,0.52,$18.41,0.33,$11.37,0.22,$7.08,0.14,$4.46,0.09,$2.86,0.06,$1.86,0.04,$1.23,0.03,,,,,,,,,,
"$3,000","10,179","$1,665.57","$2,949.34",$19.65,0.048,$2.35,0.002,$157.75,1.981,$189.59,1.627,$0.57,0.004,0%,0.00,$26.20,0.117,.,0.00,.,0.00,$0.26,0.002,$1.78,0.000,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$207.65,1.246,.,0.00,.,0.00,.,0.00,$20.11,0.423,$23.89,0.165,$15.99,0.086,$5.23,0.027,$2.68,0.05,$0.00,0,$18.50,0.075,0.003,0,$92.77,3.030,$104.79,0.801,$60.44,0.332,$4.94,0.011,$0.00,0.000,.,0.00,$0.28,0.002,$0.03,0.000,.,0.00,.,0.00,$25.29,0.114,$0.18,0.001,.,0.00,.,0.00,.,0.00,.,0.00,$0.22,0.001,$0.00,0.000,$1.46,0.006,$0.00,0.000,.,0.00,.,0.00,$16.40,0.112,$0.06,0.000,$12.49,0.043,$0.10,0.001,0.002 ,0.002 ,0.003 ,0.003 ,0.003 ,0.003 ,0.003 ,0.003 ,0.003 ,0.003 ,$76.96,1.31,$49.37,0.85,$30.94,0.54,$19.18,0.35,$11.93,0.22,$7.50,0.15,$4.76,0.10,$3.08,0.07,$2.02,0.05,$1.35,0.03,,,,,,,,,,
"$3,100","9,688","$1,700.49","$3,049.42",$20.61,0.049,$2.64,0.002,$160.14,2.004,$195.28,1.665,$0.59,0.004,0%,0.00,$27.31,0.120,.,0.00,.,0.00,$0.27,0.002,$1.89,0.000,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$210.77,1.262,.,0.00,.,0.00,.,0.00,$20.71,0.430,$24.41,0.168,$16.35,0.088,$5.31,0.027,$2.74,0.05,$0.00,0,$19.43,0.077,0.003,0,$94.82,3.080,$108.61,0.824,$62.98,0.343,$5.27,0.011,$0.00,0.000,.,0.00,$0.29,0.002,$0.03,0.000,.,0.00,.,0.00,$26.35,0.117,$0.20,0.001,.,0.00,.,0.00,.,0.00,.,0.00,$0.23,0.001,$0.00,0.000,$1.56,0.007,$0.00,0.000,.,0.00,.,0.00,$16.89,0.114,$0.06,0.000,$13.09,0.044,$0.10,0.001,0.002 ,0.003 ,0.003 ,0.003 ,0.003 ,0.003 ,0.003 ,0.003 ,0.003 ,0.003 ,$78.45,1.33,$50.59,0.86,$31.89,0.55,$19.90,0.36,$12.46,0.23,$7.88,0.16,$5.04,0.10,$3.28,0.07,$2.16,0.05,$1.46,0.04,,,,,,,,,,
"$3,200","9,264","$1,734.65","$3,149.77",$21.59,0.050,$2.93,0.002,$162.46,2.027,$201.19,1.702,$0.60,0.004,0%,0.00,$28.35,0.123,.,0.00,.,0.00,$0.28,0.002,$1.99,0.000,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$213.78,1.276,.,0.00,.,0.00,.,0.00,$21.33,0.436,$24.87,0.171,$16.68,0.089,$5.40,0.028,$2.80,0.05,$0.00,0,$20.41,0.080,0.003,0,$96.88,3.129,$112.26,0.846,$65.39,0.353,$5.64,0.012,$0.00,0.000,.,0.00,$0.30,0.002,$0.03,0.000,.,0.00,.,0.00,$27.36,0.119,$0.20,0.001,.,0.00,.,0.00,.,0.00,.,0.00,$0.24,0.001,$0.00,0.000,$1.65,0.007,$0.00,0.000,.,0.00,.,0.00,$17.39,0.117,$0.06,0.000,$13.68,0.046,$0.10,0.001,0.002 ,0.003 ,0.003 ,0.003 ,0.003 ,0.003 ,0.003 ,0.003 ,0.003 ,0.003 ,$79.91,1.35,$51.78,0.88,$32.83,0.57,$20.62,0.37,$13.00,0.24,$8.28,0.16,$5.34,0.11,$3.51,0.08,$2.34,0.05,$1.59,0.04,,,,,,,,,,
"$3,300","9,057","$1,768.09","$3,249.27",$22.51,0.052,$3.26,0.002,$164.77,2.049,$206.93,1.739,$0.62,0.004,0%,0.00,$29.33,0.126,.,0.00,.,0.00,$0.28,0.002,$2.10,0.000,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$216.72,1.290,.,0.00,.,0.00,.,0.00,$21.91,0.443,$25.35,0.173,$17.02,0.090,$5.47,0.028,$2.86,0.05,$0.00,0,$21.50,0.083,0.004,0,$98.93,3.177,$115.87,0.867,$67.83,0.363,$6.02,0.013,$0.00,0.000,.,0.00,$0.31,0.002,$0.03,0.000,.,0.00,.,0.00,$28.30,0.122,$0.21,0.001,.,0.00,.,0.00,.,0.00,.,0.00,$0.25,0.001,$0.00,0.000,$1.74,0.007,$0.00,0.000,.,0.00,.,0.00,$17.87,0.119,$0.06,0.000,$14.37,0.047,$0.11,0.001,0.002 ,0.003 ,0.003 ,0.004 ,0.004 ,0.004 ,0.004 ,0.004 ,0.004 ,0.004 ,$81.35,1.37,$52.95,0.90,$33.73,0.58,$21.30,0.38,$13.51,0.25,$8.65,0.17,$5.62,0.11,$3.71,0.08,$2.49,0.06,$1.70,0.04,,,,,,,,,,
"$3,400","8,682","$1,800.83","$3,349.76",$23.43,0.053,$3.61,0.002,$167.03,2.070,$212.41,1.774,$0.66,0.004,0%,0.00,$30.45,0.129,.,0.00,.,0.00,$0.29,0.002,$2.22,0.001,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$219.65,1.304,.,0.00,.,0.00,.,0.00,$22.49,0.450,$25.78,0.176,$17.32,0.092,$5.55,0.028,$2.91,0.06,$0.00,0,$22.46,0.085,0.004,0,$100.84,3.224,$119.59,0.889,$70.13,0.373,$6.38,0.013,$0.00,0.000,.,0.00,$0.34,0.002,$0.04,0.000,.,0.00,.,0.00,$29.38,0.125,$0.23,0.001,.,0.00,.,0.00,.,0.00,.,0.00,$0.25,0.001,$0.00,0.000,$1.86,0.008,$0.00,0.000,.,0.00,.,0.00,$18.36,0.121,$0.06,0.000,$14.95,0.048,$0.11,0.001,0.002 ,0.004 ,0.004 ,0.004 ,0.004 ,0.004 ,0.004 ,0.004 ,0.004 ,0.004 ,$82.77,1.39,$54.12,0.91,$34.66,0.60,$22.01,0.39,$14.04,0.26,$9.05,0.17,$5.91,0.12,$3.93,0.08,$2.65,0.06,$1.83,0.04,,,,,,,,,,
"$3,500","8,352","$1,832.89","$3,449.79",$24.40,0.054,$3.91,0.003,$169.21,2.090,$217.98,1.810,$0.69,0.005,0%,0.00,$31.48,0.132,.,0.00,.,0.00,$0.30,0.002,$2.32,0.001,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$222.38,1.318,.,0.00,.,0.00,.,0.00,$23.10,0.456,$26.26,0.178,$17.65,0.093,$5.62,0.029,$2.99,0.06,$0.00,0,$23.43,0.087,0.004,0,$102.84,3.270,$123.16,0.910,$72.56,0.383,$6.80,0.014,$0.00,0.000,.,0.00,$0.35,0.002,$0.04,0.000,.,0.00,.,0.00,$30.37,0.127,$0.23,0.001,.,0.00,.,0.00,.,0.00,.,0.00,$0.26,0.001,$0.00,0.000,$1.94,0.008,$0.00,0.000,.,0.00,.,0.00,$18.86,0.123,$0.07,0.000,$15.56,0.050,$0.11,0.001,0.003 ,0.004 ,0.004 ,0.004 ,0.004 ,0.004 ,0.004 ,0.004 ,0.004 ,0.004 ,$84.15,1.41,$55.25,0.93,$35.55,0.61,$22.69,0.40,$14.56,0.27,$9.44,0.18,$6.20,0.12,$4.14,0.09,$2.81,0.06,$1.95,0.04,,,,,,,,,,
"$3,600","8,060","$1,864.31","$3,549.96",$25.36,0.056,$4.35,0.003,$171.32,2.110,$223.47,1.843,$0.71,0.005,0%,0.00,$32.48,0.134,.,0.00,.,0.00,$0.31,0.002,$2.42,0.001,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$224.99,1.330,.,0.00,.,0.00,.,0.00,$23.76,0.462,$26.75,0.181,$18.00,0.094,$5.70,0.029,$3.05,0.06,$0.00,0,$24.46,0.090,0.005,0,$104.78,3.316,$126.64,0.931,$74.91,0.393,$7.25,0.014,$0.00,0.000,.,0.00,$0.36,0.002,$0.04,0.000,.,0.00,.,0.00,$31.32,0.130,$0.25,0.001,.,0.00,.,0.00,.,0.00,.,0.00,$0.27,0.001,$0.00,0.000,$2.03,0.008,$0.00,0.000,.,0.00,.,0.00,$19.41,0.126,$0.07,0.000,$16.19,0.051,$0.11,0.001,0.003 ,0.004 ,0.004 ,0.005 ,0.005 ,0.005 ,0.005 ,0.005 ,0.005 ,0.005 ,$85.48,1.43,$56.35,0.94,$36.42,0.62,$23.37,0.41,$15.07,0.27,$9.83,0.19,$6.49,0.13,$4.37,0.09,$2.98,0.06,$2.07,0.05,,,,,,,,,,
"$3,700","7,715","$1,895.09","$3,649.33",$26.41,0.057,$4.71,0.003,$173.36,2.129,$229.12,1.878,$0.75,0.005,0%,0.00,$33.57,0.137,.,0.00,.,0.00,$0.32,0.002,$2.53,0.001,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$227.55,1.342,.,0.00,.,0.00,.,0.00,$24.34,0.468,$27.21,0.183,$18.34,0.096,$5.76,0.029,$3.11,0.06,$0.00,0,$25.38,0.092,0.005,0,$106.68,3.358,$129.98,0.950,$77.13,0.402,$7.64,0.015,$0.00,0.000,.,0.00,$0.39,0.002,$0.04,0.000,.,0.00,.,0.00,$32.36,0.132,$0.26,0.001,.,0.00,.,0.00,.,0.00,.,0.00,$0.28,0.001,$0.00,0.000,$2.12,0.009,$0.00,0.000,.,0.00,.,0.00,$19.89,0.128,$0.07,0.000,$16.75,0.052,$0.11,0.001,0.003 ,0.004 ,0.005 ,0.005 ,0.005 ,0.005 ,0.005 ,0.005 ,0.005 ,0.005 ,$86.76,1.44,$57.40,0.96,$37.26,0.63,$24.02,0.42,$15.56,0.28,$10.19,0.19,$6.76,0.13,$4.57,0.09,$3.13,0.07,$2.19,0.05,,,,,,,,,,
"$3,800","7,593","$1,925.26","$3,749.80",$27.46,0.058,$5.10,0.003,$175.35,2.147,$234.51,1.912,$0.78,0.005,0%,0.00,$34.54,0.139,.,0.00,.,0.00,$0.35,0.002,$2.64,0.001,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$230.00,1.354,.,0.00,.,0.00,.,0.00,$24.97,0.474,$27.70,0.185,$18.71,0.097,$5.84,0.030,$3.16,0.06,$0.00,0,$26.35,0.094,0.005,0,$108.65,3.401,$133.22,0.968,$79.55,0.411,$8.08,0.016,$0.00,0.000,.,0.00,$0.41,0.002,$0.04,0.000,.,0.00,.,0.00,$33.30,0.135,$0.27,0.001,.,0.00,.,0.00,.,0.00,.,0.00,$0.30,0.001,$0.00,0.000,$2.22,0.009,$0.00,0.000,.,0.00,.,0.00,$20.41,0.130,$0.07,0.001,$17.32,0.054,$0.11,0.001,0.003 ,0.005 ,0.005 ,0.005 ,0.005 ,0.005 ,0.005 ,0.005 ,0.005 ,0.005 ,$88.02,1.46,$58.43,0.97,$38.07,0.64,$24.64,0.43,$16.03,0.29,$10.54,0.20,$7.02,0.14,$4.76,0.10,$3.27,0.07,$2.29,0.05,,,,,,,,,,
"$3,900","7,233","$1,954.84","$3,849.25",$28.51,0.060,$5.50,0.003,$177.28,2.165,$239.91,1.945,$0.82,0.005,0%,0.00,$35.61,0.142,.,0.00,.,0.00,$0.35,0.002,$2.73,0.001,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$232.41,1.366,.,0.00,.,0.00,.,0.00,$25.54,0.480,$28.12,0.188,$19.01,0.098,$5.89,0.030,$3.22,0.06,$0.00,0,$27.39,0.097,0.006,0,$110.40,3.441,$136.40,0.986,$81.88,0.421,$8.49,0.016,$0.00,0.000,.,0.00,$0.44,0.003,$0.04,0.000,.,0.00,.,0.00,$34.33,0.137,$0.27,0.001,.,0.00,.,0.00,.,0.00,.,0.00,$0.31,0.001,$0.00,0.000,$2.31,0.009,$0.00,0.000,.,0.00,.,0.00,$20.89,0.132,$0.07,0.001,$17.94,0.055,$0.12,0.001,0.003 ,0.005 ,0.005 ,0.006 ,0.006 ,0.006 ,0.006 ,0.006 ,0.006 ,0.006 ,$89.24,1.48,$59.46,0.99,$38.90,0.66,$25.28,0.44,$16.52,0.30,$10.90,0.20,$7.30,0.14,$4.97,0.10,$3.43,0.07,$2.41,0.05,,,,,,,,,,
"$4,000","7,059","$1,983.86","$3,949.56",$29.51,0.061,$5.93,0.004,$179.25,2.182,$245.11,1.977,$0.86,0.005,0%,0.00,$36.78,0.145,.,0.00,.,0.00,$0.36,0.002,$2.82,0.001,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$234.69,1.377,.,0.00,.,0.00,.,0.00,$26.11,0.486,$28.56,0.190,$19.32,0.100,$5.96,0.030,$3.27,0.06,$0.00,0,$28.38,0.099,0.006,0,$112.19,3.480,$139.59,1.004,$84.08,0.429,$8.97,0.017,$0.00,0.000,.,0.00,$0.47,0.003,$0.04,0.000,.,0.00,.,0.00,$35.46,0.140,$0.28,0.002,.,0.00,.,0.00,.,0.00,.,0.00,$0.32,0.001,$0.00,0.000,$2.40,0.010,$0.00,0.000,.,0.00,.,0.00,$21.36,0.134,$0.07,0.001,$18.50,0.056,$0.12,0.001,0.004 ,0.005 ,0.006 ,0.006 ,0.006 ,0.006 ,0.006 ,0.006 ,0.006 ,0.006 ,$90.47,1.49,$60.46,1.00,$39.70,0.67,$25.91,0.45,$17.00,0.30,$11.27,0.21,$7.58,0.15,$5.19,0.10,$3.60,0.08,$2.54,0.05,,,,,,,,,,
"$4,100","6,775","$2,012.32","$4,049.18",$30.59,0.062,$6.39,0.004,$181.14,2.199,$250.31,2.008,$0.88,0.006,0%,0.00,$37.81,0.147,.,0.00,.,0.00,$0.37,0.002,$2.92,0.001,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$236.85,1.387,.,0.00,.,0.00,.,0.00,$26.65,0.491,$28.97,0.192,$19.62,0.101,$6.03,0.031,$3.32,0.06,$0.00,0,$29.37,0.101,0.006,0,$113.90,3.519,$142.75,1.022,$86.36,0.438,$9.38,0.018,$0.00,0.000,.,0.00,$0.49,0.003,$0.04,0.000,.,0.00,.,0.00,$36.45,0.142,$0.29,0.002,.,0.00,.,0.00,.,0.00,.,0.00,$0.32,0.001,$0.00,0.000,$2.49,0.010,$0.00,0.000,.,0.00,.,0.00,$21.81,0.136,$0.07,0.001,$19.11,0.057,$0.12,0.001,0.004 ,0.006 ,0.006 ,0.006 ,0.006 ,0.006 ,0.006 ,0.006 ,0.006 ,0.006 ,$91.66,1.51,$61.45,1.01,$40.49,0.68,$26.53,0.46,$17.49,0.31,$11.64,0.22,$7.87,0.15,$5.41,0.11,$3.77,0.08,$2.67,0.06,,,,,,,,,,
"$4,200","6,649","$2,040.26","$4,149.79",$31.59,0.063,$6.80,0.004,$183.04,2.215,$255.29,2.038,$0.92,0.006,0%,0.00,$38.81,0.150,.,0.00,.,0.00,$0.38,0.002,$2.98,0.001,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$239.02,1.398,.,0.00,.,0.00,.,0.00,$27.20,0.496,$29.43,0.194,$19.95,0.102,$6.10,0.031,$3.38,0.06,$0.00,0,$30.36,0.103,0.007,0,$115.60,3.558,$145.94,1.039,$88.63,0.447,$9.82,0.018,$0.00,0.000,.,0.00,$0.51,0.003,$0.04,0.000,.,0.00,.,0.00,$37.41,0.144,$0.30,0.002,.,0.00,.,0.00,.,0.00,.,0.00,$0.33,0.002,$0.00,0.000,$2.54,0.010,$0.00,0.000,.,0.00,.,0.00,$22.28,0.138,$0.07,0.001,$19.70,0.058,$0.12,0.001,0.004 ,0.006 ,0.007 ,0.007 ,0.007 ,0.007 ,0.007 ,0.007 ,0.007 ,0.007 ,$92.86,1.52,$62.45,1.03,$41.29,0.69,$27.16,0.46,$17.97,0.32,$12.01,0.22,$8.15,0.16,$5.63,0.11,$3.94,0.08,$2.81,0.06,,,,,,,,,,
"$4,300","6,438","$2,067.68","$4,249.43",$32.56,0.064,$7.22,0.004,$184.85,2.231,$260.26,2.068,$0.93,0.006,0%,0.00,$39.88,0.152,.,0.00,.,0.00,$0.38,0.002,$3.10,0.001,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$241.23,1.408,.,0.00,.,0.00,.,0.00,$27.75,0.501,$29.88,0.197,$20.26,0.103,$6.17,0.031,$3.45,0.06,$0.00,0,$31.45,0.106,0.007,0,$117.31,3.595,$148.95,1.056,$90.86,0.456,$10.24,0.019,$0.00,0.000,.,0.00,$0.51,0.003,$0.04,0.000,.,0.00,.,0.00,$38.43,0.146,$0.31,0.002,.,0.00,.,0.00,.,0.00,.,0.00,$0.33,0.002,$0.00,0.000,$2.65,0.011,$0.00,0.000,.,0.00,.,0.00,$22.73,0.139,$0.07,0.001,$20.38,0.060,$0.12,0.001,0.004 ,0.006 ,0.007 ,0.007 ,0.007 ,0.007 ,0.007 ,0.007 ,0.007 ,0.007 ,$94.01,1.54,$63.41,1.04,$42.07,0.70,$27.78,0.47,$18.45,0.32,$12.39,0.23,$8.44,0.16,$5.85,0.12,$4.12,0.08,$2.95,0.06,,,,,,,,,,
"$4,400","6,262","$2,094.61","$4,350.36",$33.60,0.065,$7.62,0.004,$186.59,2.246,$265.36,2.098,$0.97,0.006,0%,0.00,$41.01,0.155,.,0.00,.,0.00,$0.39,0.002,$3.20,0.001,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$243.24,1.417,.,0.00,.,0.00,.,0.00,$28.32,0.506,$30.26,0.199,$20.53,0.104,$6.22,0.032,$3.51,0.06,$0.00,0,$32.55,0.108,0.007,0,$118.95,3.632,$152.11,1.073,$92.99,0.464,$10.84,0.020,$0.00,0.000,.,0.00,$0.53,0.003,$0.04,0.000,.,0.00,.,0.00,$39.52,0.149,$0.32,0.002,.,0.00,.,0.00,.,0.00,.,0.00,$0.33,0.002,$0.00,0.000,$2.74,0.011,$0.00,0.000,.,0.00,.,0.00,$23.21,0.141,$0.07,0.001,$21.03,0.061,$0.12,0.001,0.004 ,0.007 ,0.007 ,0.007 ,0.007 ,0.007 ,0.007 ,0.007 ,0.007 ,0.007 ,$95.12,1.55,$64.32,1.05,$42.80,0.71,$28.35,0.48,$18.89,0.33,$12.73,0.23,$8.70,0.16,$6.06,0.12,$4.28,0.09,$3.08,0.06,,,,,,,,,,
"$4,500","6,062","$2,121.04","$4,449.48",$34.59,0.066,$8.05,0.005,$188.32,2.261,$270.35,2.128,$1.00,0.006,0%,0.00,$42.13,0.157,.,0.00,.,0.00,$0.40,0.002,$3.30,0.001,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$245.28,1.427,.,0.00,.,0.00,.,0.00,$28.81,0.511,$30.70,0.201,$20.86,0.106,$6.27,0.032,$3.56,0.06,$0.00,0,$33.63,0.111,0.008,0,$120.52,3.667,$155.18,1.090,$95.17,0.472,$11.35,0.020,$0.00,0.000,.,0.00,$0.55,0.003,$0.05,0.000,.,0.00,.,0.00,$40.60,0.151,$0.33,0.002,.,0.00,.,0.00,.,0.00,.,0.00,$0.34,0.002,$0.00,0.000,$2.84,0.011,$0.00,0.000,.,0.00,.,0.00,$23.61,0.143,$0.07,0.001,$21.65,0.062,$0.13,0.001,0.004 ,0.007 ,0.007 ,0.008 ,0.008 ,0.008 ,0.008 ,0.008 ,0.008 ,0.008 ,$96.20,1.56,$65.23,1.06,$43.53,0.72,$28.92,0.49,$19.33,0.34,$13.05,0.24,$8.95,0.17,$6.24,0.12,$4.42,0.09,$3.19,0.07,,,,,,,,,,
"$4,600","5,909","$2,147.00","$4,549.84",$35.55,0.067,$8.48,0.005,$190.06,2.275,$275.13,2.155,$1.03,0.006,0%,0.00,$43.27,0.159,.,0.00,.,0.00,$0.41,0.002,$3.44,0.001,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$247.26,1.436,.,0.00,.,0.00,.,0.00,$29.33,0.516,$31.13,0.203,$21.18,0.107,$6.32,0.032,$3.63,0.06,$0.00,0,$34.69,0.113,0.008,0,$122.19,3.702,$158.02,1.105,$97.31,0.480,$11.86,0.021,$0.00,0.000,.,0.00,$0.58,0.003,$0.05,0.000,.,0.00,.,0.00,$41.70,0.153,$0.34,0.002,.,0.00,.,0.00,.,0.00,.,0.00,$0.35,0.002,$0.00,0.000,$2.97,0.012,$0.00,0.000,.,0.00,.,0.00,$24.03,0.145,$0.08,0.001,$22.25,0.063,$0.13,0.001,0.005 ,0.007 ,0.008 ,0.008 ,0.008 ,0.008 ,0.008 ,0.008 ,0.008 ,0.008 ,$97.30,1.58,$66.13,1.07,$44.25,0.73,$29.48,0.50,$19.76,0.34,$13.38,0.24,$9.20,0.17,$6.44,0.12,$4.57,0.09,$3.30,0.07,,,,,,,,,,
"$4,700","5,847","$2,172.49","$4,649.62",$36.66,0.068,$8.92,0.005,$191.74,2.289,$279.78,2.182,$1.05,0.006,0%,0.00,$44.29,0.162,.,0.00,.,0.00,$0.42,0.002,$3.56,0.001,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$249.29,1.446,.,0.00,.,0.00,.,0.00,$29.86,0.520,$31.53,0.205,$21.47,0.108,$6.37,0.032,$3.69,0.06,$0.00,0,$35.87,0.115,0.008,0,$123.84,3.738,$160.98,1.121,$99.44,0.489,$12.40,0.022,$0.00,0.000,.,0.00,$0.59,0.003,$0.05,0.000,.,0.00,.,0.00,$42.67,0.156,$0.35,0.002,.,0.00,.,0.00,.,0.00,.,0.00,$0.35,0.002,$0.00,0.000,$3.08,0.012,$0.00,0.000,.,0.00,.,0.00,$24.46,0.146,$0.08,0.001,$22.91,0.064,$0.13,0.001,0.005 ,0.007 ,0.008 ,0.008 ,0.008 ,0.008 ,0.008 ,0.008 ,0.008 ,0.008 ,$98.35,1.59,$67.00,1.08,$44.95,0.74,$30.02,0.50,$20.17,0.35,$13.69,0.25,$9.43,0.18,$6.61,0.13,$4.70,0.09,$3.40,0.07,,,,,,,,,,
