DESTINATION,CODES,NEW RATE USD,CONN CHARGE,EFFECTIVE DATE,STATUS
Brazil Mobile Claro,557183,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5571840,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5571841,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5571842,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5571843,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55718440,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55718441,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55718442,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55718443,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55718444,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55718445,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55718446,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55718448,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55718449,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55718450,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55718451,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,557381,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5573820,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5573821,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5573822,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55738230,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55738231,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55738232,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55738233,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55738234,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55738235,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55738236,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55738237,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5574810,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5574811,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5574812,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5574813,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55748140,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55748141,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55748142,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55748143,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55748144,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55748145,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,557581,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,557582,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5575830,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5575831,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5575832,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5575833,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5575834,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55758350,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55758351,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5577810,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5577811,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5577812,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5577813,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5577814,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5577815,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55778160,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55778161,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55778162,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55778163,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55778164,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55778165,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55778166,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55778167,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5579810,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5579811,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5579812,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5579813,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5579814,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5579815,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5579816,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5579817,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55798170,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55798171,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55798172,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55798173,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55798174,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55798175,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55798180,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5581730,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5581731,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5581732,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5581733,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55817340,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55817341,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55817342,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55817343,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55817344,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,558173450,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55817346,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55817347,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,558189,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,558191,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,558192,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,558193,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,558194,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,558291,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,558293,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5582940,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5582941,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5582942,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55829430,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55829431,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55829432,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55829433,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55829434,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55829435,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55829436,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55829444,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,558391,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,558393,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5583940,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5583941,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55839420,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55839421,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55839444,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,558491,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5584920,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5584921,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5584922,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55849230,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55849231,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55849232,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55849233,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55849234,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55849235,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,558494,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,558591,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5585920,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5585921,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5585922,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5585923,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5585924,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5585925,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5585926,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5585927,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5585928,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55859290,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55859291,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55859292,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55859293,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55859294,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55859295,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55859298,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55859299,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55859400,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55859401,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55859402,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55859403,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55859404,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55859405,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55859444,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55869101,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55869102,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55869168,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,558694,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5586950,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5586951,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5586952,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5586953,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5586954,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5586955,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5586956,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5586957,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55869580,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55869581,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55869583,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55869584,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55869585,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55869586,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55869587,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55869588,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55869589,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55869590,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55869591,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55869592,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55869593,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55869594,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55869595,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55869596,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55869597,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55869598,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,558791,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55879200,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55879201,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55879202,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55879203,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55879204,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55879205,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55879206,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55879207,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55879208,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55879243,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55879253,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55879444,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55889101,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55889102,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,558892,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5588930,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5588931,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5588932,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5588933,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5588934,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5588935,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55889360,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,558894,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55899101,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55899102,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5589940,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5589941,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5589942,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5589943,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5589944,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5589945,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5589946,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55899470,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,55899471,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5591984,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5591985,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5592984,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5593984,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5594984,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5595984,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5596984,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5597984,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5598984,0.0197,0,30/Jan/16,SAME
Brazil Mobile Claro,5599984,0.0197,0,30/Jan/16,SAME
Brazil Mobile Oi,551192014,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,55119460,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,55119461,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,55119462,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,55119463,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,55119464,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,55119465,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551194660,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551194661,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551194662,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551194663,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551194666,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551194669,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551195252,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551195253,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551195254,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551195255,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551195256,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551195257,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551195258,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551195259,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551195260,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551195261,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551195262,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551195263,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551195264,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551195265,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551195266,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551195267,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,55119540,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,55119541,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,55119570,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,55119571,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,55119572,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,55119573,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,55119574,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,55119575,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551195760,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551195761,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551195762,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551195763,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551195764,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551195765,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551195766,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551195767,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551195768,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,55119601,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,55119602,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,55119603,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,55119604,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551196050,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551196051,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551196052,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551196053,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551196054,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551196055,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551196056,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551196086,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551196087,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551196088,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551196089,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,55119609,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,55119610,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,55119611,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,55119612,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,55119613,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,55119614,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,55119615,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551196160,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551196161,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551196162,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551196163,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551196164,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551196165,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551196166,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551196167,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,5511962,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,55119650,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,55119651,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,55119652,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,55119653,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,55119654,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,55119655,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,55119656,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551196651,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551196652,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551196653,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551196654,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551196655,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551196656,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551196657,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551196658,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551196659,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,55119666,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,55119667,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,55119668,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,55119669,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,5511967,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,55119680,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,55119681,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551196820,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551196821,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551196822,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551196823,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551196824,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551196825,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551196826,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551196867,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551196868,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551196869,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,55119687,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,55119688,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,55119689,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551196932,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551196933,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551196934,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551196935,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551196936,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551196937,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551196938,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551196939,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,55119694,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,55119695,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,55119696,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,55119697,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,55119698,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,55119699,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551197971,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551197972,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551197973,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551197974,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551197975,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551197976,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551197977,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551197978,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,551197979,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,55119798,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,55119799,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,5511980,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,5512987,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,5512988,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,5513988,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,5514988,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,5515988,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,5516988,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,5517988,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,5518988,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,5519987,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,5519988,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,5522988,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,5524988,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,5527988,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,5528988,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,55316201,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,5531801,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,5531802,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,5531803,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,55318040,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,55318041,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,55318042,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,55318043,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,55318044,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,55318045,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,55318046,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,55318047,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,55318048,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,553185,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,553186,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,553187,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,553188,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,553189,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,55328701,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,55328702,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,55328703,0.0194,0,30/Jan/16,SAME
Brazil Mobile Oi,55328704,0.0194,0,30/Jan/16,SAME
