Bundespräsidentenwahl  25. April 2010,,,,,,, Stand: , 30/04/10 18:40:45,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Nr.,Name,Wahlbe-, abgegeb. , Wahlbet. , ungültige ,, gültige ,,Dr. Fischer,,Dr. Gehring,, Rosenkranz ,, P 4 ,, P 5 ,, P 6 ,, erste Eingabe ,, letzte Eingabe ,
40620,Tragwein                      ,"2,451"," 1,553 ", 63.36 , 133 , 8.56 ," 1,420 ", 91.44 ," 1,206 ", 84.93 , 92 , 6.48 , 122 , 8.59 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,15:01:38,25/04/2010,15:01:38
40621,Unterweißenbach               ,"1,915"," 1,033 ", 53.94 , 106 , 10.26 , 927 , 89.74 , 746 , 80.47 , 68 , 7.34 , 113 , 12.19 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,16:23:55,25/04/2010,16:23:55
40622,Unterweitersdorf              ,"1,551"," 1,018 ", 65.64 , 80 , 7.86 , 938 , 92.14 , 795 , 84.75 , 49 , 5.22 , 94 , 10.02 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,16:40:32,25/04/2010,16:40:32
40623,Waldburg                      ,"1,074", 624 , 58.10 , 45 , 7.21 , 579 , 92.79 , 463 , 79.97 , 51 , 8.81 , 65 , 11.23 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:50:41,25/04/2010,13:50:41
40624,Wartberg ob der Aist          ,"3,285"," 1,990 ", 60.58 , 137 , 6.88 ," 1,853 ", 93.12 ," 1,516 ", 81.81 , 88 , 4.75 , 249 , 13.44 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,16:06:53,25/04/2010,16:06:53
40625,Weitersfelden                 ,864, 543 , 62.85 , 69 , 12.71 , 474 , 87.29 , 399 , 84.18 , 40 , 8.44 , 35 , 7.38 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,14:55:02,25/04/2010,14:55:02
40626,Windhaag bei Freistadt        ,"1,292", 778 , 60.22 , 100 , 12.85 , 678 , 87.15 , 548 , 80.83 , 45 , 6.64 , 85 , 12.54 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,14:10:33,25/04/2010,14:10:33
40627,Bad Zell                      ,"2,199"," 1,323 ", 60.16 , 117 , 8.84 ," 1,206 ", 91.16 , 976 , 80.93 , 72 , 5.97 , 158 , 13.10 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,14:56:00,25/04/2010,14:56:00
40699,Wahlkarten Freistadt                     ,0," 1,845 ", 0 , 103 , 5.58 ," 1,742 ", 94.42 ," 1,496 ", 85.88 , 93 , 5.34 , 153 , 8.78 , 0 , 0 , 0 , 0 , 0 , 0 ,30/04/2010,14:17:50,30/04/2010,14:17:50
40700,Bezirk Gmunden                       ,"78,627"," 45,861 ", 58.33 ," 3,176 ", 6.93 ," 42,685 ", 93.07 ," 34,624 ", 81.12 ," 2,284 ", 5.35 ," 5,777 ", 13.53 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,17:28:02,30/04/2010,17:40:27
40701,Altmünster                    ,"7,779"," 4,308 ", 55.38 , 305 , 7.08 ," 4,003 ", 92.92 ," 3,299 ", 82.41 , 225 , 5.62 , 479 , 11.97 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,17:16:03,25/04/2010,17:16:03
40702,Bad Goisern                   ,"6,034"," 3,220 ", 53.36 , 176 , 5.47 ," 3,044 ", 94.53 ," 2,512 ", 82.52 , 159 , 5.22 , 373 , 12.25 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,16:11:08,25/04/2010,16:11:08
40703,Bad Ischl                     ,"11,019"," 5,293 ", 48.04 , 371 , 7.01 ," 4,922 ", 92.99 ," 3,963 ", 80.52 , 230 , 4.67 , 729 , 14.81 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,15:10:09,25/04/2010,15:10:09
40704,Ebensee                       ,"6,555"," 3,545 ", 54.08 , 227 , 6.40 ," 3,318 ", 93.60 ," 2,790 ", 84.09 , 128 , 3.86 , 400 , 12.06 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,16:45:57,25/04/2010,16:45:57
40705,Gmunden                       ,"10,208"," 5,015 ", 49.13 , 387 , 7.72 ," 4,628 ", 92.28 ," 3,641 ", 78.67 , 257 , 5.55 , 730 , 15.77 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,16:00:13,25/04/2010,16:00:13
40706,Gosau                         ,"1,536", 864 , 56.25 , 36 , 4.17 , 828 , 95.83 , 687 , 82.97 , 39 , 4.71 , 102 , 12.32 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,14:54:22,25/04/2010,14:54:22
40707,Grünau im Almtal              ,"1,635", 942 , 57.61 , 73 , 7.75 , 869 , 92.25 , 654 , 75.26 , 57 , 6.56 , 158 , 18.18 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,16:13:59,25/04/2010,16:13:59
40708,Gschwandt                     ,"2,049"," 1,106 ", 53.98 , 73 , 6.60 ," 1,033 ", 93.40 , 827 , 80.06 , 69 , 6.68 , 137 , 13.26 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,16:11:31,25/04/2010,16:11:31
40709,Hallstatt                     ,693, 466 , 67.24 , 32 , 6.87 , 434 , 93.13 , 368 , 84.79 , 14 , 3.23 , 52 , 11.98 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,15:41:01,25/04/2010,15:41:01
40710,Kirchham                      ,"1,512", 760 , 50.26 , 93 , 12.24 , 667 , 87.76 , 510 , 76.46 , 50 , 7.50 , 107 , 16.04 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:47:55,25/04/2010,13:47:55
40711,Laakirchen                    ,"6,959"," 4,025 ", 57.84 , 301 , 7.48 ," 3,724 ", 92.52 ," 3,088 ", 82.92 , 175 , 4.70 , 461 , 12.38 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,15:50:25,25/04/2010,16:36:04
40712,Obertraun                     ,577, 401 , 69.50 , 14 , 3.49 , 387 , 96.51 , 360 , 93.02 , 9 , 2.33 , 18 , 4.65 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,15:50:42,25/04/2010,15:50:42
40713,Ohlsdorf                      ,"3,852"," 2,058 ", 53.43 , 151 , 7.34 ," 1,907 ", 92.66 ," 1,547 ", 81.12 , 126 , 6.61 , 234 , 12.27 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,15:05:04,25/04/2010,15:05:04
40714,Pinsdorf                      ,"2,832"," 1,675 ", 59.15 , 135 , 8.06 ," 1,540 ", 91.94 ," 1,212 ", 78.70 , 82 , 5.32 , 246 , 15.97 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,16:11:53,25/04/2010,16:11:53
40715,Roitham                       ,"1,589", 836 , 52.61 , 80 , 9.57 , 756 , 90.43 , 588 , 77.78 , 47 , 6.22 , 121 , 16.01 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,15:18:50,25/04/2010,15:18:50
40716,St.Konrad                     ,859, 412 , 47.96 , 27 , 6.55 , 385 , 93.45 , 304 , 78.96 , 43 , 11.17 , 38 , 9.87 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,12:49:58,25/04/2010,12:49:58
40717,St.Wolfgang im Salzkammergut  ,"2,172", 992 , 45.67 , 70 , 7.06 , 922 , 92.94 , 716 , 77.66 , 52 , 5.64 , 154 , 16.70 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,17:28:02,25/04/2010,17:41:59
40718,Traunkirchen                  ,"1,359", 745 , 54.82 , 52 , 6.98 , 693 , 93.02 , 563 , 81.24 , 50 , 7.22 , 80 , 11.54 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,15:15:28,25/04/2010,15:15:28
40719,Scharnstein                   ,"3,690"," 1,931 ", 52.33 , 146 , 7.56 ," 1,785 ", 92.44 ," 1,405 ", 78.71 , 104 , 5.83 , 276 , 15.46 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,16:12:21,25/04/2010,16:12:21
40720,Vorchdorf                     ,"5,718"," 3,080 ", 53.86 , 218 , 7.08 ," 2,862 ", 92.92 ," 2,264 ", 79.11 , 163 , 5.70 , 435 , 15.20 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,16:12:29,25/04/2010,16:12:29
40799,Wahlkarten Gmunden                       ,0," 4,187 ", 0 , 209 , 4.99 ," 3,978 ", 95.01 ," 3,326 ", 83.61 , 205 , 5.15 , 447 , 11.24 , 0 , 0 , 0 , 0 , 0 , 0 ,30/04/2010,17:40:27,30/04/2010,17:40:27
40800,Bezirk Grieskirchen                  ,"49,455"," 28,525 ", 57.68 ," 2,329 ", 8.16 ," 26,196 ", 91.84 ," 20,253 ", 77.31 ," 1,742 ", 6.65 ," 4,201 ", 16.04 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,16:20:05,30/04/2010,16:18:07
40801,Aistersheim                   ,646, 355 , 54.95 , 33 , 9.30 , 322 , 90.70 , 246 , 76.40 , 21 , 6.52 , 55 , 17.08 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,12:51:26,25/04/2010,13:06:34
40802,Bad Schallerbach              ,"2,703"," 1,507 ", 55.75 , 142 , 9.42 ," 1,365 ", 90.58 ," 1,059 ", 77.58 , 70 , 5.13 , 236 , 17.29 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,15:49:10,25/04/2010,15:49:10
40803,Bruck-Waasen                  ,"1,858", 904 , 48.65 , 65 , 7.19 , 839 , 92.81 , 654 , 77.95 , 57 , 6.79 , 128 , 15.26 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,14:59:47,25/04/2010,14:59:47
40804,Eschenau im Hausruckkreis     ,915, 517 , 56.50 , 47 , 9.09 , 470 , 90.91 , 379 , 80.64 , 28 , 5.96 , 63 , 13.40 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:37:01,25/04/2010,13:37:01
40805,Gallspach                     ,"1,885"," 1,002 ", 53.16 , 57 , 5.69 , 945 , 94.31 , 687 , 72.70 , 85 , 8.99 , 173 , 18.31 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,14:54:41,25/04/2010,14:54:41
40806,Gaspoltshofen                 ,"2,847"," 1,531 ", 53.78 , 132 , 8.62 ," 1,399 ", 91.38 ," 1,025 ", 73.27 , 111 , 7.93 , 263 , 18.80 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:04:50,25/04/2010,13:04:54
40807,Geboltskirchen                ,"1,135", 643 , 56.65 , 62 , 9.64 , 581 , 90.36 , 433 , 74.53 , 69 , 11.88 , 79 , 13.60 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,14:09:16,25/04/2010,14:09:16
40808,Grieskirchen                  ,"3,589"," 1,906 ", 53.11 , 152 , 7.97 ," 1,754 ", 92.03 ," 1,332 ", 75.94 , 100 , 5.70 , 322 , 18.36 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,14:38:44,25/04/2010,14:38:44
40809,Haag am Hausruck              ,"1,625", 901 , 55.45 , 75 , 8.32 , 826 , 91.68 , 615 , 74.46 , 55 , 6.66 , 156 , 18.89 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:39:00,25/04/2010,13:39:00
40810,Heiligenberg                  ,540, 321 , 59.44 , 33 , 10.28 , 288 , 89.72 , 211 , 73.26 , 30 , 10.42 , 47 , 16.32 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,12:28:59,25/04/2010,12:28:59
40811,Hofkirchen an der Trattnach   ,"1,207", 642 , 53.19 , 56 , 8.72 , 586 , 91.28 , 445 , 75.94 , 40 , 6.83 , 101 , 17.24 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,14:04:48,25/04/2010,14:04:48
40812,Kallham                       ,"2,073"," 1,075 ", 51.86 , 77 , 7.16 , 998 , 92.84 , 779 , 78.06 , 45 , 4.51 , 174 , 17.43 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:39:08,25/04/2010,13:39:08
40813,Kematen am Innbach            ,"1,026", 560 , 54.58 , 45 , 8.04 , 515 , 91.96 , 391 , 75.92 , 26 , 5.05 , 98 , 19.03 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:49:20,25/04/2010,13:49:20
40814,Meggenhofen                   ,"1,051", 607 , 57.75 , 59 , 9.72 , 548 , 90.28 , 421 , 76.82 , 39 , 7.12 , 88 , 16.06 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:05:01,25/04/2010,13:05:01
40815,Michaelnbach                  ,"1,023", 533 , 52.10 , 40 , 7.50 , 493 , 92.50 , 385 , 78.09 , 34 , 6.90 , 74 , 15.01 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:19:24,25/04/2010,13:19:24
40816,Natternbach                   ,"1,921"," 1,088 ", 56.64 , 98 , 9.01 , 990 , 90.99 , 808 , 81.62 , 50 , 5.05 , 132 , 13.33 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,14:38:51,25/04/2010,14:38:51
40817,Neukirchen am Walde           ,"1,311", 777 , 59.27 , 66 , 8.49 , 711 , 91.51 , 542 , 76.23 , 62 , 8.72 , 107 , 15.05 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:44:28,25/04/2010,13:44:28
40818,Neumarkt im Hausruckkreis     ,"1,136", 566 , 49.82 , 35 , 6.18 , 531 , 93.82 , 385 , 72.50 , 33 , 6.21 , 113 , 21.28 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,15:34:04,25/04/2010,15:34:04
40819,Peuerbach                     ,"1,741", 846 , 48.59 , 58 , 6.86 , 788 , 93.14 , 610 , 77.41 , 62 , 7.87 , 116 , 14.72 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,15:03:44,25/04/2010,15:03:44
40820,Pötting                       ,440, 278 , 63.18 , 34 , 12.23 , 244 , 87.77 , 203 , 83.20 , 14 , 5.74 , 27 , 11.07 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,12:51:36,25/04/2010,12:51:36
40821,Pollham                       ,753, 428 , 56.84 , 56 , 13.08 , 372 , 86.92 , 288 , 77.42 , 37 , 9.95 , 47 , 12.63 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:49:25,25/04/2010,13:49:25
40822,Pram                          ,"1,439", 692 , 48.09 , 40 , 5.78 , 652 , 94.22 , 479 , 73.47 , 37 , 5.67 , 136 , 20.86 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,12:29:39,25/04/2010,12:29:39
40823,Rottenbach                    ,841, 469 , 55.77 , 31 , 6.61 , 438 , 93.39 , 316 , 72.15 , 33 , 7.53 , 89 , 20.32 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:44:39,25/04/2010,13:44:39
40824,St.Agatha                     ,"1,727", 874 , 50.61 , 80 , 9.15 , 794 , 90.85 , 648 , 81.61 , 56 , 7.05 , 90 , 11.34 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,14:04:54,25/04/2010,14:04:54
40825,St.Georgen bei Grieskirchen   ,896, 545 , 60.83 , 57 , 10.46 , 488 , 89.54 , 376 , 77.05 , 41 , 8.40 , 71 , 14.55 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:00:42,25/04/2010,13:00:42
40826,St.Thomas                     ,368, 206 , 55.98 , 25 , 12.14 , 181 , 87.86 , 134 , 74.03 , 16 , 8.84 , 31 , 17.13 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,12:29:53,25/04/2010,12:29:53
40827,Schlüßlberg                   ,"2,363"," 1,341 ", 56.75 , 86 , 6.41 ," 1,255 ", 93.59 ," 1,000 ", 79.68 , 68 , 5.42 , 187 , 14.90 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,14:44:23,25/04/2010,14:44:23
40828,Steegen                       ,879, 451 , 51.31 , 37 , 8.20 , 414 , 91.80 , 321 , 77.54 , 29 , 7.00 , 64 , 15.46 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,14:35:19,25/04/2010,14:35:19
40829,Taufkirchen an der Trattnach  ,"1,661", 826 , 49.73 , 66 , 7.99 , 760 , 92.01 , 582 , 76.58 , 44 , 5.79 , 134 , 17.63 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,14:35:29,25/04/2010,14:35:29
40830,Tollet                        ,727, 422 , 58.05 , 36 , 8.53 , 386 , 91.47 , 318 , 82.38 , 17 , 4.40 , 51 , 13.21 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,14:04:59,25/04/2010,14:04:59
40831,Waizenkirchen                 ,"2,936"," 1,552 ", 52.86 , 103 , 6.64 ," 1,449 ", 93.36 ," 1,154 ", 79.64 , 125 , 8.63 , 170 , 11.73 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:49:29,25/04/2010,13:49:29
40832,Wallern an der Trattnach      ,"2,299"," 1,302 ", 56.63 , 91 , 6.99 ," 1,211 ", 93.01 , 920 , 75.97 , 62 , 5.12 , 229 , 18.91 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,16:20:05,25/04/2010,16:20:05
40833,Weibern                       ,"1,273", 661 , 51.92 , 75 , 11.35 , 586 , 88.65 , 454 , 77.47 , 50 , 8.53 , 82 , 13.99 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,14:05:04,25/04/2010,14:05:04
40834,Wendling                      ,621, 329 , 52.98 , 37 , 11.25 , 292 , 88.75 , 217 , 74.32 , 14 , 4.79 , 61 , 20.89 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,12:22:36,25/04/2010,12:22:36
40899,Wahlkarten Grieskirchen                  ,0," 1,868 ", 0 , 143 , 7.66 ," 1,725 ", 92.34 ," 1,436 ", 83.25 , 82 , 4.75 , 207 , 12.00 , 0 , 0 , 0 , 0 , 0 , 0 ,30/04/2010,15:59:39,30/04/2010,16:18:07
40900,Bezirk Kirchdorf an der Krems        ,"43,126"," 24,815 ", 57.54 ," 1,798 ", 7.25 ," 23,017 ", 92.75 ," 17,709 ", 76.94 ," 1,771 ", 7.69 ," 3,537 ", 15.37 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,16:20:05,30/04/2010,17:04:31
40901,Edlbach                       ,519, 273 , 52.60 , 13 , 4.76 , 260 , 95.24 , 185 , 71.15 , 42 , 16.15 , 33 , 12.69 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:43:44,25/04/2010,13:43:44
40902,Grünburg                      ,"2,911"," 1,511 ", 51.91 , 106 , 7.02 ," 1,405 ", 92.98 ," 1,018 ", 72.46 , 121 , 8.61 , 266 , 18.93 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,14:47:03,25/04/2010,14:47:03
40903,Hinterstoder                  ,781, 357 , 45.71 , 26 , 7.28 , 331 , 92.72 , 230 , 69.49 , 21 , 6.34 , 80 , 24.17 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,14:46:20,25/04/2010,14:46:20
40904,Inzersdorf im Kremstal        ,"1,467", 826 , 56.31 , 60 , 7.26 , 766 , 92.74 , 587 , 76.63 , 56 , 7.31 , 123 , 16.06 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,15:47:24,25/04/2010,15:47:24
40905,Kirchdorf an der Krems        ,"3,085"," 1,620 ", 52.51 , 107 , 6.60 ," 1,513 ", 93.40 ," 1,231 ", 81.36 , 86 , 5.68 , 196 , 12.95 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,16:07:18,25/04/2010,16:07:18
40906,Klaus an der Pyhrnbahn        ,875, 567 , 64.80 , 25 , 4.41 , 542 , 95.59 , 427 , 78.78 , 40 , 7.38 , 75 , 13.84 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:44:27,25/04/2010,13:44:27
40907,Kremsmünster                  ,"4,735"," 2,236 ", 47.22 , 181 , 8.09 ," 2,055 ", 91.91 ," 1,579 ", 76.84 , 133 , 6.47 , 343 , 16.69 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,16:10:09,25/04/2010,16:10:09
40908,Micheldorf in Oberösterreich  ,"4,567"," 2,687 ", 58.84 , 135 , 5.02 ," 2,552 ", 94.98 ," 2,010 ", 78.76 , 163 , 6.39 , 379 , 14.85 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,16:20:05,25/04/2010,16:20:05
40909,Molln                         ,"2,802"," 1,620 ", 57.82 , 102 , 6.30 ," 1,518 ", 93.70 ," 1,176 ", 77.47 , 122 , 8.04 , 220 , 14.49 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,14:56:36,25/04/2010,14:56:36
40910,Nußbach                       ,"1,825", 974 , 53.37 , 100 , 10.27 , 874 , 89.73 , 693 , 79.29 , 84 , 9.61 , 97 , 11.10 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,14:57:03,25/04/2010,14:57:03
40911,Oberschlierbach               ,370, 214 , 57.84 , 26 , 12.15 , 188 , 87.85 , 151 , 80.32 , 20 , 10.64 , 17 , 9.04 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,12:32:51,25/04/2010,12:32:51
40912,Pettenbach                    ,"3,782"," 1,877 ", 49.63 , 167 , 8.90 ," 1,710 ", 91.10 ," 1,265 ", 73.98 , 117 , 6.84 , 328 , 19.18 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,15:20:31,25/04/2010,15:20:31
40913,Ried im Traunkreis            ,"2,067"," 1,104 ", 53.41 , 86 , 7.79 ," 1,018 ", 92.21 , 770 , 75.64 , 68 , 6.68 , 180 , 17.68 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,14:09:21,25/04/2010,14:09:21
40914,Rosenau am Hengstpaß          ,562, 333 , 59.25 , 17 , 5.11 , 316 , 94.89 , 238 , 75.32 , 31 , 9.81 , 47 , 14.87 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,14:57:29,25/04/2010,14:57:29
40915,Roßleithen                    ,"1,494", 770 , 51.54 , 48 , 6.23 , 722 , 93.77 , 544 , 75.35 , 82 , 11.36 , 96 , 13.30 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,16:18:28,25/04/2010,16:18:28
40916,St.Pankraz                    ,271, 151 , 55.72 , 7 , 4.64 , 144 , 95.36 , 98 , 68.06 , 5 , 3.47 , 41 , 28.47 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,12:10:36,25/04/2010,12:10:36
40917,Schlierbach                   ,"2,114"," 1,201 ", 56.81 , 67 , 5.58 ," 1,134 ", 94.42 , 874 , 77.07 , 96 , 8.47 , 164 , 14.46 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,15:24:40,25/04/2010,15:24:40
40918,Spital am Pyhrn               ,"1,744", 878 , 50.34 , 53 , 6.04 , 825 , 93.96 , 613 , 74.30 , 78 , 9.45 , 134 , 16.24 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,16:07:59,25/04/2010,16:07:59
40919,Steinbach am Ziehberg         ,664, 344 , 51.81 , 25 , 7.27 , 319 , 92.73 , 235 , 73.67 , 17 , 5.33 , 67 , 21.00 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,12:31:46,25/04/2010,12:31:46
40920,Steinbach an der Steyr        ,"1,583", 917 , 57.93 , 112 , 12.21 , 805 , 87.79 , 615 , 76.40 , 69 , 8.57 , 121 , 15.03 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:04:50,25/04/2010,13:04:50
40921,Vorderstoder                  ,655, 308 , 47.02 , 28 , 9.09 , 280 , 90.91 , 197 , 70.36 , 23 , 8.21 , 60 , 21.43 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,14:57:56,25/04/2010,14:57:56
40922,Wartberg an der Krems         ,"2,330"," 1,211 ", 51.97 , 103 , 8.51 ," 1,108 ", 91.49 , 875 , 78.97 , 76 , 6.86 , 157 , 14.17 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,14:58:28,25/04/2010,14:58:28
40923,Windischgarsten               ,"1,923", 957 , 49.77 , 68 , 7.11 , 889 , 92.89 , 676 , 76.04 , 87 , 9.79 , 126 , 14.17 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,15:43:14,25/04/2010,15:43:14
40999,Wahlkarten Kirchdorf an der Krems        ,0," 1,879 ", 0 , 136 , 7.24 ," 1,743 ", 92.76 ," 1,422 ", 81.58 , 134 , 7.69 , 187 , 10.73 , 0 , 0 , 0 , 0 , 0 , 0 ,30/04/2010,17:04:31,30/04/2010,17:04:31
41000,Bezirk Linz-Land                     ,"104,427"," 61,216 ", 58.62 ," 4,032 ", 6.59 ," 57,184 ", 93.41 ," 45,703 ", 79.92 ," 2,545 ", 4.45 ," 8,936 ", 15.63 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,17:17:00,30/04/2010,18:40:45
41001,Allhaming                     ,835, 490 , 58.68 , 52 , 10.61 , 438 , 89.39 , 356 , 81.28 , 34 , 7.76 , 48 , 10.96 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:19:58,25/04/2010,13:19:58
41002,Ansfelden                     ,"11,112"," 6,013 ", 54.11 , 326 , 5.42 ," 5,687 ", 94.58 ," 4,413 ", 77.60 , 188 , 3.31 ," 1,086 ", 19.10 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,17:14:26,25/04/2010,17:14:26
41003,Asten                         ,"4,704"," 2,462 ", 52.34 , 161 , 6.54 ," 2,301 ", 93.46 ," 1,789 ", 77.75 , 114 , 4.95 , 398 , 17.30 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,16:47:15,25/04/2010,16:47:15
41004,Eggendorf im Traunkreis       ,601, 352 , 58.57 , 30 , 8.52 , 322 , 91.48 , 250 , 77.64 , 21 , 6.52 , 51 , 15.84 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:33:52,25/04/2010,13:33:52
41005,Enns                          ,"8,128"," 4,165 ", 51.24 , 289 , 6.94 ," 3,876 ", 93.06 ," 3,061 ", 78.97 , 162 , 4.18 , 653 , 16.85 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,15:31:01,25/04/2010,15:31:01
41006,Hargelsberg                   ,975, 554 , 56.82 , 63 , 11.37 , 491 , 88.63 , 397 , 80.86 , 29 , 5.91 , 65 , 13.24 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,14:40:26,25/04/2010,14:40:26
41007,Hörsching                     ,"4,531"," 2,433 ", 53.70 , 151 , 6.21 ," 2,282 ", 93.79 ," 1,749 ", 76.64 , 93 , 4.08 , 440 , 19.28 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,15:56:47,25/04/2010,15:56:47
41008,Hofkirchen im Traunkreis      ,"1,329", 696 , 52.37 , 48 , 6.90 , 648 , 93.10 , 521 , 80.40 , 27 , 4.17 , 100 , 15.43 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,14:05:03,25/04/2010,14:05:03
41009,Kematen an der Krems          ,"1,851"," 1,021 ", 55.16 , 71 , 6.95 , 950 , 93.05 , 693 , 72.95 , 97 , 10.21 , 160 , 16.84 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,14:12:08,25/04/2010,14:12:08
