"All Employer-Insured Plans, Medical Only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Marketscan Continuance Table, 2009 Continuously Enrolled Beneficiaries",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Up To,Number of Enrollees,Avg. Cost per Enrollee (Max'd),Avg. Cost per Enrollee (Bucket),ER,Avg. ER Freq,IP,Avg. IP Freq,Primary Care,Avg. Primary Care Freq,Specialist,Avg. Specialist Freq,Mental Health and Sub. Abuse,Mental Health and Sub. Abuse Freq.,-,-,Imaging,Avg. Imaging Freq,-,-,-,-,Speech Therapy,Avg. Speech Therapy Freq,Occ. + Physical Therapy,Occ. + Physical Therapy Freq,-,-,Well Baby (Combined),Avg. Well Baby Freq (Combined),-,-,-,-,Well Baby (Unclass.),Avg. Well Baby Freq (Unclass.),Preventive (Combined),Avg. Prev. Freq (Combined),-,-,-,-,-,-,Laboratory,Avg. Laboratory Freq,X-rays (Combined),Avg. X-ray Freq (Combined),X-rays (Specialist),Avg. X-rays Freq (Specialist),X-rays (Primary),Avg. X-rays Freq (Primary),X-rays (Unclass.),Avg. X-rays Freq (Unclass.),SNF,Avg. SNF Freq.,Unclassified,Avg. Unclassified Freq,Avg. IP Days,Avg. SNF Days,Mental Health - OP Facility,Avg. Mental Health - OP Facility Freq,Mental Health - OP Prof.,Avg. Mental Health - OP Prof. Freq,Sub. Abuse - OP Facility,Avg. Sub. Abuse - OP Facility Freq,Sub. Abuse - OP Prof.,Avg. Sub. Abuse - OP Prof. Freq,Imaging - OP Facility,Avg. Imaging - OP Facility Freq,Imaging - OP Prof.,Avg. Imaging - OP Prof. Freq,-,-,-,-,-,-,-,-,Speech Therapy - OP Facility,Avg. Speech Therapy - OP Facility Freq,Speech Therapy - OP Prof.,Avg. Speech Therapy - OP Prof. Freq,Occupational Therapy - OP Facility,Avg. Occ. Therapy - OP Facility Freq,Occupational Therapy - OP Prof.,Avg. Occ. Therapy - OP Prof. Freq,-,-,-,-,Laboratory - OP Facility,Avg. Lab - OP Facility Freq,Laboratory - OP Prof.,Avg. Lab - OP Prof. Freq,Unclassified - OP Facility,Avg. Unclass. - OP Facility Freq,Unclassified - OP Prof,Avg. Unclass. - OP Prof Freq,IP Max Days - 1,IP Max Days - 2,IP Max Days - 3,IP Max Days - 4,IP Max Days - 5,IP Max Days - 6,IP Max Days - 7,IP Max Days - 8,IP Max Days - 9,IP Max Days - 10,Primary Care >1 Visit,Primary Care >1 Visit Freq.,Primary Care >2 Visits,Primary Care >2 Visits Freq.,Primary Care >3 Visits,Primary Care >3 Visits Freq.,Primary Care >4 Visits,Primary Care >4 Visits Freq.,Primary Care >5 Visits,Primary Care >5 Visits Freq.,Primary Care >6 Visits,Primary Care >6 Visits Freq.,Primary Care >7 Visits,Primary Care >7 Visits Freq.,Primary Care >8 Visits,Primary Care >8 Visits Freq.,Primary Care >9 Visits,Primary Care >9 Visits Freq.,Primary Care >10 Visits,Primary Care >10 Visits Freq.
"$3,200","7,276","$1,398.27","$3,149.56",$25.14,0.056,$2.69,0.002,$188.84,2.293,$259.12,2.177,$0.91,0.006,.,0.00,$36.64,0.157,.,0.00,.,0.00,$0.30,0.002,$2.61,0.001,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$240.35,1.467,.,0.00,.,0.00,.,0.00,$27.91,0.531,$29.73,0.199,$20.11,0.104,$6.31,0.032,$3.31,0.06,$0.00,0,$27.99,0.107,0.003,0,$0.43,0.003,$0.06,0.000,.,0.00,.,0.00,$35.41,0.152,$0.25,0.001,.,0.00,.,0.00,.,0.00,.,0.00,$0.25,0.001,$0.00,0.000,$2.17,0.009,$0.00,0.000,.,0.00,.,0.00,$22.73,0.145,$0.07,0.001,$17.71,0.058,$0.12,0.001,0.002 ,0.003 ,0.003 ,0.003 ,0.003 ,0.003 ,0.003 ,0.003 ,0.003 ,0.003 ,$96.62,1.59,$65.52,1.08,$43.62,0.73,$28.81,0.50,$19.11,0.34,$12.79,0.24,$8.67,0.17,$5.98,0.12,$4.19,0.09,$2.99,0.07
"$3,300","7,080","$1,421.57","$3,249.41",$26.37,0.057,$3.02,0.002,$191.02,2.313,$265.99,2.219,$0.93,0.006,.,0.00,$37.92,0.160,.,0.00,.,0.00,$0.30,0.002,$2.74,0.001,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$243.31,1.479,.,0.00,.,0.00,.,0.00,$28.62,0.537,$30.27,0.202,$20.49,0.106,$6.39,0.032,$3.40,0.06,$0.00,0,$29.35,0.111,0.003,0,$0.45,0.003,$0.07,0.000,.,0.00,.,0.00,$36.65,0.155,$0.26,0.002,.,0.00,.,0.00,.,0.00,.,0.00,$0.26,0.001,$0.00,0.000,$2.29,0.010,$0.00,0.000,.,0.00,.,0.00,$23.31,0.147,$0.07,0.001,$18.51,0.059,$0.12,0.001,0.002 ,0.003 ,0.003 ,0.003 ,0.003 ,0.003 ,0.003 ,0.003 ,0.003 ,0.003 ,$98.02,1.61,$66.72,1.10,$44.60,0.75,$29.59,0.51,$19.72,0.35,$13.27,0.25,$9.04,0.18,$6.27,0.13,$4.42,0.09,$3.17,0.07
"$3,400","6,732","$1,444.32","$3,349.94",$27.59,0.059,$3.33,0.002,$193.18,2.331,$272.55,2.258,$0.97,0.007,.,0.00,$39.19,0.163,.,0.00,.,0.00,$0.31,0.002,$2.89,0.001,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$246.14,1.491,.,0.00,.,0.00,.,0.00,$29.36,0.543,$30.82,0.204,$20.92,0.107,$6.45,0.033,$3.45,0.06,$0.00,0,$30.73,0.114,0.004,0,$0.48,0.003,$0.07,0.000,.,0.00,.,0.00,$37.85,0.157,$0.28,0.002,.,0.00,.,0.00,.,0.00,.,0.00,$0.27,0.001,$0.00,0.000,$2.42,0.010,$0.00,0.000,.,0.00,.,0.00,$23.90,0.150,$0.07,0.001,$19.31,0.061,$0.12,0.001,0.002 ,0.003 ,0.003 ,0.004 ,0.004 ,0.004 ,0.004 ,0.004 ,0.004 ,0.004 ,$99.40,1.63,$67.88,1.12,$45.54,0.76,$30.34,0.52,$20.31,0.36,$13.72,0.26,$9.40,0.18,$6.55,0.13,$4.63,0.10,$3.34,0.07
"$3,500","6,474","$1,466.55","$3,450.12",$28.74,0.060,$3.63,0.002,$195.36,2.350,$279.21,2.297,$1.00,0.007,.,0.00,$40.34,0.165,.,0.00,.,0.00,$0.31,0.002,$3.03,0.001,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$248.96,1.502,.,0.00,.,0.00,.,0.00,$30.06,0.549,$31.39,0.207,$21.35,0.109,$6.51,0.033,$3.53,0.07,$0.00,0,$32.18,0.117,0.004,0,$0.50,0.003,$0.07,0.000,.,0.00,.,0.00,$38.95,0.160,$0.29,0.002,.,0.00,.,0.00,.,0.00,.,0.00,$0.27,0.001,$0.00,0.000,$2.55,0.010,$0.00,0.000,.,0.00,.,0.00,$24.48,0.152,$0.07,0.001,$20.16,0.063,$0.12,0.001,0.002 ,0.003 ,0.004 ,0.004 ,0.004 ,0.004 ,0.004 ,0.004 ,0.004 ,0.004 ,$100.80,1.65,$69.07,1.13,$46.53,0.77,$31.14,0.53,$20.94,0.37,$14.21,0.26,$9.78,0.19,$6.84,0.14,$4.86,0.10,$3.51,0.08
"$3,600","6,150","$1,488.27","$3,549.77",$29.94,0.062,$4.06,0.003,$197.34,2.367,$285.76,2.335,$1.05,0.007,.,0.00,$41.52,0.168,.,0.00,.,0.00,$0.32,0.002,$3.15,0.001,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$251.52,1.513,.,0.00,.,0.00,.,0.00,$30.76,0.555,$31.98,0.210,$21.80,0.111,$6.57,0.033,$3.61,0.07,$0.00,0,$33.56,0.120,0.004,0,$0.53,0.003,$0.07,0.000,.,0.00,.,0.00,$40.08,0.162,$0.30,0.002,.,0.00,.,0.00,.,0.00,.,0.00,$0.28,0.001,$0.00,0.000,$2.66,0.011,$0.00,0.000,.,0.00,.,0.00,$25.06,0.154,$0.07,0.001,$21.00,0.064,$0.12,0.001,0.003 ,0.004 ,0.004 ,0.004 ,0.004 ,0.004 ,0.004 ,0.004 ,0.004 ,0.004 ,$102.07,1.66,$70.15,1.14,$47.42,0.79,$31.86,0.54,$21.51,0.38,$14.65,0.27,$10.12,0.19,$7.11,0.14,$5.06,0.11,$3.67,0.08
"$3,700","5,818","$1,509.51","$3,649.29",$31.23,0.063,$4.38,0.003,$199.15,2.382,$292.08,2.371,$1.08,0.007,.,0.00,$42.79,0.171,.,0.00,.,0.00,$0.35,0.002,$3.29,0.001,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$254.00,1.523,.,0.00,.,0.00,.,0.00,$31.41,0.559,$32.47,0.212,$22.16,0.112,$6.63,0.034,$3.69,0.07,$0.00,0,$34.88,0.123,0.005,0,$0.55,0.004,$0.07,0.000,.,0.00,.,0.00,$41.31,0.165,$0.31,0.002,.,0.00,.,0.00,.,0.00,.,0.00,$0.30,0.001,$0.00,0.000,$2.78,0.011,$0.00,0.000,.,0.00,.,0.00,$25.59,0.156,$0.08,0.001,$21.72,0.066,$0.12,0.001,0.003 ,0.004 ,0.004 ,0.004 ,0.005 ,0.005 ,0.005 ,0.005 ,0.005 ,0.005 ,$103.23,1.68,$71.12,1.16,$48.22,0.80,$32.50,0.55,$22.02,0.39,$15.05,0.27,$10.43,0.20,$7.35,0.15,$5.26,0.11,$3.82,0.08
"$3,800","5,776","$1,530.29","$3,749.32",$32.41,0.065,$4.75,0.003,$201.09,2.399,$298.38,2.407,$1.12,0.007,.,0.00,$44.05,0.173,.,0.00,.,0.00,$0.37,0.002,$3.44,0.001,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$256.48,1.533,.,0.00,.,0.00,.,0.00,$32.05,0.564,$33.03,0.215,$22.59,0.114,$6.69,0.034,$3.74,0.07,$0.00,0,$36.16,0.126,0.005,0,$0.57,0.004,$0.07,0.000,.,0.00,.,0.00,$42.53,0.167,$0.32,0.002,.,0.00,.,0.00,.,0.00,.,0.00,$0.32,0.001,$0.00,0.000,$2.93,0.012,$0.00,0.000,.,0.00,.,0.00,$26.13,0.158,$0.08,0.001,$22.43,0.067,$0.13,0.001,0.003 ,0.004 ,0.005 ,0.005 ,0.005 ,0.005 ,0.005 ,0.005 ,0.005 ,0.005 ,$104.48,1.69,$72.19,1.17,$49.10,0.81,$33.22,0.56,$22.59,0.39,$15.50,0.28,$10.78,0.20,$7.62,0.15,$5.46,0.11,$3.98,0.08
"$3,900","5,445","$1,550.62","$3,849.87",$33.65,0.066,$5.16,0.003,$202.89,2.414,$304.49,2.442,$1.14,0.008,.,0.00,$45.27,0.176,.,0.00,.,0.00,$0.37,0.002,$3.60,0.001,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$258.75,1.543,.,0.00,.,0.00,.,0.00,$32.68,0.569,$33.51,0.218,$22.95,0.115,$6.76,0.034,$3.80,0.07,$0.00,0,$37.51,0.129,0.005,0,$0.59,0.004,$0.07,0.000,.,0.00,.,0.00,$43.70,0.170,$0.33,0.002,.,0.00,.,0.00,.,0.00,.,0.00,$0.32,0.001,$0.00,0.000,$3.08,0.012,$0.00,0.000,.,0.00,.,0.00,$26.65,0.160,$0.08,0.001,$23.16,0.068,$0.13,0.001,0.003 ,0.005 ,0.005 ,0.005 ,0.005 ,0.005 ,0.005 ,0.005 ,0.005 ,0.005 ,$105.63,1.70,$73.16,1.18,$49.92,0.82,$33.88,0.57,$23.11,0.40,$15.91,0.29,$11.11,0.21,$7.88,0.15,$5.67,0.12,$4.15,0.09
"$4,000","5,243","$1,570.53","$3,949.54",$34.92,0.067,$5.60,0.003,$204.76,2.429,$310.42,2.475,$1.19,0.008,.,0.00,$46.56,0.178,.,0.00,.,0.00,$0.38,0.002,$3.73,0.001,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$260.92,1.552,.,0.00,.,0.00,.,0.00,$33.33,0.575,$34.00,0.220,$23.30,0.116,$6.84,0.035,$3.85,0.07,$0.00,0,$38.83,0.132,0.006,0,$0.62,0.004,$0.07,0.000,.,0.00,.,0.00,$44.93,0.172,$0.34,0.002,.,0.00,.,0.00,.,0.00,.,0.00,$0.33,0.001,$0.00,0.000,$3.21,0.013,$0.00,0.000,.,0.00,.,0.00,$27.20,0.163,$0.08,0.001,$23.93,0.070,$0.13,0.001,0.003 ,0.005 ,0.005 ,0.006 ,0.006 ,0.006 ,0.006 ,0.006 ,0.006 ,0.006 ,$106.83,1.72,$74.19,1.20,$50.77,0.83,$34.58,0.58,$23.67,0.41,$16.36,0.29,$11.46,0.21,$8.16,0.16,$5.89,0.12,$4.32,0.09
"$4,100","4,961","$1,590.04","$4,049.44",$36.22,0.069,$6.04,0.004,$206.52,2.443,$316.13,2.506,$1.24,0.008,.,0.00,$47.67,0.181,.,0.00,.,0.00,$0.39,0.002,$3.84,0.001,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$263.10,1.561,.,0.00,.,0.00,.,0.00,$33.92,0.579,$34.48,0.222,$23.68,0.118,$6.90,0.035,$3.91,0.07,$0.00,0,$40.13,0.135,0.006,0,$0.65,0.004,$0.07,0.000,.,0.00,.,0.00,$46.01,0.174,$0.35,0.002,.,0.00,.,0.00,.,0.00,.,0.00,$0.33,0.002,$0.00,0.000,$3.31,0.013,$0.00,0.000,.,0.00,.,0.00,$27.69,0.165,$0.08,0.001,$24.70,0.071,$0.14,0.001,0.004 ,0.005 ,0.006 ,0.006 ,0.006 ,0.006 ,0.006 ,0.006 ,0.006 ,0.006 ,$107.96,1.73,$75.16,1.21,$51.56,0.84,$35.22,0.59,$24.19,0.42,$16.76,0.30,$11.78,0.22,$8.41,0.16,$6.08,0.12,$4.47,0.09
"$4,200","4,986","$1,609.15","$4,149.93",$37.47,0.070,$6.42,0.004,$208.26,2.457,$321.88,2.537,$1.27,0.008,.,0.00,$48.98,0.183,.,0.00,.,0.00,$0.40,0.002,$3.96,0.001,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$265.20,1.569,.,0.00,.,0.00,.,0.00,$34.53,0.583,$34.99,0.225,$24.05,0.119,$6.95,0.035,$3.99,0.07,$0.00,0,$41.50,0.138,0.006,0,$0.68,0.004,$0.07,0.000,.,0.00,.,0.00,$47.25,0.177,$0.36,0.002,.,0.00,.,0.00,.,0.00,.,0.00,$0.34,0.002,$0.00,0.000,$3.42,0.014,$0.00,0.000,.,0.00,.,0.00,$28.19,0.166,$0.08,0.001,$25.45,0.073,$0.14,0.001,0.004 ,0.006 ,0.006 ,0.006 ,0.006 ,0.006 ,0.006 ,0.006 ,0.006 ,0.006 ,$109.08,1.74,$76.11,1.22,$52.35,0.85,$35.86,0.60,$24.69,0.42,$17.16,0.30,$12.09,0.22,$8.64,0.17,$6.27,0.12,$4.62,0.09
"$4,300","4,784","$1,627.88","$4,250.10",$38.68,0.071,$6.86,0.004,$210.09,2.471,$327.78,2.569,$1.31,0.008,.,0.00,$50.20,0.185,.,0.00,.,0.00,$0.40,0.002,$4.07,0.001,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$267.31,1.577,.,0.00,.,0.00,.,0.00,$35.21,0.588,$35.44,0.227,$24.39,0.120,$7.00,0.035,$4.06,0.07,$0.00,0,$42.96,0.141,0.007,0,$0.69,0.004,$0.07,0.000,.,0.00,.,0.00,$48.42,0.179,$0.37,0.002,.,0.00,.,0.00,.,0.00,.,0.00,$0.34,0.002,$0.00,0.000,$3.52,0.014,$0.00,0.000,.,0.00,.,0.00,$28.76,0.168,$0.08,0.001,$26.26,0.074,$0.14,0.001,0.004 ,0.006 ,0.006 ,0.007 ,0.007 ,0.007 ,0.007 ,0.007 ,0.007 ,0.007 ,$110.24,1.76,$77.10,1.23,$53.18,0.86,$36.53,0.60,$25.24,0.43,$17.61,0.31,$12.45,0.23,$8.93,0.17,$6.50,0.13,$4.81,0.10
"$4,400","4,460","$1,646.24","$4,349.73",$39.91,0.072,$7.29,0.004,$211.67,2.484,$333.22,2.598,$1.34,0.009,.,0.00,$51.38,0.188,.,0.00,.,0.00,$0.42,0.002,$4.17,0.001,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$269.32,1.586,.,0.00,.,0.00,.,0.00,$35.84,0.593,$35.92,0.229,$24.75,0.121,$7.04,0.035,$4.12,0.07,$0.00,0,$44.29,0.144,0.007,0,$0.70,0.004,$0.07,0.000,.,0.00,.,0.00,$49.56,0.181,$0.38,0.002,.,0.00,.,0.00,.,0.00,.,0.00,$0.36,0.002,$0.00,0.000,$3.62,0.014,$0.00,0.000,.,0.00,.,0.00,$29.27,0.170,$0.08,0.001,$27.03,0.076,$0.14,0.001,0.004 ,0.006 ,0.007 ,0.007 ,0.007 ,0.007 ,0.007 ,0.007 ,0.007 ,0.007 ,$111.26,1.77,$77.97,1.24,$53.90,0.87,$37.12,0.61,$25.72,0.44,$17.98,0.32,$12.75,0.23,$9.17,0.17,$6.69,0.13,$4.96,0.10
"$4,500","4,352","$1,664.24","$4,449.56",$41.20,0.073,$7.70,0.004,$213.26,2.496,$338.44,2.626,$1.37,0.009,.,0.00,$52.70,0.190,.,0.00,.,0.00,$0.44,0.002,$4.32,0.001,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$271.36,1.594,.,0.00,.,0.00,.,0.00,$36.43,0.597,$36.37,0.231,$25.09,0.122,$7.09,0.036,$4.19,0.07,$0.00,0,$45.65,0.147,0.007,0,$0.73,0.004,$0.08,0.000,.,0.00,.,0.00,$50.83,0.183,$0.40,0.002,.,0.00,.,0.00,.,0.00,.,0.00,$0.38,0.002,$0.00,0.000,$3.76,0.015,$0.00,0.000,.,0.00,.,0.00,$29.74,0.172,$0.08,0.001,$27.79,0.077,$0.15,0.001,0.004 ,0.006 ,0.007 ,0.007 ,0.007 ,0.007 ,0.007 ,0.007 ,0.007 ,0.007 ,$112.28,1.78,$78.84,1.25,$54.63,0.88,$37.71,0.62,$26.19,0.44,$18.36,0.32,$13.04,0.24,$9.40,0.18,$6.87,0.13,$5.11,0.10
"$4,600","4,181","$1,681.90","$4,550.48",$42.50,0.074,$8.16,0.005,$214.84,2.508,$343.54,2.652,$1.39,0.009,.,0.00,$53.92,0.192,.,0.00,.,0.00,$0.45,0.002,$4.49,0.001,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$273.26,1.601,.,0.00,.,0.00,.,0.00,$37.00,0.602,$36.80,0.233,$25.41,0.124,$7.14,0.036,$4.25,0.07,$0.00,0,$46.98,0.149,0.008,0,$0.75,0.004,$0.08,0.000,.,0.00,.,0.00,$52.01,0.185,$0.41,0.002,.,0.00,.,0.00,.,0.00,.,0.00,$0.38,0.002,$0.00,0.000,$3.93,0.015,$0.00,0.000,.,0.00,.,0.00,$30.19,0.174,$0.08,0.001,$28.49,0.078,$0.15,0.001,0.004 ,0.007 ,0.007 ,0.008 ,0.008 ,0.008 ,0.008 ,0.008 ,0.008 ,0.008 ,$113.28,1.79,$79.69,1.26,$55.34,0.89,$38.29,0.63,$26.65,0.45,$18.73,0.33,$13.34,0.24,$9.64,0.18,$7.06,0.14,$5.26,0.10
"$4,700","4,098","$1,699.24","$4,649.92",$43.87,0.076,$8.62,0.005,$216.46,2.520,$348.67,2.678,$1.43,0.009,.,0.00,$54.99,0.194,.,0.00,.,0.00,$0.45,0.002,$4.64,0.001,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$275.15,1.608,.,0.00,.,0.00,.,0.00,$37.57,0.605,$37.21,0.235,$25.72,0.125,$7.19,0.036,$4.31,0.07,$0.00,0,$48.45,0.152,0.008,0,$0.77,0.005,$0.08,0.000,.,0.00,.,0.00,$53.02,0.187,$0.41,0.002,.,0.00,.,0.00,.,0.00,.,0.00,$0.39,0.002,$0.00,0.000,$4.07,0.016,$0.00,0.000,.,0.00,.,0.00,$30.63,0.176,$0.08,0.001,$29.33,0.080,$0.15,0.001,0.005 ,0.007 ,0.008 ,0.008 ,0.008 ,0.008 ,0.008 ,0.008 ,0.008 ,0.008 ,$114.31,1.80,$80.57,1.27,$56.06,0.89,$38.88,0.63,$27.13,0.45,$19.11,0.33,$13.63,0.24,$9.87,0.18,$7.24,0.14,$5.40,0.11
"$4,800","3,888","$1,716.26","$4,749.90",$45.09,0.077,$9.01,0.005,$217.92,2.531,$353.85,2.704,$1.45,0.009,.,0.00,$56.06,0.196,.,0.00,.,0.00,$0.46,0.002,$4.76,0.001,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$276.93,1.615,.,0.00,.,0.00,.,0.00,$38.13,0.609,$37.62,0.236,$26.03,0.126,$7.24,0.036,$4.35,0.07,$0.00,0,$49.79,0.155,0.008,0,$0.78,0.005,$0.08,0.000,.,0.00,.,0.00,$54.06,0.189,$0.42,0.002,.,0.00,.,0.00,.,0.00,.,0.00,$0.40,0.002,$0.00,0.000,$4.17,0.016,$0.00,0.000,.,0.00,.,0.00,$31.08,0.177,$0.09,0.001,$30.06,0.081,$0.15,0.001,0.005 ,0.007 ,0.008 ,0.008 ,0.008 ,0.008 ,0.008 ,0.008 ,0.008 ,0.008 ,$115.25,1.81,$81.36,1.28,$56.72,0.90,$39.42,0.64,$27.56,0.46,$19.45,0.34,$13.91,0.25,$10.09,0.19,$7.42,0.14,$5.54,0.11
"$4,900","3,772","$1,732.98","$4,850.72",$46.46,0.078,$9.39,0.005,$219.40,2.541,$358.91,2.728,$1.50,0.009,.,0.00,$57.29,0.198,.,0.00,.,0.00,$0.48,0.002,$4.88,0.001,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$278.62,1.621,.,0.00,.,0.00,.,0.00,$38.69,0.613,$38.00,0.238,$26.33,0.127,$7.27,0.036,$4.40,0.07,$0.00,0,$51.12,0.157,0.009,0,$0.83,0.005,$0.08,0.000,.,0.00,.,0.00,$55.23,0.191,$0.43,0.002,.,0.00,.,0.00,.,0.00,.,0.00,$0.42,0.002,$0.00,0.000,$4.29,0.017,$0.00,0.000,.,0.00,.,0.00,$31.50,0.179,$0.09,0.001,$30.79,0.082,$0.15,0.001,0.005 ,0.008 ,0.008 ,0.008 ,0.008 ,0.009 ,0.009 ,0.009 ,0.009 ,0.009 ,$116.18,1.82,$82.15,1.29,$57.37,0.91,$39.95,0.65,$27.99,0.47,$19.79,0.34,$14.17,0.25,$10.30,0.19,$7.59,0.14,$5.67,0.11
"$5,000","3,671","$1,749.39","$4,949.44",$47.88,0.079,$9.79,0.005,$220.90,2.552,$363.72,2.752,$1.54,0.010,.,0.00,$58.41,0.200,.,0.00,.,0.00,$0.49,0.002,$4.98,0.001,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$280.22,1.627,.,0.00,.,0.00,.,0.00,$39.23,0.616,$38.40,0.240,$26.60,0.128,$7.31,0.037,$4.49,0.08,$0.00,0.00E+00,$52.54,0.160,0.009,0.00E+00,$0.85,0.005,$0.08,0.000,.,0.00,.,0.00,$56.29,0.193,$0.43,0.002,.,0.00,.,0.00,.,0.00,.,0.00,$0.42,0.002,$0.00,0.000,$4.38,0.017,$0.00,0.000,.,0.00,.,0.00,$31.94,0.180,$0.09,0.001,$31.57,0.083,$0.15,0.001,0.005 ,0.008 ,0.009 ,0.009 ,0.009 ,0.009 ,0.009 ,0.009 ,0.009 ,0.009 ,$117.15,1.83,$82.98,1.30,$58.07,0.92,$40.52,0.65,$28.45,0.47,$20.16,0.34,$14.48,0.26,$10.54,0.19,$7.78,0.15,$5.83,0.11
"$5,100","3,502","$1,765.52","$5,049.53",$49.16,0.080,$10.16,0.005,$222.30,2.562,$368.50,2.776,$1.57,0.010,.,0.00,$59.46,0.202,.,0.00,.,0.00,$0.50,0.003,$5.10,0.001,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$281.87,1.634,.,0.00,.,0.00,.,0.00,$39.78,0.620,$38.76,0.241,$26.87,0.128,$7.35,0.037,$4.54,0.08,$0.00,0.00E+00,$53.96,0.162,0.009,0.00E+00,$0.88,0.005,$0.08,0.000,.,0.00,.,0.00,$57.30,0.195,$0.44,0.002,.,0.00,.,0.00,.,0.00,.,0.00,$0.43,0.002,$0.00,0.000,$4.49,0.017,$0.00,0.000,.,0.00,.,0.00,$32.40,0.182,$0.09,0.001,$32.34,0.085,$0.16,0.001,0.005 ,0.008 ,0.009 ,0.009 ,0.009 ,0.009 ,0.009 ,0.009 ,0.009 ,0.009 ,$118.05,1.84,$83.76,1.31,$58.72,0.93,$41.06,0.66,$28.88,0.48,$20.51,0.35,$14.75,0.26,$10.76,0.19,$7.96,0.15,$5.97,0.11
"$5,200","3,425","$1,781.38","$5,149.72",$50.40,0.081,$10.70,0.006,$223.62,2.573,$373.16,2.798,$1.61,0.010,.,0.00,$60.63,0.204,.,0.00,.,0.00,$0.51,0.003,$5.21,0.001,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$283.46,1.640,.,0.00,.,0.00,.,0.00,$40.39,0.624,$39.16,0.243,$27.16,0.129,$7.40,0.037,$4.59,0.08,$0.00,0.00E+00,$55.34,0.165,0.010,0.00E+00,$0.90,0.005,$0.08,0.000,.,0.00,.,0.00,$58.44,0.196,$0.45,0.002,.,0.00,.,0.00,.,0.00,.,0.00,$0.44,0.002,$0.00,0.000,$4.60,0.018,$0.00,0.000,.,0.00,.,0.00,$32.89,0.184,$0.09,0.001,$33.13,0.086,$0.16,0.001,0.005 ,0.008 ,0.009 ,0.009 ,0.009 ,0.009 ,0.009 ,0.010 ,0.010 ,0.010 ,$118.91,1.85,$84.49,1.32,$59.33,0.93,$41.56,0.67,$29.29,0.48,$20.84,0.35,$15.02,0.26,$10.98,0.20,$8.14,0.15,$6.12,0.12
"$5,300","3,266","$1,796.97","$5,249.36",$51.76,0.082,$11.20,0.006,$224.90,2.582,$377.78,2.821,$1.65,0.010,.,0.00,$61.78,0.206,.,0.00,.,0.00,$0.52,0.003,$5.31,0.001,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$284.98,1.646,.,0.00,.,0.00,.,0.00,$40.98,0.627,$39.53,0.245,$27.44,0.130,$7.44,0.037,$4.65,0.08,$0.00,0.00E+00,$56.71,0.167,0.010,0.00E+00,$0.92,0.005,$0.08,0.000,.,0.00,.,0.00,$59.54,0.198,$0.46,0.002,.,0.00,.,0.00,.,0.00,.,0.00,$0.45,0.002,$0.00,0.000,$4.68,0.018,$0.00,0.000,.,0.00,.,0.00,$33.37,0.185,$0.09,0.001,$33.88,0.087,$0.16,0.001,0.006 ,0.009 ,0.009 ,0.010 ,0.010 ,0.010 ,0.010 ,0.010 ,0.010 ,0.010 ,$119.73,1.86,$85.20,1.32,$59.92,0.94,$42.04,0.67,$29.68,0.49,$21.15,0.36,$15.27,0.27,$11.18,0.20,$8.30,0.15,$6.25,0.12
