TWT S.p.a. - Viale Jenner 33 - 20159 Milano,,,,,,
,,,,,,
COMUNICA IT SERVICES SA,,,,,Peak Hours,Off peak hours
Denmark Mobile TDC,45514,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile TDC,45515,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile TDC,45516,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile TDC,45517,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile TDC,45519,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile TDC,45611,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile TDC,45612,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile TDC,45613,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile TDC,45615,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile TDC,45616,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile TDC,45617,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile TDC,452596,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile TDC,455060,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile TDC,455061,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile TDC,455180,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile TDC,455181,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile TDC,455182,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile TDC,455183,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile TDC,455184,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile TDC,455185,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile TDC,455186,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile TDC,455187,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile TDC,456099,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile TDC,456140,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile TDC,456141,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile TDC,456142,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile TDC,456143,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile TDC,456144,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile TDC,456145,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile TDC,456147,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile TDC,456148,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile TDC,456149,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile TDC,459210,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile TDC,459211,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile TDC,459212,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile TDC,459213,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile TDC,459214,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile TDC,459215,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile TDC,459216,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile TDC,459217,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile Tele2,45257,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile Tele2,45258,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile Tele2,45319,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile Tele2,45414,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile Tele2,45415,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile Tele2,45618,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile Tele2,45619,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile Tele2,459218,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile Tele2,459219,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile Tele2,459220,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile Telia,4526,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile Telia,4527,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile Telia,4528,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile Telia,45420,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile Telia,45421,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile Telia,45422,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile Telia,45423,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile Telia,45521,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile Telia,45522,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile Telia,45523,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile Telia,45524,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile Telia,45532,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile Telia,45533,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile Telia,45534,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile Telia,45601,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile Telia,45602,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile Telia,45603,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile Telia,45604,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile Telia,452395,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile Telia,454276,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile Telia,454277,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile Telia,454278,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile Telia,454279,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile Telia,454296,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile Telia,454297,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile Telia,454298,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile Telia,454299,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile Telia,455188,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile Telia,455189,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile Telia,455319,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile Telia,456146,0.009891,0.009891,19/01/2016,-,==
Denmark Mobile Telia,45371000,0.009891,0.009891,19/01/2016,-,==
Denmark Special Services,451,0.004144,0.004144,19/01/2016,-,==
Denmark Special Services,4570,0.004144,0.004144,19/01/2016,-,==
Denmark Special Services,4577,0.004144,0.004144,19/01/2016,-,==
Denmark Special Services,4580,0.004144,0.004144,19/01/2016,-,==
Denmark Special Services,4590,0.004144,0.004144,19/01/2016,-,==
Diego Garcia,246,0.437412,0.437412,19/01/2016,-,==
Diego Garcia,2463798,0.437412,0.437412,19/01/2016,-,==
Djibouti,253,0.217900,0.217900,19/01/2016,-,==
Djibouti Mobile,2535,0.228438,0.228438,19/01/2016,-,==
Djibouti Mobile,2536,0.228438,0.228438,19/01/2016,-,==
Djibouti Mobile,2537,0.228438,0.228438,19/01/2016,-,==
Djibouti Mobile,2538,0.228438,0.228438,19/01/2016,-,==
Djibouti Mobile,25380,0.228438,0.228438,19/01/2016,-,==
Djibouti Mobile,25381,0.228438,0.228438,19/01/2016,-,==
Djibouti Mobile,25382,0.228438,0.228438,19/01/2016,-,==
Djibouti Mobile,25383,0.228438,0.228438,19/01/2016,-,==
Djibouti Mobile,25384,0.228438,0.228438,19/01/2016,-,==
Djibouti Mobile,25385,0.228438,0.228438,19/01/2016,-,==
Djibouti Mobile,253533,0.228438,0.228438,19/01/2016,-,==
Dominica,1767,0.168219,0.168219,19/01/2016,-,==
Dominica Mobile,1767225,0.167491,0.167491,19/01/2016,-,==
Dominica Mobile,1767235,0.167491,0.167491,19/01/2016,-,==
Dominica Mobile,1767245,0.167491,0.167491,19/01/2016,-,==
Dominica Mobile,1767265,0.167491,0.167491,19/01/2016,-,==
Dominica Mobile,1767275,0.167491,0.167491,19/01/2016,-,==
Dominica Mobile,1767276,0.167491,0.167491,19/01/2016,-,==
Dominica Mobile,1767277,0.167491,0.167491,19/01/2016,-,==
Dominica Mobile,1767285,0.167491,0.167491,19/01/2016,-,==
Dominica Mobile,1767295,0.167491,0.167491,19/01/2016,-,==
Dominica Mobile,1767315,0.167491,0.167491,19/01/2016,-,==
Dominica Mobile,1767316,0.167491,0.167491,19/01/2016,-,==
Dominica Mobile,1767317,0.167491,0.167491,19/01/2016,-,==
Dominica Mobile,1767447,0.167491,0.167491,19/01/2016,-,==
Dominica Mobile,1767504,0.167491,0.167491,19/01/2016,-,==
Dominica Mobile,1767611,0.167491,0.167491,19/01/2016,-,==
Dominica Mobile,1767612,0.167491,0.167491,19/01/2016,-,==
Dominica Mobile,1767613,0.167491,0.167491,19/01/2016,-,==
Dominica Mobile,1767614,0.167491,0.167491,19/01/2016,-,==
Dominica Mobile,1767615,0.167491,0.167491,19/01/2016,-,==
Dominica Mobile,1767616,0.167491,0.167491,19/01/2016,-,==
Dominican Republic,1809,0.014344,0.014344,19/01/2016,-,==
Dominican Republic,1829,0.014344,0.014344,19/01/2016,-,==
Dominican Republic,1849,0.014344,0.014344,19/01/2016,-,==
Dominican Republic,1809274,0.014344,0.014344,19/01/2016,-,==
Dominican Republic,1809331,0.014344,0.014344,19/01/2016,-,==
Dominican Republic,1809332,0.014344,0.014344,19/01/2016,-,==
Dominican Republic,1809333,0.014344,0.014344,19/01/2016,-,==
Dominican Republic,1809334,0.014344,0.014344,19/01/2016,-,==
Dominican Republic,1809335,0.014344,0.014344,19/01/2016,-,==
Dominican Republic,1809338,0.014344,0.014344,19/01/2016,-,==
Dominican Republic,1809695,0.014344,0.014344,19/01/2016,-,==
Dominican Republic Mobile,18092,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,18093,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,18099,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,18293,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,180930,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,180931,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,180935,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,180939,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,180941,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,180942,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,180943,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,180944,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,180947,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,180949,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,180950,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,180960,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,180962,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,180964,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,180965,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,180966,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,180967,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,180970,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,180971,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,180975,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,180976,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,180977,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,180978,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,180983,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,180984,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,180987,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,180988,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,180991,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,180994,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,180997,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,180998,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,182925,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,182926,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,182927,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,182928,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,182929,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,182940,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,182941,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,182942,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,182943,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,182944,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,182946,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,182950,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,182952,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,182975,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,182976,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,182977,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,182978,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,182979,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,182984,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,182985,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,182986,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,182987,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,182988,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,182991,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,182996,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,184922,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,184935,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,184940,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,184945,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,184965,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,184986,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809222,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809223,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809224,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809227,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809241,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809249,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809250,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809251,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809252,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809253,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809254,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809255,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809256,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809257,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809258,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809260,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809266,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809280,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809281,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809282,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809292,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809293,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809299,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809301,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809310,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809319,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809321,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809322,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809323,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809324,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809325,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809326,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809327,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809330,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809340,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809341,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809342,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809343,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809344,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809345,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809348,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809350,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809351,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809352,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809353,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809354,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809355,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809356,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809357,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809358,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809359,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809360,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809361,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809366,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809370,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809371,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809374,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809376,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809377,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809383,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809386,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809387,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809389,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809390,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809392,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809393,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809394,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809395,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809396,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809399,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809401,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809402,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809403,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809404,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809405,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809406,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809407,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809408,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809409,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809420,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809421,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809422,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809423,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809424,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809425,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809426,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809427,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809428,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809429,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809450,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809451,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809452,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809453,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809454,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809456,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809457,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809458,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809459,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809460,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809461,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809462,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809463,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809464,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809465,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809467,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809470,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809474,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809477,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809478,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809479,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809480,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809481,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809484,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809485,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809486,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809488,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809503,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809504,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809510,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809512,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809513,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809514,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809515,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809516,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809517,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809519,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809520,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809537,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809540,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809542,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809543,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809545,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809546,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809563,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809604,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809606,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809611,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809614,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809615,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809617,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809618,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809619,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809624,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809628,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809629,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809630,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809631,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809632,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809633,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809634,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809635,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809636,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809637,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809638,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809639,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809670,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809671,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809683,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809693,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809694,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809696,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809697,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809698,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809707,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809710,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809720,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809721,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809722,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809723,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809727,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809729,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809742,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809743,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809744,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809747,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809749,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809750,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809751,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809752,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809753,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809754,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809756,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809757,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809758,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809759,0.050736,0.050736,19/01/2016,-,==
Dominican Republic Mobile,1809760,0.050736,0.050736,19/01/2016,-,==
