Code Insee,Libellé Commune,Distribution gérée par un GRD de rang 1ou 2,Coefficient Tarif de  proximité ,Code PITD
27667,VALAILLES,,1,GD0619
27668,LE VAL DAVID,,1,GD0617
27679,VERNEUIL SUR AVRE,,1,GD0611
27681,VERNON,,"1,75",GD0632
27682,VESLY,,1,GD0629
27684,LE VIEIL EVREUX,,1,GD0617
27697,VIRONVAY,,1,GD0633
27698,VITOT,,1,GD0618
27701,VAL DE REUIL,,"1,75",GD0621
28001,ABONDANT,,1,GD0646
28007,ANET,,1,GD0624
28013,AUNAY SOUS AUNEAU,,1,GD0656
28014,AUNAY SOUS CRECY,,1,DX0001
28015,AUNEAU,,1,GD0656
28023,BAILLEAU ARMENONVILLE,,1,GD0649
28024,BARJOUVILLE,,1,GD0657
28033,BELHOMERT GUEHOUVILLE,,1,GD0655
28035,BERCHERES LES PIERRES,,1,GD0657
28036,BERCHERES SUR VESGRE,,1,GD0646
28037,BEROU LA MULOTIERE,,1,GD0613
28039,BEVILLE LE COMTE,,1,GD0656
28041,BLANDAINVILLE,,1,  
28042,BLEURY,,1,GD0649
28050,BONCOURT,,1,GD0624
28051,BONNEVAL,,1,GD0660
28055,LE BOULLAY THIERRY,,1,GD0652
28056,BOUTIGNY PROUAIS,,1,GD0647
28059,BREZOLLES,,1,GD0613
28061,BROU,,1,GD0661
28062,BROUE,,1,GD0646
28064,BU,,1,GD0646
28070,CHAMPHOL,,"1,75",GD0657
28071,CHAMPROND EN GATINE,,1,GD0662
28075,LA CHAPELLE DU NOYER,,1,GD0664
28082,CHARPONT,,1,DX0001
28084,CHARTAINVILLIERS,,1,GD0649
28085,CHARTRES,,"1,75",GD0657
28088,CHATEAUDUN,,"1,75",GD0664
28089,CHATEAUNEUF EN THYMERAIS,,"1,75",GD0652
28094,CHAUDON,,1,GD0652
28096,LA CHAUSSEE D IVRY,,1,GD0624
28098,CHERISY,,1,DX0001
28102,CLEVILLIERS,,1,GD0652
28103,CLOYES SUR LE LOIR,,1,GD0664
28107,CORANCEZ,,1,GD0657
28110,LE COUDRAY,,"1,75",GD0657
28113,COULOMBS,,1,GD0650
28116,COURVILLE SUR EURE,,1,GD0655
28117,CRECY COUVE,,1,DX0001
28122,DAMMARIE,,1,GD0658
28130,DIGNY,,1,GD0655
28132,DONNEMAIN ST MAMES,,1,GD0660
28134,DREUX,,"1,75",DX0001
28135,DROUE SUR DROUETTE,,1,GD0649
28136,ECLUZELLES,,1,DX0001
28137,ECROSNES,,1,GD0649
28140,EPERNON,,"1,75",GD0649
28146,FAVEROLLES,,1,GD0647
28147,FAVIERES,,1,GD0652
28155,FONTAINE LES RIBOUTS,,1,DX0001
28156,FONTAINE SIMON,,1,GD0655
28158,FONTENAY SUR EURE,,1,GD0658
28168,GALLARDON,,1,GD0649
28170,GARANCIERES EN DROUAIS,,1,DX0001
28171,GARNAY,,1,DX0001
28172,GAS,,1,GD0649
28173,GASVILLE OISEME,,1,GD0657
28177,GELLAINVILLE,,1,GD0657
28185,GOUSSAINVILLE,,1,GD0646
28191,HANCHES,,1,GD0649
28195,HOUX,,1,GD0649
28196,ILLIERS COMBRAY,,1,GD0661
28198,JALLANS,,1,GD0664
28199,JANVILLE,,1,GD0680
28201,JOUY,,1,GD0657
28206,LAONS,,1,GD0653
28209,LEVES,,"1,75",GD0657
28213,LORMAYE,,"1,75",GD0650
28214,LA LOUPE,,"1,75",GD0655
28218,LUCE,,"1,75",GD0657
28220,LUISANT,,"1,75",GD0657
28223,LURAY,,1,DX0001
28227,MAINTENON,,1,GD0649
28229,MAINVILLIERS,,"1,75",GD0657
28232,MANOU,,1,GD0655
28233,MARBOUE,,1,GD0664
28235,MARCHEZAIS,,1,GD0646
28236,MARGON,,1,GD0663
28239,MARVILLE MOUTIERS BRULE,,1,GD0651
28240,MEAUCE,,1,GD0655
28246,MESLAY LE VIDAME,,1,GD0658
28249,MEVOISINS,,1,GD0649
28251,MEZIERES EN DROUAIS,,1,DX0001
28253,MIGNIERES,,1,GD0658
28267,MONTREUIL,,1,DX0001
28269,MORANCEZ,,1,GD0657
28278,NOGENT LE PHAYE,,1,GD0657
28279,NOGENT LE ROI,,1,GD0650
28280,NOGENT LE ROTROU,,"1,75",GD0663
28292,OUERRE,,1,DX0001
28293,OULINS,,1,GD0624
28298,PIERRES,,1,GD0649
28301,POISVILLIERS,,1,GD0657
28302,PONTGOUIN,,1,GD0655
28311,LE PUISET,,1,GD0680
28315,REVERCOURT,,1,GD0613
28317,ROINVILLE,,1,GD0656
28321,ROUVRES,,1,GD0624
28329,ST CHRISTOPHE,,1,GD0660
28331,ST DENIS D AUTHOU,,1,GD0662
28332,STE GEMME MORONVAL,,1,DX0001
28334,ST DENIS LES PONTS,,1,GD0664
28342,ST JEAN PIERRE FIXTE,,1,GD0663
28343,ST LAURENT LA GATINE,,1,  
28346,ST LUBIN DE CRAVANT,,1,GD0613
28347,ST LUBIN DE LA HAYE,,1,GD0646
28348,ST LUBIN DES JONCHERETS,,1,GD0653
28352,ST MARTIN DE NIGELLES,,1,GD0648
28353,ST MAUR SUR LE LOIR,,1,GD0660
28354,ST MAURICE ST GERMAIN,,1,GD0655
28357,ST PIAT,,1,GD0649
28358,ST PREST,,1,GD0657
28359,ST REMY SUR AVRE,,1,GD0653
28361,ST SYMPHORIEN LE CHATEAU,,1,GD0649
28369,SAULNIERES,,1,DX0001
28371,SAUSSAY,,1,GD0624
28373,SENONCHES,,1,GD0655
28374,SERAZEREUX,,1,GD0652
28375,SERVILLE,,1,GD0646
28377,SOREL MOUSSEL,,1,GD0624
28380,SOURS,,1,GD0657
28385,LE THIEULIN,,1,GD0662
28386,THIMERT GATELLES,,1,GD0652
28387,THIRON GARDAIS,,1,GD0662
28388,THIVARS,,1,GD0658
28391,TOURY,,1,GD0680
28393,TREMBLAY LES VILLAGES,,1,GD0652
28394,TREON,,1,DX0001
28403,VER LES CHARTRES,,1,  
28404,VERNOUILLET,,"1,75",DX0001
28405,VERT EN DROUAIS,,1,DX0001
28415,VILLEMEUX SUR EURE,,1,GD0652
28417,VILLIERS LE MORHIER,,1,GD0650
28422,VOVES,,1,GD0659
28423,YERMENONVILLE,,1,GD0649
28424,YEVRES,,1,GD0661
28425,YMERAY,,1,GD0649
29003,AUDIERNE,,"1,75",  
29004,BANNALEC,,1,  
29005,BAYE,,1,  
29006,BENODET,,1,  
29011,BOHARS,,"1,75",  
29015,BOURG BLANC,,1,  
29019,BREST,,"1,75",  
29020,BRIEC,,1,  
29024,CARHAIX PLOUGUER,,1,  
29026,CHATEAULIN,,1,  
29027,CHATEAUNEUF DU FAOU,,1,  
29039,CONCARNEAU,,"1,75",  
29044,DINEAULT,,1,  
29045,DIRINON,,1,  
29046,DOUARNENEZ,,"1,75",  
29048,EDERN,,1,  
29049,ELLIANT,,1,  
29051,ERGUE GABERIC,,1,  
29052,ESQUIBIEN,,1,  
29055,LE FOLGOET,,1,  
29056,LA FOREST LANDERNEAU,,1,  
29057,LA FORET FOUESNANT,,1,  
29058,FOUESNANT,,1,  
29061,GOUESNOU,,"1,75",  
29069,GUILERS,,1,  
29075,GUIPAVAS,,1,  
29095,KERSAINT PLABENNEC,,1,  
29097,LAMPAUL GUIMILIAU,,1,  
29103,LANDERNEAU,,"1,75",  
29105,LANDIVISIAU,,"1,75",  
29106,LANDREVARZEC,,1,  
29117,LANNILIS,,1,  
29124,LESNEVEN,,"1,75",  
29130,LOCMARIA PLOUZANE,,1,  
29140,LOPERHET,,1,  
29147,MELLAC,,1,  
29148,MESPAUL,,1,  
29149,MILIZAC,,1,  
29151,MORLAIX,,"1,75",  
29156,PENCRAN,,1,  
29160,PLABENNEC,,1,  
29161,PLEUVEN,,1,  
29162,PLEYBEN,,1,  
29163,PLEYBER CHRIST,,1,  
29170,PLOMELIN,,1,  
29173,PLONEIS,,1,  
29174,PLONEOUR LANVERN,,1,  
29179,PLOUDANIEL,,1,  
29181,PLOUEDERN,,1,  
29184,PLOUENAN,,1,  
29189,PLOUGASTEL DAOULAS,,1,  
29192,PLOUGOULM,,1,  
29193,PLOUGOURVEST,,1,  
29197,PLOUHINEC,,1,  
29199,PLOUIGNEAU,,1,  
29207,PLOURIN LES MORLAIX,,1,  
29209,PLOUVIEN,,1,  
29210,PLOUVORN,,1,  
29212,PLOUZANE,,1,  
29216,PLUGUFFAN,,1,  
29218,PONT CROIX,,1,  
29220,PONT L ABBE,,"1,75",  
29224,POULDERGAT,,1,  
29232,QUIMPER,,"1,75",  
29233,QUIMPERLE,,1,  
29235,LE RELECQ KERHUON,,"1,75",  
29239,ROSCOFF,,"1,75",  
29241,ROSPORDEN,,1,  
29245,ST DIVY,,1,  
29247,ST EVARZEC,,1,  
29254,ST MARTIN DES CHAMPS,,1,  
29259,ST POL DE LEON,,1,  
29260,ST RENAN,,"1,75",  
29263,ST SEGAL,,1,  
29266,ST THEGONNEC,,1,  
29268,ST THONAN,,1,  
29272,ST YVI,,1,  
29273,SANTEC,,1,  
29274,SCAER,,1,  
29277,SIZUN,,1,  
29279,TAULE,,1,  
29281,TOURCH,,1,  
29293,TREGUNC,,1,  
29297,TREMEVEN,,1,  
29302,PONT DE BUIS LES QUIMERCH,,1,  
30002,AIGREMONT,,1,GD0529
30003,AIGUES MORTES,,1,GD0515
30004,AIGUES VIVES,,1,GD0517
30006,AIMARGUES,,1,GD0515
30007,ALES,,"1,75",GD0528
30010,ANDUZE,,1,GD0528
30011,LES ANGLES,,"1,75",GD0891
30012,ARAMON,,1,GD0891
30016,ARRE,,,  
30019,AUBAIS,,1,GD0516
30020,AUBORD,,1,GD0515
30023,AUJARGUES,,1,GD0516
30026,AVEZE,,1,GD0529
30027,BAGARD,,1,GD0528
30028,BAGNOLS SUR CEZE,,"1,75",GD0530
30032,BEAUCAIRE,,1,GD0520
30033,BEAUVOISIN,,1,GD0515
30034,BELLEGARDE,,1,GD0520
30036,BERNIS,,1,GD0522
30037,BESSEGES,,1,GD0528
30038,BEZ ET ESPARON,,,  
30039,BEZOUCE,,1,GD0520
30042,BOISSET ET GAUJAC,,1,GD0528
30047,BOUILLARGUES,,1,GD0520
30051,BRANOUX LES TAILLADES,,1,GD0528
30053,BRIGNON,,1,GD0525
30057,CABRIERES,,1,GD0520
30059,LE CAILAR,,1,GD0515
30060,CAISSARGUES,,"1,75",GD0520
30061,LA CALMETTE,,1,GD0526
30062,CALVISSON,,1,GD0523
30075,CAVEIRAC,,1,GD0520
30077,CENDRAS,,1,GD0528
30082,CLARENSAC,,1,GD0520
30083,CODOGNAN,,"1,75",GD0517
30084,CODOLET,,1,GD0531
30089,COMPS,,1,GD0521
30091,CONGENIES,,1,GD0523
30092,CONNAUX,,1,GD0530
30100,CRUVIERS LASCOURS,,1,GD0525
30103,DOMAZAN,,1,GD0891
30112,FONS,,1,GD0524
30116,FOURNES,,1,GD0521
30117,FOURQUES,,1,GD0533
30123,GALLARGUES LE MONTUEUX,,1,GD0517
30125,GARONS,,1,GD0520
30128,GENERAC,,1,GD0515
30132,LA GRAND COMBE,,"1,75",GD0528
30133,LE GRAU DU ROI,,1,GD0515
30135,JONQUIERES ST VINCENT,,1,GD0534
30136,JUNAS,,1,GD0516
30138,LANGLADE,,1,GD0523
30141,LAUDUN L ARDOISE,,1,GD0931
30142,LAVAL PRADEL,,1,GD0528
30145,LEDENON,,1,GD0521
30146,LEDIGNAN,,1,GD0529
30152,LES MAGES,,1,GD0528
30155,MANDUEL,,1,GD0520
30156,MARGUERITTES,,1,GD0520
30159,LE MARTINET,,1,GD0528
30165,MEJANNES LES ALES,,1,GD0528
30166,MEYNES,,1,GD0521
30167,MEYRANNES,,1,GD0528
30169,MILHAUD,,1,GD0520
30170,MOLIERES CAVAILLAC,,1,GD0529
30171,MOLIERES SUR CEZE,,1,GD0528
30173,MONS,,1,GD0528
30174,MONTAREN ET ST MEDIERS,,1,GD0527
30178,MONTFAUCON,,1,GD0891
30179,MONTFRIN,,1,GD0521
30184,MOUSSAC,,1,GD0525
30185,MUS,,"1,75",GD0517
30186,NAGES ET SOLORGUES,,1,GD0523
30189,NIMES,,"1,75",GD0520
30191,ORSAN,,1,GD0531
30200,POMPIGNAN,,1,GD0529
30202,PONT ST ESPRIT,,"1,75",GD0530
30206,POULX,,1,GD0520
30209,PUJAUT,,1,GD0891
30210,QUISSAC,,1,GD0529
30211,REDESSAN,,1,GD0520
30212,REMOULINS,,1,GD0521
30216,ROBIAC ROCHESSADOULE,,1,GD0528
30217,ROCHEFORT DU GARD,,1,GD0891
30221,ROQUEMAURE,,1,GD0891
30223,ROUSSON,,1,GD0528
30225,SABRAN,,1,GD0530
30227,ST AMBROIX,,1,GD0528
30233,ST BAUZELY,,1,GD0524
30237,ST BRES,,1,GD0528
30243,ST CHRISTOL LES ALES,,1,GD0528
30245,ST COME ET MARUEJOLS,,1,GD0520
30249,ST DIONIZY,,1,  
30253,ST FLORENT SUR AUZONNET,,1,GD0528
30254,ST GENIES DE COMOLAS,,1,GD0891
30255,ST GENIES DE MALGOIRES,,1,GD0526
30257,ST GERVASY,,1,GD0520
30258,ST GILLES,,1,GD0519
30259,ST HILAIRE DE BRETHMAS,,1,GD0528
30263,ST HIPPOLYTE DU FORT,,1,GD0529
30268,ST JEAN DE VALERISCLE,,1,GD0528
30270,ST JEAN DU PIN,,1,GD0528
30274,ST JULIEN LES ROSIERS,,1,GD0528
30276,ST LAURENT D AIGOUZE,,1,GD0515
30281,ST MAMERT DU GARD,,1,GD0524
30284,ST MARTIN DE VALGALGUES,,1,GD0528
30288,ST NAZAIRE,,1,GD0530
30294,ST PRIVAT DES VIEUX,,1,GD0528
30295,ST QUENTIN LA POTERIE,,1,GD0527
30305,SALINDRES,,1,GD0528
30307,LES SALLES DU GARDON,,1,GD0528
30311,SAUVE,,1,GD0529
30312,SAUVETERRE,,1,GD0891
30315,SAZE,,1,GD0891
30317,SERNHAC,,1,GD0521
30321,SOMMIERES,,1,GD0516
30325,SUMENE,,1,GD0529
30331,TRESQUES,,1,GD0530
30333,UCHAUD,,1,GD0522
30334,UZES,,1,GD0527
30341,VAUVERT,,1,GD0518
30342,VENEJAN,,1,GD0530
30344,VERGEZE,,1,GD0517
30347,VESTRIC ET CANDIAC,,1,GD0522
30348,VEZENOBRES,,1,GD0528
30350,LE VIGAN,,1,GD0529
30351,VILLENEUVE LES AVIGNON,,"1,75",GD0891
30352,VILLEVIEILLE,,1,GD0516
30356,RODILHAN,,"1,75",GD0520
31004,AYGUESVIVES,,1,  
31022,AUCAMVILLE,,"1,75",  
31028,AURIGNAC,,1,  
31031,AUSSON,,1,  
31032,AUSSONNE,,1,  
31033,AUTERIVE,,1,  
31035,AUZEVILLE TOLOSANE,,1,  
31036,AUZIELLE,,1,  
31042,BAGNERES DE LUCHON,,1,  
31044,BALMA,,"1,75",  
31045,BARBAZAN,,1,  
31048,BAZIEGE,,1,  
31053,BEAUPUY,,1,  
31056,BEAUZELLE,,"1,75",  
31057,BELBERAUD,,1,  
31069,BLAGNAC,,"1,75",  
31079,BOULOC,,1,  
31084,BOUSSENS,,1,  
31088,BRAX,,"1,75",  
31091,BRUGUIERES,,"1,75",  
31107,CARBONNE,,1,  
31110,CASSAGNE,,1,  
31113,CASTANET TOLOSAN,,"1,75",  
31116,CASTELGINEST,,"1,75",  
31117,CASTELMAUROU,,1,  
31118,CASTELNAU D ESTRETEFONDS,,1,  
31135,CAZERES,,1,  
31136,CEPET,,1,  
31144,CIERP GAUD,,1,  
31145,CINTEGABELLE,,1,  
31149,COLOMIERS,,"1,75",  
31150,CORNEBARRIEU,,1,  
31153,COULADERE,,1,  
31157,CUGNAUX,,"1,75",  
31160,DAUX,,1,  
31163,DREMIL LAFAGE,,1,  
31165,EAUNES,,1,  
31169,ESCALQUENS,,"1,75",  
31175,ESTANCARBON,,1,  
31181,LE FAUGA,,1,  
31182,FENOUILLET,,"1,75",  
31184,FLOURENS,,1,  
31186,FONBEAUZARD,,"1,75",  
31187,FONSORBES,,1,  
31188,FONTENILLES,,1,  
31202,FRONTON,,1,  
31203,FROUZINS,,"1,75",  
31205,GAGNAC SUR GARONNE,,1,  
31216,GEMIL,,1,  
31224,GOURDAN POLIGNAN,,1,  
31230,GRATENTOUR,,"1,75",  
31232,GRENADE,,1,  
31233,GREPIAC,,1,  
31238,HUOS,,1,  
31244,JUZET DE LUCHON,,1,  
31247,LABARTHE RIVIERE,,1,  
31248,LABARTHE SUR LEZE,,"1,75",  
31253,LABASTIDETTE,,1,  
31254,LABEGE,,"1,75",  
31259,LACROIX FALGARDE,,1,  
31263,LAGARDELLE SUR LEZE,,1,  
31269,LAMASQUERE,,1,  
31270,LANDORTHE,,1,  
31273,LAPEYROUSE FOSSAT,,1,  
31282,LAUNAGUET,,"1,75",  
31284,LAUZERVILLE,,1,  
31287,LAVERNOSE LACASSE,,1,  
31291,LEGUEVIN,,1,  
31293,LESPINASSE,,"1,75",  
31297,LEVIGNAC,,1,  
31299,LHERM,,1,  
31303,LONGAGES,,1,  
31315,MANE,,1,  
31316,MARIGNAC,,1,  
31320,MARQUEFAVE,,1,  
31324,MARTRES TOLOSANE,,1,  
31334,MAUZAC,,1,  
31336,MAZERES SUR SALAT,,1,  
31341,MERVILLE,,1,  
31344,MIRAMONT DE COMMINGES,,1,  
31345,MIREMONT,,1,  
31351,MONDONVILLE,,1,  
31352,MONDOUZIL,,1,  
31358,MONTASTRUC LA CONSEILLERE,,1,  
31360,MONTAUBAN DE LUCHON,,1,  
31364,MONTBERON,,1,  
31381,MONTGISCARD,,1,  
31389,MONTRABE,,"1,75",  
31390,MONTREJEAU,,1,  
31394,MOUSTAJON,,1,  
31395,MURET,,1,  
31399,NOE,,1,  
31402,ODARS,,1,  
31406,PALAMINY,,1,  
31409,PECHABOU,,1,  
31410,PECHBONNIEU,,1,  
31411,PECHBUSQUE,,1,  
31417,PIBRAC,,1,  
31418,PIN BALMA,,1,  
31420,PINSAGUEL,,"1,75",  
31421,PINS JUSTARET,,"1,75",  
31424,PLAISANCE DU TOUCH,,"1,75",  
31433,PORTET SUR GARONNE,,"1,75",  
31435,POUCHARRAMET,,1,  
31445,QUINT FONSEGRIVES,,"1,75",  
31446,RAMONVILLE ST AGNE,,"1,75",  
31451,REVEL,,1,  
31454,RIEUMES,,1,  
31455,RIEUX,,1,  
31457,ROQUEFORT SUR GARONNE,,1,  
31458,ROQUES,,1,  
31460,ROQUETTES,,"1,75",  
31462,ROUFFIAC TOLOSAN,,1,  
31467,ST ALBAN,,"1,75",  
31481,STE FOY DE PEYROLIERES,,1,  
31483,ST GAUDENS,,1,  
31484,ST GENIES BELLEVUE,,"1,75",  
31486,ST HILAIRE,,1,  
31488,ST JEAN,,"1,75",  
31490,ST JORY,,1,  
31497,ST LOUP CAMMAS,,"1,75",  
31499,ST LYS,,1,  
31500,ST MAMET,,1,  
31503,ST MARTORY,,1,  
31506,ST ORENS DE GAMEVILLE,,"1,75",  
31517,ST SULPICE SUR LEZE,,1,  
31523,SALIES DU SALAT,,1,  
31526,LA SALVETAT ST GILLES,,"1,75",  
31533,SAUBENS,,1,  
31541,SEILH,,1,  
31547,SEYSSES,,1,  
31555,TOULOUSE,,"1,75",  
31557,TOURNEFEUILLE,,"1,75",  
31561,L UNION,,"1,75",  
31565,VALENTINE,,1,  
31572,VENERQUE,,1,  
31574,VERNET,,1,  
31575,VIEILLE TOULOUSE,,1,  
31580,VILLATE,,1,  
31581,VILLAUDRIC,,1,  
31584,VILLEMUR SUR TARN,,1,  
31585,VILLENEUVE DE RIVIERE,,1,  
31587,VILLENEUVE LES BOULOC,,1,  
31588,VILLENEUVE TOLOSANE,,"1,75",  
32001,AIGNAN,,1,  
32002,ANSAN,,1,  
32012,AUBIET,,1,  
32013,AUCH,,1,  
32019,AUTERIVE,,1,  
32027,BARCELONNE DU GERS,,1,AA0001
32045,BERDOUES,,1,  
32056,BLANQUEFORT,,1,  
32107,CONDOM,,1,  
32117,DURAN,,1,  
32128,ESTIPOUY,,1,  
32132,FLEURANCE,,1,  
32147,GIMONT,,1,  
32155,LE HOUGA,,1,  
32157,L ISLE ARNE,,1,  
32159,L ISLE DE NOE,,1,  
32160,L ISLE JOURDAIN,,1,  
32208,LECTOURE,,1,  
32209,LELIN LAPUJOLLE,,1,  
32221,LUSSAN,,1,  
32235,MARGOUET MEYMES,,1,  
32244,MAULICHERES,,1,  
32249,MAUVEZIN,,1,  
32256,MIRANDE,,1,  
32286,MONTESTRUC SUR GERS,,1,  
32296,NOGARO,,1,  
32307,PAVIE,,1,  
32331,PREIGNAN,,1,  
32334,PUJAUDRAN,,1,  
32344,RISCLE,,1,  
32346,ROQUEBRUNE,,1,  
32368,STE CHRISTIE,,1,  
32378,ST GERME,,1,  
32406,ST SAUVY,,1,  
32425,SEGOUFIELLE,,1,  
32439,TARSAC,,1,  
32458,URGOSSE,,1,  
32462,VIC FEZENSAC,,1,  
32464,VILLECOMTAL SUR ARROS,,1,  
33001,ABZAC,,1,  
33003,AMBARES ET LAGRAVE,,"1,75",  
33004,AMBES,,1,  
33005,ANDERNOS LES BAINS,,"1,75",  
33007,ARBANATS,,1,  
33009,ARCACHON,,"1,75",  
33010,ARCINS,,1,BX0001
33011,ARES,,1,  
33012,ARSAC,,1,BX0001
33013,ARTIGUES PRES BORDEAUX,,"1,75",  
33014,LES ARTIGUES DE LUSSAC,,1,  
33015,ARVEYRES,,1,  
33016,ASQUES,,1,  
33018,AUBIE ET ESPESSAS,,1,  
33019,AUDENGE,,1,  
33021,AUROS,,1,  
33022,AVENSAN,,1,BX0001
33023,AYGUEMORTE LES GRAVES,,1,  
33029,LE BARP,,1,  
33030,BARSAC,,1,  
33032,BASSENS,,"1,75",BX0001
33033,BAURECH,,1,  
33035,BAYON SUR GIRONDE,,1,  
33036,BAZAS,,1,BZ0001
33037,BEAUTIRAN,,1,  
33039,BEGLES,,"1,75",BX0001
33040,BEGUEY,,1,  
33042,BELIN BELIET,,1,  
33046,BERNOS BEAULAC,,1,BZ0001
33049,BEYCHAC ET CAILLAU,,1,  
33051,BIGANOS,,1,  
33052,LES BILLAUX,,1,  
33056,BLANQUEFORT,,"1,75",BX0001
33057,BLASIMON,,1,  
33058,BLAYE,,"1,75",  
33061,BONNETAN,,1,  
33063,BORDEAUX,,3,BX0001
33065,BOULIAC,,"1,75",  
33067,BOURG,,1,  
33069,LE BOUSCAT,,3,BX0001
33071,BRANNE,,1,  
33075,BRUGES,,"1,75",BX0001
33077,CABANAC ET VILLAGRAINS,,1,  
33078,CABARA,,1,  
33079,CADARSAC,,1,  
33080,CADAUJAC,,1,  
33081,CADILLAC,,"1,75",  
33082,CADILLAC EN FRONSADAIS,,1,  
33083,CAMARSAC,,1,  
33084,CAMBES,,1,  
33085,CAMBLANES ET MEYNAC,,1,  
33088,CAMPS SUR L ISLE,,1,  
33090,CANEJAN,,"1,75",BX0001
33091,CANTENAC,,1,BX0001
33095,CAPTIEUX,,1,  
33096,CARBON BLANC,,"1,75",BX0001
33099,CARIGNAN DE BORDEAUX,,1,  
33100,CARS,,1,  
33103,CASTELMORON D ALBRET,,"1,75",  
33104,CASTELNAU DE MEDOC,,1,BX0001
33106,CASTETS EN DORTHE,,1,  
33108,CASTILLON LA BATAILLE,,"1,75",  
33109,CASTRES GIRONDE,,1,  
33111,CAUDROT,,1,  
33112,CAUMONT,,1,  
33114,CAVIGNAC,,1,  
33118,CENAC,,1,  
33119,CENON,,"1,75",BX0001
33120,CERONS,,1,  
33122,CESTAS,,1,  
33123,CEZAC,,1,  
33126,CIVRAC DE BLAYE,,1,  
33136,COURS DE MONSEGUR,,1,  
33138,COUTRAS,,1,  
33140,CREON,,1,  
33141,CROIGNON,,1,  
33142,CUBNEZAIS,,1,  
33143,CUBZAC LES PONTS,,1,  
33146,CUSSAC FORT MEDOC,,1,BX0001
33154,LES EGLISOTTES ET CHALAURES,,1,  
33160,EYNESSE,,1,  
33162,EYSINES,,"1,75",BX0001
33164,FARGUES,,1,  
33165,FARGUES ST HILAIRE,,1,  
33167,FLOIRAC,,"1,75",BX0001
33170,FONTET,,1,LR0001
33174,FRONSAC,,1,  
33179,GALGON,,1,  
33182,GAURIAC,,1,  
33183,GAURIAGUET,,1,  
33185,GENISSAC,,1,  
33186,GENSAC,,1,  
33187,GIRONDE SUR DROPT,,1,LR0001
33191,GOURS,,1,  
33192,GRADIGNAN,,"1,75",BX0001
33194,GREZILLAC,,1,  
33195,GRIGNOLS,,1,  
33197,GUILLOS,,1,  
33198,GUITRES,,1,  
33199,GUJAN MESTRAS,,1,  
33200,LE HAILLAN,,"1,75",BX0001
33201,HAUX,,1,  
33205,ILLATS,,1,  
33206,ISLE ST GEORGES,,1,  
33207,IZON,,1,  
33211,LABARDE,,1,BX0001
33213,LA BREDE,,1,  
33214,LACANAU,,1,BX0001
33219,LA LANDE DE FRONSAC,,1,  
33220,LAMARQUE,,1,BX0001
33225,LANDIRAS,,1,  
33226,LANGOIRAN,,1,  
33227,LANGON,,"1,75",  
33228,LANSAC,,1,  
33229,LANTON,,1,  
33231,LAROQUE,,1,  
33234,LATRESNE,,1,  
33236,LEGE CAP FERRET,,1,  
33238,LEOGNAN,,1,  
33241,LESTIAC SUR GARONNE,,1,  
33243,LIBOURNE,,"1,75",  
33245,LIGNAN DE BORDEAUX,,1,  
33248,LISTRAC MEDOC,,1,BX0001
33249,LORMONT,,"1,75",BX0001
33252,LOUPES,,1,  
33253,LOUPIAC,,1,  
33256,LUDON MEDOC,,1,BX0001
33259,LUGON ET L ILE DU CARNAY,,1,  
33261,LUSSAC,,1,  
33262,MACAU,,1,BX0001
33268,MARGAUX,,1,BX0001
33272,MARSAS,,1,  
33273,MARTIGNAS SUR JALLE,,1,BX0001
33274,MARTILLAC,,1,  
33280,MAZION,,1,  
33281,MERIGNAC,,"1,75",BX0001
33284,MIOS,,1,  
33289,MONSEGUR,,1,  
33290,MONTAGNE,,1,  
33293,MONTUSSAN,,1,  
33294,MORIZES,,1,LR0001
33296,MOULIETS ET VILLEMARTIN,,1,  
33297,MOULIS EN MEDOC,,1,BX0001
33298,MOULON,,1,  
33303,NERIGEAN,,1,  
33307,NOAILLAN,,1,  
33311,PAILLET,,1,  
33312,PAREMPUYRE,,1,BX0001
33314,PAUILLAC,,1,BX0001
33315,LES PEINTURES,,1,  
33318,PESSAC,,"1,75",BX0001
33319,PESSAC SUR DORDOGNE,,1,  
33321,PEUJARD,,1,  
33322,LE PIAN MEDOC,,1,BX0001
33323,LE PIAN SUR GARONNE,,1,  
33324,PINEUILH,,1,  
33325,PLASSAC,,1,  
33327,PODENSAC,,1,  
33328,POMEROL,,1,  
33330,POMPIGNAC,,1,  
33332,PORCHERES,,1,  
33333,LE PORGE,,1,  
33334,PORTETS,,1,  
33336,PRECHAC,,1,  
33337,PREIGNAC,,1,  
33339,PRIGNAC ET MARCAMPS,,1,  
33341,PUGNAC,,1,  
33342,PUISSEGUIN,,1,  
33345,LE PUY,,1,  
33349,QUINSAC,,1,  
33350,RAUZAN,,1,  
33352,LA REOLE,,1,LR0001
33353,RIMONS,,1,  
33355,RIONS,,1,  
33356,LA RIVIERE,,1,  
33362,SABLONS,,1,  
33363,SADIRAC,,1,  
33364,SAILLANS,,1,  
33365,ST AIGNAN,,1,  
33366,ST ANDRE DE CUBZAC,,1,  
33369,ST ANDRE ET APPELLES,,1,  
33371,ST ANTOINE,,"1,75",  
33373,ST ANTOINE SUR L ISLE,,1,  
33376,ST AUBIN DE MEDOC,,1,BX0001
33378,ST AVIT ST NAZAIRE,,1,  
33381,ST CAPRAIS DE BORDEAUX,,1,  
33384,ST CHRISTOPHE DES BARDES,,1,  
33391,ST COME,,1,BZ0001
33392,STE CROIX DU MONT,,1,  
