Sum of Value,Column Labels,,,,
A80,2.875083013,,,,2.875083013
A800,4.023586177,,,,4.023586177
A801,1.360905159,,,,1.360905159
A802,2.175629198,,,,2.175629198
A803,2.761872015,,,,2.761872015
A804,1.997596134,,,,1.997596134
A805,1.466081762,,,,1.466081762
A806,1.968016728,,,,1.968016728
A807,3.453674702,,,,3.453674702
A808,0.55199809,,,,0.55199809
A81,4.019824249,,,,4.019824249
A810,1.148244005,,,,1.148244005
A811,2.644331631,,,,2.644331631
A812,4.682207211,,,,4.682207211
A813,5.937293944,,,,5.937293944
A814,2.240041703,,,,2.240041703
A815,2.559716881,,,,2.559716881
A816,1.863890552,,,,1.863890552
A817,3.105156071,,,,3.105156071
A818,1.994419805,,,,1.994419805
A819,0.312180019,,,,0.312180019
A82,2.481279913,,,,2.481279913
A820,3.746592717,,,,3.746592717
A821,2.075618308,,,,2.075618308
A822,3.574289512,,,,3.574289512
A823,0.457860677,,,,0.457860677
A824,2.3123677,,,,2.3123677
A825,3.755986617,,,,3.755986617
A826,1.942784886,,,,1.942784886
A827,0.569525897,,,,0.569525897
A828,4.051619813,,,,4.051619813
A829,2.184194498,,,,2.184194498
A83,2.364346025,,,,2.364346025
A830,3.25750293,,,,3.25750293
A831,0.458457841,,,,0.458457841
A832,2.719701553,,,,2.719701553
A833,1.044262024,,,,1.044262024
A834,1.460840976,,,,1.460840976
A835,2.843138428,,,,2.843138428
A836,3.435128516,,,,3.435128516
A837,4.038477164,,,,4.038477164
A838,3.60677663,,,,3.60677663
A839,1.94829158,,,,1.94829158
A84,0.285640552,,,,0.285640552
A840,3.247894484,,,,3.247894484
A841,2.944028598,,,,2.944028598
A842,4.547022648,,,,4.547022648
A843,1.547777786,,,,1.547777786
A844,3.172158489,,,,3.172158489
A845,1.449710902,,,,1.449710902
A846,1.124828447,,,,1.124828447
A847,5.251130051,,,,5.251130051
A848,0.479143303,,,,0.479143303
A849,2.612348665,,,,2.612348665
A85,4.238068418,,,,4.238068418
A850,3.552402798,,,,3.552402798
A851,4.139538452,,,,4.139538452
A852,3.411855319,,,,3.411855319
A853,1.657449088,,,,1.657449088
A854,0.554799835,,,,0.554799835
A855,1.596888297,,,,1.596888297
A856,2.267339054,,,,2.267339054
A857,2.451572237,,,,2.451572237
A858,4.682328132,,,,4.682328132
A859,1.614932804,,,,1.614932804
A86,3.408252788,,,,3.408252788
A860,2.374985185,,,,2.374985185
A861,1.416103426,,,,1.416103426
A862,0.599968622,,,,0.599968622
A863,2.487032088,,,,2.487032088
A864,4.154019268,,,,4.154019268
A865,2.543577103,,,,2.543577103
A866,3.724871291,,,,3.724871291
A867,4.659019709,,,,4.659019709
A868,2.728546529,,,,2.728546529
A869,1.535695087,,,,1.535695087
A87,2.045988782,,,,2.045988782
A870,2.935000085,,,,2.935000085
A871,2.386927717,,,,2.386927717
A872,3.347801942,,,,3.347801942
A873,5.129088864,,,,5.129088864
A874,0.483035982,,,,0.483035982
A875,0.699019962,,,,0.699019962
A876,4.232715951,,,,4.232715951
A877,2.107364341,,,,2.107364341
A878,1.575172062,,,,1.575172062
A879,2.464194885,,,,2.464194885
A88,0.961323963,,,,0.961323963
A880,2.427039404,,,,2.427039404
A881,4.034500852,,,,4.034500852
A882,3.102909641,,,,3.102909641
A883,2.607313779,,,,2.607313779
A884,1.98507006,,,,1.98507006
A885,1.154484386,,,,1.154484386
A886,1.819425851,,,,1.819425851
A887,1.716161442,,,,1.716161442
A888,3.1710902,,,,3.1710902
A889,1.972341508,,,,1.972341508
A89,1.37644914,,,,1.37644914
A890,2.670396907,,,,2.670396907
A891,2.264854571,,,,2.264854571
A892,2.933863817,,,,2.933863817
A893,3.265753736,,,,3.265753736
A894,1.87318905,,,,1.87318905
A895,2.346324131,,,,2.346324131
A896,2.845052141,,,,2.845052141
A897,4.833669997,,,,4.833669997
A898,2.617907541,,,,2.617907541
A899,1.1079514,,,,1.1079514
A9,3.007622199,,,,3.007622199
A90,2.214790376,,,,2.214790376
A900,2.671257707,,,,2.671257707
A901,5.492101145,,,,5.492101145
A902,0.540773599,,,,0.540773599
A903,4.072016888,,,,4.072016888
A904,5.782648857,,,,5.782648857
A905,2.151108219,,,,2.151108219
A906,2.312862347,,,,2.312862347
A907,2.204039234,,,,2.204039234
A908,3.101565877,,,,3.101565877
A909,3.441817111,,,,3.441817111
A91,0.680660259,,,,0.680660259
A910,2.136768064,,,,2.136768064
A911,2.400219561,,,,2.400219561
A912,2.346793726,,,,2.346793726
A913,2.368357231,,,,2.368357231
A914,1.761412018,,,,1.761412018
A915,2.807744619,,,,2.807744619
A916,2.128107209,,,,2.128107209
A917,0.950560688,,,,0.950560688
A918,0.580539311,,,,0.580539311
A919,2.470043085,,,,2.470043085
A92,2.195237036,,,,2.195237036
A920,4.408438282,,,,4.408438282
A921,3.325017255,,,,3.325017255
A922,6.825476356,,,,6.825476356
A923,4.419575481,,,,4.419575481
A924,2.252948272,,,,2.252948272
A925,3.737074314,,,,3.737074314
A926,4.159127413,,,,4.159127413
A927,2.888237231,,,,2.888237231
A928,3.202040114,,,,3.202040114
A929,2.331692924,,,,2.331692924
A93,5.497976759,,,,5.497976759
A930,5.405707934,,,,5.405707934
A931,1.647957824,,,,1.647957824
A932,1.240404371,,,,1.240404371
A933,2.533767015,,,,2.533767015
A934,4.50354734,,,,4.50354734
A935,2.25845816,,,,2.25845816
A936,0.712862806,,,,0.712862806
A937,1.855757881,,,,1.855757881
A938,2.425943476,,,,2.425943476
A939,6.601204419,,,,6.601204419
A94,4.37977417,,,,4.37977417
A940,0.402749189,,,,0.402749189
A941,1.712187389,,,,1.712187389
A942,3.626816233,,,,3.626816233
A943,3.518253644,,,,3.518253644
A944,2.134360153,,,,2.134360153
A945,4.357199752,,,,4.357199752
A946,1.826562441,,,,1.826562441
A947,2.300293003,,,,2.300293003
A948,2.416494474,,,,2.416494474
A949,3.77514533,,,,3.77514533
A95,0.324727518,,,,0.324727518
A951,2.92810937,,,,2.92810937
A952,3.879942109,,,,3.879942109
A953,4.595616591,,,,4.595616591
A954,2.802523993,,,,2.802523993
A955,2.623272836,,,,2.623272836
A956,5.150968893,,,,5.150968893
A957,3.932084159,,,,3.932084159
A958,2.632703206,,,,2.632703206
A959,1.567136163,,,,1.567136163
A96,2.509509957,,,,2.509509957
A960,2.633235963,,,,2.633235963
A961,0.863939287,,,,0.863939287
A962,2.697556958,,,,2.697556958
A963,0.791882791,,,,0.791882791
A964,2.305094718,,,,2.305094718
A965,3.5309924,,,,3.5309924
A966,3.674327435,,,,3.674327435
A967,1.918079202,,,,1.918079202
A968,1.467573543,,,,1.467573543
A969,1.045084103,,,,1.045084103
A97,1.868123814,,,,1.868123814
A970,7.274229676,,,,7.274229676
A971,3.393014101,,,,3.393014101
A972,3.181795208,,,,3.181795208
A973,3.557498043,,,,3.557498043
A974,2.178306289,,,,2.178306289
A975,5.324160899,,,,5.324160899
A976,4.122941197,,,,4.122941197
A977,2.764492736,,,,2.764492736
A978,3.65586909,,,,3.65586909
A979,4.593942231,,,,4.593942231
A98,1.168449897,,,,1.168449897
A980,2.31013191,,,,2.31013191
A981,5.530639852,,,,5.530639852
A982,0.995889604,,,,0.995889604
A983,0.979677262,,,,0.979677262
A984,4.64355289,,,,4.64355289
A985,0.465701857,,,,0.465701857
A986,1.230922935,,,,1.230922935
A987,1.519342632,,,,1.519342632
A988,4.130343729,,,,4.130343729
A989,0.393357133,,,,0.393357133
A99,5.020774553,,,,5.020774553
A990,5.416136061,,,,5.416136061
A991,5.389812432,,,,5.389812432
A992,2.47462386,,,,2.47462386
A993,3.944476389,,,,3.944476389
A994,4.242552525,,,,4.242552525
A995,2.039258556,,,,2.039258556
A996,1.563029941,,,,1.563029941
A997,0.241003612,,,,0.241003612
A998,4.164668621,,,,4.164668621
A999,2.4588751,,,,2.4588751
B0,,3.514183877,,,3.514183877
B1,,2.988320032,,,2.988320032
B10,,3.743256324,,,3.743256324
B100,,5.809979405,,,5.809979405
B101,,1.660264398,,,1.660264398
B102,,1.634213263,,,1.634213263
B103,,2.562530972,,,2.562530972
B104,,3.949169985,,,3.949169985
B105,,1.473144813,,,1.473144813
B106,,3.385258956,,,3.385258956
B107,,2.642191241,,,2.642191241
B108,,1.120995972,,,1.120995972
B109,,1.464348672,,,1.464348672
B11,,3.748379546,,,3.748379546
B110,,2.258548517,,,2.258548517
B111,,2.226369974,,,2.226369974
B112,,1.407478156,,,1.407478156
B113,,2.77644734,,,2.77644734
B114,,3.919153001,,,3.919153001
B115,,3.786167498,,,3.786167498
B116,,2.448071055,,,2.448071055
B117,,2.763693473,,,2.763693473
B118,,1.10250042,,,1.10250042
B119,,4.061672452,,,4.061672452
B12,,2.31771739,,,2.31771739
B120,,3.640242272,,,3.640242272
B121,,1.073354562,,,1.073354562
B122,,4.392496737,,,4.392496737
B123,,3.292750218,,,3.292750218
B124,,2.950597574,,,2.950597574
B125,,1.258997601,,,1.258997601
B126,,2.880705548,,,2.880705548
B127,,1.925745475,,,1.925745475
B128,,4.24897983,,,4.24897983
B129,,1.587838964,,,1.587838964
B13,,3.219044187,,,3.219044187
B130,,0.797551932,,,0.797551932
B131,,1.763359487,,,1.763359487
B132,,3.166362719,,,3.166362719
B133,,2.543800685,,,2.543800685
B134,,2.166112542,,,2.166112542
B135,,2.147980805,,,2.147980805
B136,,3.919504758,,,3.919504758
B137,,1.410713026,,,1.410713026
B138,,3.966678489,,,3.966678489
B139,,1.530163068,,,1.530163068
B14,,2.860053156,,,2.860053156
B140,,1.417525097,,,1.417525097
B141,,1.297087347,,,1.297087347
B142,,1.649081252,,,1.649081252
B143,,1.713156543,,,1.713156543
B144,,2.298306699,,,2.298306699
B145,,1.734981276,,,1.734981276
B146,,2.232667392,,,2.232667392
B147,,2.737001344,,,2.737001344
B148,,3.819515152,,,3.819515152
B149,,3.228814919,,,3.228814919
B15,,4.711304985,,,4.711304985
B150,,3.022301299,,,3.022301299
B151,,0.775219487,,,0.775219487
B152,,3.690906526,,,3.690906526
B153,,3.489770473,,,3.489770473
B154,,3.441971325,,,3.441971325
B155,,1.715272881,,,1.715272881
B156,,3.898374351,,,3.898374351
B157,,0.654534116,,,0.654534116
B158,,2.908660381,,,2.908660381
B159,,2.95348511,,,2.95348511
B16,,1.443443135,,,1.443443135
B160,,3.554626225,,,3.554626225
B161,,2.412972493,,,2.412972493
B162,,1.793747724,,,1.793747724
B163,,1.668958071,,,1.668958071
B164,,2.133670185,,,2.133670185
B165,,1.82018216,,,1.82018216
B166,,5.231527294,,,5.231527294
B167,,2.185393148,,,2.185393148
B168,,2.174007339,,,2.174007339
B169,,3.975185184,,,3.975185184
B17,,1.181808721,,,1.181808721
B170,,1.971441411,,,1.971441411
B171,,1.903795145,,,1.903795145
B172,,1.389639155,,,1.389639155
B173,,2.161543113,,,2.161543113
B174,,2.99773037,,,2.99773037
B175,,2.626411033,,,2.626411033
B176,,5.407840726,,,5.407840726
B177,,3.86157434,,,3.86157434
B178,,2.072752767,,,2.072752767
B179,,2.06093621,,,2.06093621
B18,,1.487527953,,,1.487527953
B180,,2.031480168,,,2.031480168
B181,,2.709249887,,,2.709249887
B182,,1.260930609,,,1.260930609
B183,,4.461317239,,,4.461317239
B184,,2.733436071,,,2.733436071
B185,,3.742254731,,,3.742254731
B186,,2.756430662,,,2.756430662
B187,,2.132258095,,,2.132258095
B188,,2.835168001,,,2.835168001
B189,,3.221614995,,,3.221614995
B19,,1.882315958,,,1.882315958
B190,,2.9782206,,,2.9782206
B191,,3.615818261,,,3.615818261
B192,,3.093553495,,,3.093553495
B193,,3.151080905,,,3.151080905
B194,,2.030098772,,,2.030098772
B195,,1.55026366,,,1.55026366
B196,,2.136699934,,,2.136699934
B197,,3.910220027,,,3.910220027
B198,,2.630780334,,,2.630780334
B199,,2.67198343,,,2.67198343
B2,,1.491625834,,,1.491625834
B20,,1.202322045,,,1.202322045
B200,,4.292063033,,,4.292063033
B201,,1.547505307,,,1.547505307
B202,,3.291557562,,,3.291557562
B203,,1.315577977,,,1.315577977
B204,,1.065626081,,,1.065626081
B205,,2.145567528,,,2.145567528
B206,,2.502974166,,,2.502974166
B207,,3.44536437,,,3.44536437
B208,,2.299224235,,,2.299224235
B209,,2.243973579,,,2.243973579
B21,,0.71789911,,,0.71789911
B210,,3.967339964,,,3.967339964
B211,,2.594374427,,,2.594374427
B212,,2.696443648,,,2.696443648
B213,,0.420957548,,,0.420957548
B214,,3.716148789,,,3.716148789
B215,,3.047654097,,,3.047654097
B216,,4.20057177,,,4.20057177
B217,,0.669410516,,,0.669410516
B218,,2.743796771,,,2.743796771
B219,,2.732829059,,,2.732829059
B22,,2.486953446,,,2.486953446
B220,,1.731580807,,,1.731580807
B221,,3.740317238,,,3.740317238
B222,,3.991462033,,,3.991462033
B223,,2.869761291,,,2.869761291
B224,,1.692901335,,,1.692901335
B225,,2.232531071,,,2.232531071
B226,,3.99576486,,,3.99576486
B227,,2.514929502,,,2.514929502
B228,,4.491793199,,,4.491793199
B229,,3.851280906,,,3.851280906
B23,,5.223451222,,,5.223451222
B230,,1.136380458,,,1.136380458
B231,,1.327794143,,,1.327794143
B232,,4.846841035,,,4.846841035
B233,,4.043671907,,,4.043671907
B234,,4.447004644,,,4.447004644
B235,,3.269767263,,,3.269767263
B236,,0.181074357,,,0.181074357
B237,,0.033483839,,,0.033483839
B238,,2.234694771,,,2.234694771
B239,,2.512556993,,,2.512556993
B24,,4.294551827,,,4.294551827
B240,,2.547525046,,,2.547525046
B241,,3.956587652,,,3.956587652
B242,,0.840886043,,,0.840886043
B243,,3.526632597,,,3.526632597
B244,,2.478122818,,,2.478122818
B245,,2.753822596,,,2.753822596
B246,,1.938330959,,,1.938330959
B247,,1.46333415,,,1.46333415
B248,,3.341270193,,,3.341270193
B249,,1.355581377,,,1.355581377
B25,,5.048537008,,,5.048537008
B250,,2.243222582,,,2.243222582
B251,,2.85828474,,,2.85828474
B252,,1.115808207,,,1.115808207
B253,,1.330650583,,,1.330650583
B254,,4.17114467,,,4.17114467
B255,,2.094785136,,,2.094785136
B256,,5.249628199,,,5.249628199
B257,,2.655680426,,,2.655680426
B258,,2.332762208,,,2.332762208
B259,,3.483609467,,,3.483609467
B26,,1.424836617,,,1.424836617
B260,,1.513771504,,,1.513771504
B261,,3.771717479,,,3.771717479
B262,,0.699944591,,,0.699944591
B263,,2.277268427,,,2.277268427
B264,,1.8808454,,,1.8808454
B265,,0.733013324,,,0.733013324
B266,,1.478613422,,,1.478613422
B267,,1.732830679,,,1.732830679
B268,,4.529917765,,,4.529917765
B269,,3.436446735,,,3.436446735
B27,,3.525346217,,,3.525346217
B270,,2.029023373,,,2.029023373
B271,,2.466848107,,,2.466848107
B272,,3.113989485,,,3.113989485
B273,,3.167099068,,,3.167099068
B274,,1.756839707,,,1.756839707
B275,,2.381383662,,,2.381383662
B276,,2.14043705,,,2.14043705
B277,,3.168610698,,,3.168610698
B278,,1.428488025,,,1.428488025
B279,,1.940155748,,,1.940155748
B28,,1.155277917,,,1.155277917
B280,,1.454105625,,,1.454105625
B281,,1.608155574,,,1.608155574
B282,,2.337181272,,,2.337181272
B283,,1.911854143,,,1.911854143
B284,,2.698699743,,,2.698699743
B285,,3.590239778,,,3.590239778
B286,,1.86999835,,,1.86999835
B287,,1.800318361,,,1.800318361
B288,,4.690028308,,,4.690028308
B289,,1.563144438,,,1.563144438
B29,,3.13406277,,,3.13406277
B290,,3.017381882,,,3.017381882
B291,,2.828515833,,,2.828515833
B292,,1.543012931,,,1.543012931
B293,,2.336779168,,,2.336779168
B294,,3.357086497,,,3.357086497
B295,,1.790741564,,,1.790741564
B296,,3.377651975,,,3.377651975
B297,,1.099357303,,,1.099357303
B298,,3.000149455,,,3.000149455
B299,,2.253980589,,,2.253980589
B3,,1.802098343,,,1.802098343
B30,,1.649976728,,,1.649976728
B300,,4.259005136,,,4.259005136
B301,,3.772218617,,,3.772218617
B302,,2.346030967,,,2.346030967
B303,,4.467285429,,,4.467285429
B304,,0.894143593,,,0.894143593
B305,,4.392601756,,,4.392601756
B306,,0.804608349,,,0.804608349
B307,,2.202612975,,,2.202612975
B308,,2.005984592,,,2.005984592
B309,,1.963870303,,,1.963870303
B31,,1.618979882,,,1.618979882
B310,,2.061940795,,,2.061940795
B311,,2.234183206,,,2.234183206
B312,,0.183255254,,,0.183255254
B313,,2.372574067,,,2.372574067
B314,,2.527498506,,,2.527498506
B315,,6.258451389,,,6.258451389
B316,,3.499468622,,,3.499468622
B317,,4.74413312,,,4.74413312
B318,,1.92476224,,,1.92476224
B319,,4.327154076,,,4.327154076
B32,,3.155862898,,,3.155862898
B320,,2.640992145,,,2.640992145
B321,,1.619531987,,,1.619531987
B322,,2.853449295,,,2.853449295
B323,,2.618152809,,,2.618152809
B324,,3.002069834,,,3.002069834
B325,,1.54266017,,,1.54266017
B326,,3.029434297,,,3.029434297
B327,,2.102997656,,,2.102997656
B328,,0.993582093,,,0.993582093
B329,,3.314538845,,,3.314538845
B33,,0.02705974,,,0.02705974
B330,,1.362225527,,,1.362225527
B331,,0.811490545,,,0.811490545
B332,,4.229448276,,,4.229448276
B333,,2.299290812,,,2.299290812
B334,,0.750114523,,,0.750114523
B335,,4.717261154,,,4.717261154
B336,,3.008159355,,,3.008159355
B337,,2.347043772,,,2.347043772
B338,,1.186241256,,,1.186241256
B339,,3.615633461,,,3.615633461
B34,,3.941215587,,,3.941215587
B340,,0.011718445,,,0.011718445
B341,,1.618873114,,,1.618873114
B342,,5.353183471,,,5.353183471
B343,,4.675267022,,,4.675267022
B344,,1.534516336,,,1.534516336
B345,,2.933610453,,,2.933610453
B346,,1.307552118,,,1.307552118
B347,,2.062425168,,,2.062425168
B348,,1.372594009,,,1.372594009
B349,,1.314730131,,,1.314730131
B35,,1.681917015,,,1.681917015
B350,,1.437449548,,,1.437449548
B351,,2.674111006,,,2.674111006
B352,,2.008057094,,,2.008057094
B353,,3.728666401,,,3.728666401
B354,,4.238450531,,,4.238450531
B355,,3.813100381,,,3.813100381
B356,,2.969842931,,,2.969842931
B357,,5.605571987,,,5.605571987
B358,,2.227954486,,,2.227954486
B359,,5.160054368,,,5.160054368
B36,,3.651759908,,,3.651759908
B360,,0.946472546,,,0.946472546
B361,,3.654353878,,,3.654353878
B362,,1.90454565,,,1.90454565
B363,,2.965487634,,,2.965487634
B364,,2.352093559,,,2.352093559
B365,,3.855026807,,,3.855026807
B366,,2.26027234,,,2.26027234
B367,,1.720085047,,,1.720085047
B368,,3.428292289,,,3.428292289
B369,,0.668188271,,,0.668188271
B37,,3.007126867,,,3.007126867
B370,,1.60191063,,,1.60191063
B371,,0.831816496,,,0.831816496
B372,,1.198616824,,,1.198616824
B373,,3.048776918,,,3.048776918
B374,,2.962819634,,,2.962819634
B375,,5.383376714,,,5.383376714
B376,,9.215696302,,,9.215696302
B377,,4.284867722,,,4.284867722
B378,,3.004509193,,,3.004509193
B379,,2.779547557,,,2.779547557
B38,,2.202490271,,,2.202490271
B380,,1.950358385,,,1.950358385
B381,,1.783836523,,,1.783836523
B382,,3.27722673,,,3.27722673
B383,,2.489238621,,,2.489238621
B384,,1.390124383,,,1.390124383
B386,,5.529748223,,,5.529748223
B387,,3.727031795,,,3.727031795
B388,,3.606804849,,,3.606804849
B389,,3.270469876,,,3.270469876
B39,,3.308512102,,,3.308512102
B390,,1.805038035,,,1.805038035
B391,,1.888888785,,,1.888888785
B392,,2.317391842,,,2.317391842
B393,,3.049770997,,,3.049770997
B394,,1.382110103,,,1.382110103
B395,,3.327695161,,,3.327695161
B396,,3.077067672,,,3.077067672
B397,,2.582718245,,,2.582718245
B398,,0.741916896,,,0.741916896
B399,,0.732598587,,,0.732598587
B4,,0.877963193,,,0.877963193
B40,,2.489893009,,,2.489893009
B400,,1.892712452,,,1.892712452
B401,,2.910968949,,,2.910968949
B402,,0.435980371,,,0.435980371
B403,,1.522834431,,,1.522834431
B404,,1.534528169,,,1.534528169
B405,,2.283324708,,,2.283324708
B406,,2.14786539,,,2.14786539
B407,,2.94533126,,,2.94533126
B408,,2.58100633,,,2.58100633
B409,,2.228840901,,,2.228840901
B41,,0.712414451,,,0.712414451
B410,,5.007915348,,,5.007915348
B411,,2.846936549,,,2.846936549
B412,,2.392817368,,,2.392817368
B413,,3.206480447,,,3.206480447
B414,,2.902001315,,,2.902001315
B415,,1.225906947,,,1.225906947
B416,,5.784423209,,,5.784423209
B417,,1.72718108,,,1.72718108
B418,,3.036906309,,,3.036906309
B419,,2.025887542,,,2.025887542
B42,,1.794824637,,,1.794824637
B420,,2.058661256,,,2.058661256
B421,,3.611181829,,,3.611181829
B422,,3.528195042,,,3.528195042
B423,,0.786177244,,,0.786177244
B424,,1.559803233,,,1.559803233
B425,,1.222926395,,,1.222926395
B426,,2.31712869,,,2.31712869
B427,,3.192617477,,,3.192617477
B428,,1.199885669,,,1.199885669
B429,,2.155375741,,,2.155375741
B43,,3.909740582,,,3.909740582
B430,,0.535905425,,,0.535905425
B431,,2.768545577,,,2.768545577
B432,,1.474769261,,,1.474769261
B433,,2.809785314,,,2.809785314
B434,,5.110446519,,,5.110446519
B435,,4.857321156,,,4.857321156
B436,,1.849533445,,,1.849533445
B437,,3.12595023,,,3.12595023
B438,,2.041113077,,,2.041113077
B439,,2.559923902,,,2.559923902
B44,,1.561965,,,1.561965
B440,,3.470583821,,,3.470583821
B441,,2.518593518,,,2.518593518
B442,,3.393491891,,,3.393491891
B443,,3.219498483,,,3.219498483
B444,,1.69904586,,,1.69904586
B445,,1.079872055,,,1.079872055
B446,,3.915253002,,,3.915253002
B447,,4.89886186,,,4.89886186
B448,,2.148381785,,,2.148381785
B449,,3.283979357,,,3.283979357
B45,,2.909062774,,,2.909062774
B450,,3.292550438,,,3.292550438
B451,,5.154699704,,,5.154699704
B452,,2.803883557,,,2.803883557
B453,,5.007161922,,,5.007161922
B454,,3.80607835,,,3.80607835
B455,,3.580090182,,,3.580090182
B456,,1.153581817,,,1.153581817
B457,,2.856642724,,,2.856642724
B458,,0.6642879,,,0.6642879
B459,,1.785529749,,,1.785529749
B46,,0.978156733,,,0.978156733
B460,,3.685219003,,,3.685219003
B461,,1.712948571,,,1.712948571
B462,,5.01830424,,,5.01830424
B463,,1.986047378,,,1.986047378
B464,,3.838069371,,,3.838069371
B465,,0.870601427,,,0.870601427
B466,,4.795505216,,,4.795505216
B467,,3.938353509,,,3.938353509
B468,,1.765610593,,,1.765610593
B469,,5.630488836,,,5.630488836
B47,,0.973665397,,,0.973665397
B470,,3.400131914,,,3.400131914
B471,,2.31806781,,,2.31806781
B472,,0.627663452,,,0.627663452
B473,,4.039075472,,,4.039075472
B474,,3.419030795,,,3.419030795
B475,,6.590695021,,,6.590695021
B476,,3.223002486,,,3.223002486
B477,,0.661799351,,,0.661799351
B478,,2.0063103,,,2.0063103
B479,,4.127393322,,,4.127393322
B48,,4.796312956,,,4.796312956
B480,,2.145756293,,,2.145756293
B481,,2.032436971,,,2.032436971
B482,,4.645346884,,,4.645346884
B483,,4.262269913,,,4.262269913
B484,,3.031501752,,,3.031501752
B485,,1.329116853,,,1.329116853
B486,,2.71776431,,,2.71776431
B487,,0.500124743,,,0.500124743
B488,,4.537802161,,,4.537802161
B489,,3.269455723,,,3.269455723
B49,,1.290724184,,,1.290724184
B490,,1.136114118,,,1.136114118
B491,,3.215672186,,,3.215672186
B492,,1.925918816,,,1.925918816
B493,,2.370502385,,,2.370502385
B494,,1.438741691,,,1.438741691
B495,,5.809102992,,,5.809102992
B496,,1.808688517,,,1.808688517
B497,,2.415136597,,,2.415136597
B498,,1.096945909,,,1.096945909
B499,,1.386735481,,,1.386735481
B5,,0.27684809,,,0.27684809
B50,,1.470783115,,,1.470783115
B500,,2.616549799,,,2.616549799
B501,,4.244882324,,,4.244882324
B502,,4.855632425,,,4.855632425
B503,,3.762577404,,,3.762577404
B504,,2.175147258,,,2.175147258
B505,,1.951818589,,,1.951818589
B506,,5.247040388,,,5.247040388
B507,,2.674989444,,,2.674989444
B508,,2.901960123,,,2.901960123
B509,,5.521483141,,,5.521483141
B51,,4.466724285,,,4.466724285
B510,,4.840321953,,,4.840321953
B511,,2.413950114,,,2.413950114
B512,,3.253878303,,,3.253878303
B513,,3.58569454,,,3.58569454
B514,,2.217401388,,,2.217401388
B515,,0.982422976,,,0.982422976
B516,,3.455090874,,,3.455090874
B517,,7.135004275,,,7.135004275
B518,,1.100716777,,,1.100716777
B519,,0.909069944,,,0.909069944
B52,,1.511269039,,,1.511269039
B521,,2.081435161,,,2.081435161
B522,,0.577884178,,,0.577884178
B523,,3.945355243,,,3.945355243
B524,,1.220308992,,,1.220308992
B525,,1.571327289,,,1.571327289
B526,,2.312690134,,,2.312690134
B527,,2.212771018,,,2.212771018
B528,,2.624744144,,,2.624744144
B529,,2.866329923,,,2.866329923
B53,,3.496496,,,3.496496
B530,,6.511253405,,,6.511253405
B531,,5.475158955,,,5.475158955
B532,,2.038997606,,,2.038997606
B533,,4.070407909,,,4.070407909
B534,,2.025730447,,,2.025730447
B535,,1.990484307,,,1.990484307
B536,,2.078848537,,,2.078848537
B537,,0.951230484,,,0.951230484
B538,,1.130729459,,,1.130729459
B539,,0.822760514,,,0.822760514
B54,,0.985202079,,,0.985202079
B540,,4.587760736,,,4.587760736
B541,,0.253090267,,,0.253090267
B542,,1.959699404,,,1.959699404
B543,,2.892117937,,,2.892117937
B544,,4.163945789,,,4.163945789
B545,,2.629334244,,,2.629334244
B546,,1.354614682,,,1.354614682
B547,,1.78027359,,,1.78027359
B548,,0.936698038,,,0.936698038
B549,,2.053474274,,,2.053474274
B55,,3.316295548,,,3.316295548
B550,,3.8414603,,,3.8414603
B551,,3.062139829,,,3.062139829
B552,,0.801092684,,,0.801092684
B553,,1.51732074,,,1.51732074
B554,,3.895101001,,,3.895101001
B555,,1.971037755,,,1.971037755
B556,,2.189311521,,,2.189311521
B557,,3.998728561,,,3.998728561
B558,,1.162910781,,,1.162910781
B559,,1.176675419,,,1.176675419
B56,,0.800541865,,,0.800541865
B560,,1.818431982,,,1.818431982
B561,,1.975456291,,,1.975456291
B562,,3.353266967,,,3.353266967
B563,,5.8015575,,,5.8015575
B564,,3.466484101,,,3.466484101
B565,,1.795678733,,,1.795678733
B566,,2.472170256,,,2.472170256
B567,,2.412919981,,,2.412919981
B568,,3.843465468,,,3.843465468
B569,,1.083353314,,,1.083353314
B57,,0.208661851,,,0.208661851
B570,,3.372715893,,,3.372715893
B571,,2.043223574,,,2.043223574
B572,,3.341302606,,,3.341302606
B573,,7.050325053,,,7.050325053
B574,,2.111674757,,,2.111674757
B575,,1.811159776,,,1.811159776
B576,,1.332004815,,,1.332004815
B577,,5.12277291,,,5.12277291
B578,,2.031532602,,,2.031532602
B579,,2.290308002,,,2.290308002
B58,,2.761265469,,,2.761265469
B580,,1.12295164,,,1.12295164
B581,,2.332870324,,,2.332870324
B582,,2.464350649,,,2.464350649
B583,,0.982087871,,,0.982087871
B584,,1.412907851,,,1.412907851
B585,,2.597363792,,,2.597363792
B586,,1.493037589,,,1.493037589
B587,,1.800854743,,,1.800854743
B588,,2.071554826,,,2.071554826
B589,,3.150582061,,,3.150582061
B59,,1.375171572,,,1.375171572
B590,,0.227451355,,,0.227451355
B591,,1.724582366,,,1.724582366
B592,,3.638458243,,,3.638458243
B593,,4.916137694,,,4.916137694
B594,,2.237172034,,,2.237172034
B595,,3.209935015,,,3.209935015
B596,,3.702046418,,,3.702046418
B597,,3.792934804,,,3.792934804
B599,,4.239385511,,,4.239385511
B6,,1.613594411,,,1.613594411
B60,,0.557527501,,,0.557527501
B600,,3.639394631,,,3.639394631
B601,,1.430884505,,,1.430884505
B602,,0.945246678,,,0.945246678
