Ref  ,Line Item Container,Alias,Xpath  ,Xpath without Instance,Document type and version,HouseShippingInstruction-1.0,Alias prefix,HSI,Code size,0,Code start row,0
860,FALSE,HSI\10_1\720_1\790_1\830_1\840_1\860_1___lab,/HouseShippingInstruction[1]/usercac:Shipment[1]/usercac:MainCarriageShipmentStage[1]/usercac:ShipmentStartPoint[1]/usercac:OriginTransportLocation[1]/usercac:Location[1],/HouseShippingInstruction/usercac:Shipment/usercac:MainCarriageShipmentStage/usercac:ShipmentStartPoint/usercac:OriginTransportLocation/usercac:Location,,,,,,,,
870,FALSE,HSI\10_1\720_1\790_1\830_1\840_1\860_1\870_1___val,/HouseShippingInstruction[1]/usercac:Shipment[1]/usercac:MainCarriageShipmentStage[1]/usercac:ShipmentStartPoint[1]/usercac:OriginTransportLocation[1]/usercac:Location[1]/usercbc:Name[1],/HouseShippingInstruction/usercac:Shipment/usercac:MainCarriageShipmentStage/usercac:ShipmentStartPoint/usercac:OriginTransportLocation/usercac:Location/usercbc:Name,,,,,,,,
880,FALSE,HSI\10_1\720_1\790_1\880_1___lab,/HouseShippingInstruction[1]/usercac:Shipment[1]/usercac:MainCarriageShipmentStage[1]/usercac:ShipmentEndPoint[1],/HouseShippingInstruction/usercac:Shipment/usercac:MainCarriageShipmentStage/usercac:ShipmentEndPoint,,,,,,,,
890,FALSE,HSI\10_1\720_1\790_1\880_1\890_1___lab,/HouseShippingInstruction[1]/usercac:Shipment[1]/usercac:MainCarriageShipmentStage[1]/usercac:ShipmentEndPoint[1]/usercac:FinalDestinationTransportLocation[1],/HouseShippingInstruction/usercac:Shipment/usercac:MainCarriageShipmentStage/usercac:ShipmentEndPoint/usercac:FinalDestinationTransportLocation,,,,,,,,
900,FALSE,HSI\10_1\720_1\790_1\880_1\890_1\900_1___val,/HouseShippingInstruction[1]/usercac:Shipment[1]/usercac:MainCarriageShipmentStage[1]/usercac:ShipmentEndPoint[1]/usercac:FinalDestinationTransportLocation[1]/usercac:AirportCityCode[1],/HouseShippingInstruction/usercac:Shipment/usercac:MainCarriageShipmentStage/usercac:ShipmentEndPoint/usercac:FinalDestinationTransportLocation/usercac:AirportCityCode,,,,,,,,
910,FALSE,HSI\10_1\720_1\790_1\880_1\890_1\910_1___lab,/HouseShippingInstruction[1]/usercac:Shipment[1]/usercac:MainCarriageShipmentStage[1]/usercac:ShipmentEndPoint[1]/usercac:FinalDestinationTransportLocation[1]/usercac:Location[1],/HouseShippingInstruction/usercac:Shipment/usercac:MainCarriageShipmentStage/usercac:ShipmentEndPoint/usercac:FinalDestinationTransportLocation/usercac:Location,,,,,,,,
920,FALSE,HSI\10_1\720_1\790_1\880_1\890_1\910_1\920_1___val,/HouseShippingInstruction[1]/usercac:Shipment[1]/usercac:MainCarriageShipmentStage[1]/usercac:ShipmentEndPoint[1]/usercac:FinalDestinationTransportLocation[1]/usercac:Location[1]/usercbc:Name[1],/HouseShippingInstruction/usercac:Shipment/usercac:MainCarriageShipmentStage/usercac:ShipmentEndPoint/usercac:FinalDestinationTransportLocation/usercac:Location/usercbc:Name,,,,,,,,
790,FALSE,HSI\10_1\720_1\790_2___lab,/HouseShippingInstruction[1]/usercac:Shipment[1]/usercac:MainCarriageShipmentStage[2],/HouseShippingInstruction/usercac:Shipment/usercac:MainCarriageShipmentStage,,,,,,,,
800,FALSE,HSI\10_1\720_1\790_2\800_1___lab,/HouseShippingInstruction[1]/usercac:Shipment[1]/usercac:MainCarriageShipmentStage[2]/usercac:TransportationService[1],/HouseShippingInstruction/usercac:Shipment/usercac:MainCarriageShipmentStage/usercac:TransportationService,,,,,,,,
810,FALSE,HSI\10_1\720_1\790_2\800_1\810_1___lab,/HouseShippingInstruction[1]/usercac:Shipment[1]/usercac:MainCarriageShipmentStage[2]/usercac:TransportationService[1]/usercac:DeliveryTransportationServiceType[1],/HouseShippingInstruction/usercac:Shipment/usercac:MainCarriageShipmentStage/usercac:TransportationService/usercac:DeliveryTransportationServiceType,,,,,,,,
820,FALSE,HSI\10_1\720_1\790_2\800_1\810_1\820_1___val,/HouseShippingInstruction[1]/usercac:Shipment[1]/usercac:MainCarriageShipmentStage[2]/usercac:TransportationService[1]/usercac:DeliveryTransportationServiceType[1]/usercac:Code[1],/HouseShippingInstruction/usercac:Shipment/usercac:MainCarriageShipmentStage/usercac:TransportationService/usercac:DeliveryTransportationServiceType/usercac:Code,,,,,,,,
830,FALSE,HSI\10_1\720_1\790_2\830_1___lab,/HouseShippingInstruction[1]/usercac:Shipment[1]/usercac:MainCarriageShipmentStage[2]/usercac:ShipmentStartPoint[1],/HouseShippingInstruction/usercac:Shipment/usercac:MainCarriageShipmentStage/usercac:ShipmentStartPoint,,,,,,,,
840,FALSE,HSI\10_1\720_1\790_2\830_1\840_1___lab,/HouseShippingInstruction[1]/usercac:Shipment[1]/usercac:MainCarriageShipmentStage[2]/usercac:ShipmentStartPoint[1]/usercac:OriginTransportLocation[1],/HouseShippingInstruction/usercac:Shipment/usercac:MainCarriageShipmentStage/usercac:ShipmentStartPoint/usercac:OriginTransportLocation,,,,,,,,
850,FALSE,HSI\10_1\720_1\790_2\830_1\840_1\850_1___val,/HouseShippingInstruction[1]/usercac:Shipment[1]/usercac:MainCarriageShipmentStage[2]/usercac:ShipmentStartPoint[1]/usercac:OriginTransportLocation[1]/usercac:AirportCityCode[1],/HouseShippingInstruction/usercac:Shipment/usercac:MainCarriageShipmentStage/usercac:ShipmentStartPoint/usercac:OriginTransportLocation/usercac:AirportCityCode,,,,,,,,
860,FALSE,HSI\10_1\720_1\790_2\830_1\840_1\860_1___lab,/HouseShippingInstruction[1]/usercac:Shipment[1]/usercac:MainCarriageShipmentStage[2]/usercac:ShipmentStartPoint[1]/usercac:OriginTransportLocation[1]/usercac:Location[1],/HouseShippingInstruction/usercac:Shipment/usercac:MainCarriageShipmentStage/usercac:ShipmentStartPoint/usercac:OriginTransportLocation/usercac:Location,,,,,,,,
870,FALSE,HSI\10_1\720_1\790_2\830_1\840_1\860_1\870_1___val,/HouseShippingInstruction[1]/usercac:Shipment[1]/usercac:MainCarriageShipmentStage[2]/usercac:ShipmentStartPoint[1]/usercac:OriginTransportLocation[1]/usercac:Location[1]/usercbc:Name[1],/HouseShippingInstruction/usercac:Shipment/usercac:MainCarriageShipmentStage/usercac:ShipmentStartPoint/usercac:OriginTransportLocation/usercac:Location/usercbc:Name,,,,,,,,
880,FALSE,HSI\10_1\720_1\790_2\880_1___lab,/HouseShippingInstruction[1]/usercac:Shipment[1]/usercac:MainCarriageShipmentStage[2]/usercac:ShipmentEndPoint[1],/HouseShippingInstruction/usercac:Shipment/usercac:MainCarriageShipmentStage/usercac:ShipmentEndPoint,,,,,,,,
890,FALSE,HSI\10_1\720_1\790_2\880_1\890_1___lab,/HouseShippingInstruction[1]/usercac:Shipment[1]/usercac:MainCarriageShipmentStage[2]/usercac:ShipmentEndPoint[1]/usercac:FinalDestinationTransportLocation[1],/HouseShippingInstruction/usercac:Shipment/usercac:MainCarriageShipmentStage/usercac:ShipmentEndPoint/usercac:FinalDestinationTransportLocation,,,,,,,,
900,FALSE,HSI\10_1\720_1\790_2\880_1\890_1\900_1___val,/HouseShippingInstruction[1]/usercac:Shipment[1]/usercac:MainCarriageShipmentStage[2]/usercac:ShipmentEndPoint[1]/usercac:FinalDestinationTransportLocation[1]/usercac:AirportCityCode[1],/HouseShippingInstruction/usercac:Shipment/usercac:MainCarriageShipmentStage/usercac:ShipmentEndPoint/usercac:FinalDestinationTransportLocation/usercac:AirportCityCode,,,,,,,,
910,FALSE,HSI\10_1\720_1\790_2\880_1\890_1\910_1___lab,/HouseShippingInstruction[1]/usercac:Shipment[1]/usercac:MainCarriageShipmentStage[2]/usercac:ShipmentEndPoint[1]/usercac:FinalDestinationTransportLocation[1]/usercac:Location[1],/HouseShippingInstruction/usercac:Shipment/usercac:MainCarriageShipmentStage/usercac:ShipmentEndPoint/usercac:FinalDestinationTransportLocation/usercac:Location,,,,,,,,
920,FALSE,HSI\10_1\720_1\790_2\880_1\890_1\910_1\920_1___val,/HouseShippingInstruction[1]/usercac:Shipment[1]/usercac:MainCarriageShipmentStage[2]/usercac:ShipmentEndPoint[1]/usercac:FinalDestinationTransportLocation[1]/usercac:Location[1]/usercbc:Name[1],/HouseShippingInstruction/usercac:Shipment/usercac:MainCarriageShipmentStage/usercac:ShipmentEndPoint/usercac:FinalDestinationTransportLocation/usercac:Location/usercbc:Name,,,,,,,,
930,TRUE,HSI\10_1\930___lab,/HouseShippingInstruction[1]/usercac:CargoLineItem[1],/HouseShippingInstruction/usercac:CargoLineItem,,,,,,,,
940,FALSE,HSI\10_1\930\940_1___lab,/HouseShippingInstruction[1]/usercac:CargoLineItem[1]/usercac:LineItemNumberID[1],/HouseShippingInstruction/usercac:CargoLineItem/usercac:LineItemNumberID,,,,,,,,
950,FALSE,HSI\10_1\930\950_1___lab,/HouseShippingInstruction[1]/usercac:CargoLineItem[1]/usercbc:Description[1],/HouseShippingInstruction/usercac:CargoLineItem/usercbc:Description,,,,,,,,
960,FALSE,HSI\10_1\930\960_1___lab,/HouseShippingInstruction[1]/usercac:CargoLineItem[1]/usercbc:TotalUnitQuantity[1],/HouseShippingInstruction/usercac:CargoLineItem/usercbc:TotalUnitQuantity,,,,,,,,
970,FALSE,HSI\10_1\930\960_1_970___lab,/HouseShippingInstruction[1]/usercac:CargoLineItem[1]/usercbc:TotalUnitQuantity[1]/@quantityUnitCode,/HouseShippingInstruction/usercac:CargoLineItem/usercbc:TotalUnitQuantity/@quantityUnitCode,,,,,,,,
980,FALSE,HSI\10_1\930\980_1___lab,/HouseShippingInstruction[1]/usercac:CargoLineItem[1]/usercbc:ShippingMark[1],/HouseShippingInstruction/usercac:CargoLineItem/usercbc:ShippingMark,,,,,,,,
990,FALSE,HSI\10_1\930\990_1___lab,/HouseShippingInstruction[1]/usercac:CargoLineItem[1]/usercbc:GrossWeightMeasure[1],/HouseShippingInstruction/usercac:CargoLineItem/usercbc:GrossWeightMeasure,,,,,,,,
1000,FALSE,HSI\10_1\930\990_1_1000___lab,/HouseShippingInstruction[1]/usercac:CargoLineItem[1]/usercbc:GrossWeightMeasure[1]/@measureUnitCode,/HouseShippingInstruction/usercac:CargoLineItem/usercbc:GrossWeightMeasure/@measureUnitCode,,,,,,,,
1030,FALSE,HSI\10_1\930\1010_1\1020_1\1030_1___lab,/HouseShippingInstruction[1]/usercac:CargoLineItem[1]/usercac:ProductItem[1]/usercac:Identification[1]/usercac:ID[1],/HouseShippingInstruction/usercac:CargoLineItem/usercac:ProductItem/usercac:Identification/usercac:ID,,,,,,,,
1050,FALSE,HSI\10_1\930\1040_1\1050_1___lab,/HouseShippingInstruction[1]/usercac:CargoLineItem[1]/usercac:TotalPackageQuantity[1]/usercbc:Quantity[1],/HouseShippingInstruction/usercac:CargoLineItem/usercac:TotalPackageQuantity/usercbc:Quantity,,,,,,,,
1060,FALSE,HSI\10_1\930\1040_1\1050_1_1060___lab,/HouseShippingInstruction[1]/usercac:CargoLineItem[1]/usercac:TotalPackageQuantity[1]/usercbc:Quantity[1]/@quantityUnitCode,/HouseShippingInstruction/usercac:CargoLineItem/usercac:TotalPackageQuantity/usercbc:Quantity/@quantityUnitCode,,,,,,,,
1080,FALSE,HSI\10_1\930\1040_1\1070_1\1080_1___lab,/HouseShippingInstruction[1]/usercac:CargoLineItem[1]/usercac:TotalPackageQuantity[1]/usercac:PackagingType[1]/usercac:Code[1],/HouseShippingInstruction/usercac:CargoLineItem/usercac:TotalPackageQuantity/usercac:PackagingType/usercac:Code,,,,,,,,
1081,FALSE,HSI\10_1\930\1040_1\1070_1\1081_1___lab,/HouseShippingInstruction[1]/usercac:CargoLineItem[1]/usercac:TotalPackageQuantity[1]/usercac:PackagingType[1]/usercbc:Description[1],/HouseShippingInstruction/usercac:CargoLineItem/usercac:TotalPackageQuantity/usercac:PackagingType/usercbc:Description,,,,,,,,
1100,FALSE,HSI\10_1\930\1090_1\1100_1___lab,/HouseShippingInstruction[1]/usercac:CargoLineItem[1]/usercac:Dimension[1]/usercbc:HeightMeasure[1],/HouseShippingInstruction/usercac:CargoLineItem/usercac:Dimension/usercbc:HeightMeasure,,,,,,,,
1110,FALSE,HSI\10_1\930\1090_1\1100_1_1110___lab,/HouseShippingInstruction[1]/usercac:CargoLineItem[1]/usercac:Dimension[1]/usercbc:HeightMeasure[1]/@measureUnitCode,/HouseShippingInstruction/usercac:CargoLineItem/usercac:Dimension/usercbc:HeightMeasure/@measureUnitCode,,,,,,,,
1120,FALSE,HSI\10_1\930\1090_1\1120_1___lab,/HouseShippingInstruction[1]/usercac:CargoLineItem[1]/usercac:Dimension[1]/usercbc:WidthMeasure[1],/HouseShippingInstruction/usercac:CargoLineItem/usercac:Dimension/usercbc:WidthMeasure,,,,,,,,
1130,FALSE,HSI\10_1\930\1090_1\1120_1_1130___lab,/HouseShippingInstruction[1]/usercac:CargoLineItem[1]/usercac:Dimension[1]/usercbc:WidthMeasure[1]/@measureUnitCode,/HouseShippingInstruction/usercac:CargoLineItem/usercac:Dimension/usercbc:WidthMeasure/@measureUnitCode,,,,,,,,
1140,FALSE,HSI\10_1\930\1090_1\1140_1___lab,/HouseShippingInstruction[1]/usercac:CargoLineItem[1]/usercac:Dimension[1]/usercbc:LengthMeasure[1],/HouseShippingInstruction/usercac:CargoLineItem/usercac:Dimension/usercbc:LengthMeasure,,,,,,,,
1150,FALSE,HSI\10_1\930\1090_1\1140_1_1150___lab,/HouseShippingInstruction[1]/usercac:CargoLineItem[1]/usercac:Dimension[1]/usercbc:LengthMeasure[1]/@measureUnitCode,/HouseShippingInstruction/usercac:CargoLineItem/usercac:Dimension/usercbc:LengthMeasure/@measureUnitCode,,,,,,,,
1160,FALSE,HSI\10_1\1160_1___lab,/HouseShippingInstruction[1]/usercac:Charge[1],/HouseShippingInstruction/usercac:Charge,,,,,,,,
1170,FALSE,HSI\10_1\1160_1\1170_1___lab,/HouseShippingInstruction[1]/usercac:Charge[1]/usercac:PaymentArrangement[1],/HouseShippingInstruction/usercac:Charge/usercac:PaymentArrangement,,,,,,,,
1180,FALSE,HSI\10_1\1160_1\1170_1\1180_1___val,/HouseShippingInstruction[1]/usercac:Charge[1]/usercac:PaymentArrangement[1]/usercac:Code[1],/HouseShippingInstruction/usercac:Charge/usercac:PaymentArrangement/usercac:Code,,,,,,,,
1190,FALSE,HSI\10_1\1160_1\1190_1___lab,/HouseShippingInstruction[1]/usercac:Charge[1]/usercac:OtherChargeLineItem[1],/HouseShippingInstruction/usercac:Charge/usercac:OtherChargeLineItem,,,,,,,,
1200,FALSE,HSI\10_1\1160_1\1190_1\1200_1___val,/HouseShippingInstruction[1]/usercac:Charge[1]/usercac:OtherChargeLineItem[1]/usercac:LineItemNumberID[1],/HouseShippingInstruction/usercac:Charge/usercac:OtherChargeLineItem/usercac:LineItemNumberID,,,,,,,,
1210,FALSE,HSI\10_1\1160_1\1190_1\1210_1___lab,/HouseShippingInstruction[1]/usercac:Charge[1]/usercac:OtherChargeLineItem[1]/usercac:ChargeType[1],/HouseShippingInstruction/usercac:Charge/usercac:OtherChargeLineItem/usercac:ChargeType,,,,,,,,
1220,FALSE,HSI\10_1\1160_1\1190_1\1210_1\1220_1___val,/HouseShippingInstruction[1]/usercac:Charge[1]/usercac:OtherChargeLineItem[1]/usercac:ChargeType[1]/usercac:Code[1],/HouseShippingInstruction/usercac:Charge/usercac:OtherChargeLineItem/usercac:ChargeType/usercac:Code,,,,,,,,
1230,FALSE,HSI\10_1\1160_1\1190_1\1230_1___lab,/HouseShippingInstruction[1]/usercac:Charge[1]/usercac:OtherChargeLineItem[1]/usercac:PaymentArrangement[1],/HouseShippingInstruction/usercac:Charge/usercac:OtherChargeLineItem/usercac:PaymentArrangement,,,,,,,,
1240,FALSE,HSI\10_1\1160_1\1190_1\1230_1\1240_1___val,/HouseShippingInstruction[1]/usercac:Charge[1]/usercac:OtherChargeLineItem[1]/usercac:PaymentArrangement[1]/usercac:Code[1],/HouseShippingInstruction/usercac:Charge/usercac:OtherChargeLineItem/usercac:PaymentArrangement/usercac:Code,,,,,,,,
1250,FALSE,HSI\10_1\1250_1___lab,/HouseShippingInstruction[1]/usercac:TotalPackageQuantity[1],/HouseShippingInstruction/usercac:TotalPackageQuantity,,,,,,,,
1260,FALSE,HSI\10_1\1250_1\1260_1___val,/HouseShippingInstruction[1]/usercac:TotalPackageQuantity[1]/usercbc:Quantity[1],/HouseShippingInstruction/usercac:TotalPackageQuantity/usercbc:Quantity,,,,,,,,
1270,FALSE,HSI\10_1\1250_1\1260_1_1270___val,/HouseShippingInstruction[1]/usercac:TotalPackageQuantity[1]/usercbc:Quantity[1]/@quantityUnitCode,/HouseShippingInstruction/usercac:TotalPackageQuantity/usercbc:Quantity/@quantityUnitCode,,,,,,,,
1280,FALSE,HSI\10_1\1280_1___lab,/HouseShippingInstruction[1]/usercac:InsuranceArrangement[1],/HouseShippingInstruction/usercac:InsuranceArrangement,,,,,,,,
1290,FALSE,HSI\10_1\1280_1\1290_1___val,/HouseShippingInstruction[1]/usercac:InsuranceArrangement[1]/usercbc:SumInsuredAmount[1],/HouseShippingInstruction/usercac:InsuranceArrangement/usercbc:SumInsuredAmount,,,,,,,,
1300,FALSE,HSI\10_1\1280_1\1290_1_1300___val,/HouseShippingInstruction[1]/usercac:InsuranceArrangement[1]/usercbc:SumInsuredAmount[1]/@amountCurrencyID,/HouseShippingInstruction/usercac:InsuranceArrangement/usercbc:SumInsuredAmount/@amountCurrencyID,,,,,,,,
1310,FALSE,HSI\10_1\1280_1\1310_1___lab,/HouseShippingInstruction[1]/usercac:InsuranceArrangement[1]/usercac:ArrangingParty[1],/HouseShippingInstruction/usercac:InsuranceArrangement/usercac:ArrangingParty,,,,,,,,
1320,FALSE,HSI\10_1\1280_1\1310_1\1320_1___lab,/HouseShippingInstruction[1]/usercac:InsuranceArrangement[1]/usercac:ArrangingParty[1]/usercac:Identification[1],/HouseShippingInstruction/usercac:InsuranceArrangement/usercac:ArrangingParty/usercac:Identification,,,,,,,,
1330,FALSE,HSI\10_1\1280_1\1310_1\1320_1\1330_1___val,/HouseShippingInstruction[1]/usercac:InsuranceArrangement[1]/usercac:ArrangingParty[1]/usercac:Identification[1]/usercbc:Name[1],/HouseShippingInstruction/usercac:InsuranceArrangement/usercac:ArrangingParty/usercac:Identification/usercbc:Name,,,,,,,,
1340,FALSE,HSI\10_1\1340_1___lab,/HouseShippingInstruction[1]/usercac:OtherReference[1],/HouseShippingInstruction/usercac:OtherReference,,,,,,,,
1350,FALSE,HSI\10_1\1340_1\1350_1___val,/HouseShippingInstruction[1]/usercac:OtherReference[1]/usercac:ID[1],/HouseShippingInstruction/usercac:OtherReference/usercac:ID,,,,,,,,
1360,FALSE,HSI\10_1\1340_1\1360_1___lab,/HouseShippingInstruction[1]/usercac:OtherReference[1]/usercac:ReferenceType[1],/HouseShippingInstruction/usercac:OtherReference/usercac:ReferenceType,,,,,,,,
1370,FALSE,HSI\10_1\1340_1\1360_1\1370_1___val,/HouseShippingInstruction[1]/usercac:OtherReference[1]/usercac:ReferenceType[1]/usercac:Code[1],/HouseShippingInstruction/usercac:OtherReference/usercac:ReferenceType/usercac:Code,,,,,,,,
1380,FALSE,HSI\10_1\1340_1\1380_1___lab,/HouseShippingInstruction[1]/usercac:OtherReference[1]/usercac:QualifiedDate[1],/HouseShippingInstruction/usercac:OtherReference/usercac:QualifiedDate,,,,,,,,
1390,FALSE,HSI\10_1\1340_1\1380_1\1390_1___val,/HouseShippingInstruction[1]/usercac:OtherReference[1]/usercac:QualifiedDate[1]/usercbc:DateTime[1],/HouseShippingInstruction/usercac:OtherReference/usercac:QualifiedDate/usercbc:DateTime,,,,,,,,
1400,FALSE,HSI\10_1\1340_1\1380_1\1400_1___lab,/HouseShippingInstruction[1]/usercac:OtherReference[1]/usercac:QualifiedDate[1]/usercac:DateType[1],/HouseShippingInstruction/usercac:OtherReference/usercac:QualifiedDate/usercac:DateType,,,,,,,,
1410,FALSE,HSI\10_1\1340_1\1380_1\1400_1\1410_1___val,/HouseShippingInstruction[1]/usercac:OtherReference[1]/usercac:QualifiedDate[1]/usercac:DateType[1]/usercac:Code[1],/HouseShippingInstruction/usercac:OtherReference/usercac:QualifiedDate/usercac:DateType/usercac:Code,,,,,,,,
1420,FALSE,HSI\10_1\1340_1\1420_1___lab,/HouseShippingInstruction[1]/usercac:OtherReference[1]/usercac:Remarks[1],/HouseShippingInstruction/usercac:OtherReference/usercac:Remarks,,,,,,,,
1430,FALSE,HSI\10_1\1340_1\1420_1\1430_1___val,/HouseShippingInstruction[1]/usercac:OtherReference[1]/usercac:Remarks[1]/usercbc:Description[1],/HouseShippingInstruction/usercac:OtherReference/usercac:Remarks/usercbc:Description,,,,,,,,
1440,FALSE,HSI\10_1\1340_1\1420_1\1440_1___lab,/HouseShippingInstruction[1]/usercac:OtherReference[1]/usercac:Remarks[1]/usercac:RemarksType[1],/HouseShippingInstruction/usercac:OtherReference/usercac:Remarks/usercac:RemarksType,,,,,,,,
1450,FALSE,HSI\10_1\1340_1\1420_1\1440_1\1450_1___val,/HouseShippingInstruction[1]/usercac:OtherReference[1]/usercac:Remarks[1]/usercac:RemarksType[1]/usercac:Code[1],/HouseShippingInstruction/usercac:OtherReference/usercac:Remarks/usercac:RemarksType/usercac:Code,,,,,,,,
1340,FALSE,HSI\10_1\1340_2___lab,/HouseShippingInstruction[1]/usercac:OtherReference[2],/HouseShippingInstruction/usercac:OtherReference,,,,,,,,
1350,FALSE,HSI\10_1\1340_2\1350_1___val,/HouseShippingInstruction[1]/usercac:OtherReference[2]/usercac:ID[1],/HouseShippingInstruction/usercac:OtherReference/usercac:ID,,,,,,,,
1360,FALSE,HSI\10_1\1340_2\1360_1___lab,/HouseShippingInstruction[1]/usercac:OtherReference[2]/usercac:ReferenceType[1],/HouseShippingInstruction/usercac:OtherReference/usercac:ReferenceType,,,,,,,,
1370,FALSE,HSI\10_1\1340_2\1360_1\1370_1___val,/HouseShippingInstruction[1]/usercac:OtherReference[2]/usercac:ReferenceType[1]/usercac:Code[1],/HouseShippingInstruction/usercac:OtherReference/usercac:ReferenceType/usercac:Code,,,,,,,,
1380,FALSE,HSI\10_1\1340_2\1380_1___lab,/HouseShippingInstruction[1]/usercac:OtherReference[2]/usercac:QualifiedDate[1],/HouseShippingInstruction/usercac:OtherReference/usercac:QualifiedDate,,,,,,,,
1390,FALSE,HSI\10_1\1340_2\1380_1\1390_1___val,/HouseShippingInstruction[1]/usercac:OtherReference[2]/usercac:QualifiedDate[1]/usercbc:DateTime[1],/HouseShippingInstruction/usercac:OtherReference/usercac:QualifiedDate/usercbc:DateTime,,,,,,,,
1400,FALSE,HSI\10_1\1340_2\1380_1\1400_1___lab,/HouseShippingInstruction[1]/usercac:OtherReference[2]/usercac:QualifiedDate[1]/usercac:DateType[1],/HouseShippingInstruction/usercac:OtherReference/usercac:QualifiedDate/usercac:DateType,,,,,,,,
1410,FALSE,HSI\10_1\1340_2\1380_1\1400_1\1410_1___val,/HouseShippingInstruction[1]/usercac:OtherReference[2]/usercac:QualifiedDate[1]/usercac:DateType[1]/usercac:Code[1],/HouseShippingInstruction/usercac:OtherReference/usercac:QualifiedDate/usercac:DateType/usercac:Code,,,,,,,,
1420,FALSE,HSI\10_1\1340_2\1420_1___lab,/HouseShippingInstruction[1]/usercac:OtherReference[2]/usercac:Remarks[1],/HouseShippingInstruction/usercac:OtherReference/usercac:Remarks,,,,,,,,
1430,FALSE,HSI\10_1\1340_2\1420_1\1430_1___val,/HouseShippingInstruction[1]/usercac:OtherReference[2]/usercac:Remarks[1]/usercbc:Description[1],/HouseShippingInstruction/usercac:OtherReference/usercac:Remarks/usercbc:Description,,,,,,,,
1440,FALSE,HSI\10_1\1340_2\1420_1\1440_1___lab,/HouseShippingInstruction[1]/usercac:OtherReference[2]/usercac:Remarks[1]/usercac:RemarksType[1],/HouseShippingInstruction/usercac:OtherReference/usercac:Remarks/usercac:RemarksType,,,,,,,,
1450,FALSE,HSI\10_1\1340_2\1420_1\1440_1\1450_1___val,/HouseShippingInstruction[1]/usercac:OtherReference[2]/usercac:Remarks[1]/usercac:RemarksType[1]/usercac:Code[1],/HouseShippingInstruction/usercac:OtherReference/usercac:Remarks/usercac:RemarksType/usercac:Code,,,,,,,,
1340,FALSE,HSI\10_1\1340_3___lab,/HouseShippingInstruction[1]/usercac:OtherReference[3],/HouseShippingInstruction/usercac:OtherReference,,,,,,,,
1350,FALSE,HSI\10_1\1340_3\1350_1___val,/HouseShippingInstruction[1]/usercac:OtherReference[3]/usercac:ID[1],/HouseShippingInstruction/usercac:OtherReference/usercac:ID,,,,,,,,
1360,FALSE,HSI\10_1\1340_3\1360_1___lab,/HouseShippingInstruction[1]/usercac:OtherReference[3]/usercac:ReferenceType[1],/HouseShippingInstruction/usercac:OtherReference/usercac:ReferenceType,,,,,,,,
1370,FALSE,HSI\10_1\1340_3\1360_1\1370_1___val,/HouseShippingInstruction[1]/usercac:OtherReference[3]/usercac:ReferenceType[1]/usercac:Code[1],/HouseShippingInstruction/usercac:OtherReference/usercac:ReferenceType/usercac:Code,,,,,,,,
1380,FALSE,HSI\10_1\1340_3\1380_1___lab,/HouseShippingInstruction[1]/usercac:OtherReference[3]/usercac:QualifiedDate[1],/HouseShippingInstruction/usercac:OtherReference/usercac:QualifiedDate,,,,,,,,
1390,FALSE,HSI\10_1\1340_3\1380_1\1390_1___val,/HouseShippingInstruction[1]/usercac:OtherReference[3]/usercac:QualifiedDate[1]/usercbc:DateTime[1],/HouseShippingInstruction/usercac:OtherReference/usercac:QualifiedDate/usercbc:DateTime,,,,,,,,
1400,FALSE,HSI\10_1\1340_3\1380_1\1400_1___lab,/HouseShippingInstruction[1]/usercac:OtherReference[3]/usercac:QualifiedDate[1]/usercac:DateType[1],/HouseShippingInstruction/usercac:OtherReference/usercac:QualifiedDate/usercac:DateType,,,,,,,,
1410,FALSE,HSI\10_1\1340_3\1380_1\1400_1\1410_1___val,/HouseShippingInstruction[1]/usercac:OtherReference[3]/usercac:QualifiedDate[1]/usercac:DateType[1]/usercac:Code[1],/HouseShippingInstruction/usercac:OtherReference/usercac:QualifiedDate/usercac:DateType/usercac:Code,,,,,,,,
1420,FALSE,HSI\10_1\1340_3\1420_1___lab,/HouseShippingInstruction[1]/usercac:OtherReference[3]/usercac:Remarks[1],/HouseShippingInstruction/usercac:OtherReference/usercac:Remarks,,,,,,,,
1430,FALSE,HSI\10_1\1340_3\1420_1\1430_1___val,/HouseShippingInstruction[1]/usercac:OtherReference[3]/usercac:Remarks[1]/usercbc:Description[1],/HouseShippingInstruction/usercac:OtherReference/usercac:Remarks/usercbc:Description,,,,,,,,
1440,FALSE,HSI\10_1\1340_3\1420_1\1440_1___lab,/HouseShippingInstruction[1]/usercac:OtherReference[3]/usercac:Remarks[1]/usercac:RemarksType[1],/HouseShippingInstruction/usercac:OtherReference/usercac:Remarks/usercac:RemarksType,,,,,,,,
1450,FALSE,HSI\10_1\1340_3\1420_1\1440_1\1450_1___val,/HouseShippingInstruction[1]/usercac:OtherReference[3]/usercac:Remarks[1]/usercac:RemarksType[1]/usercac:Code[1],/HouseShippingInstruction/usercac:OtherReference/usercac:Remarks/usercac:RemarksType/usercac:Code,,,,,,,,
1340,FALSE,HSI\10_1\1340_4___lab,/HouseShippingInstruction[1]/usercac:OtherReference[4],/HouseShippingInstruction/usercac:OtherReference,,,,,,,,
1350,FALSE,HSI\10_1\1340_4\1350_1___val,/HouseShippingInstruction[1]/usercac:OtherReference[4]/usercac:ID[1],/HouseShippingInstruction/usercac:OtherReference/usercac:ID,,,,,,,,
