0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
282,,MODEL,,,,R,L,F/R,F/L,R/R,R/L,R,L,F,  R ,MASK,R/GATE,HEAD,HEAD, TAIL,, TAIL,CLEAR,AUTO,MAUAUL,CONDENSOR,FAN,FAN,PANEL,PANEL
283,MAGNA  TM,E13A,0,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
284,GALANT  HG,E35A,0,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
285,GALANT  HH,E35A,1,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
286,GALANT H/B ,E39A*,0,5D,,,,,,,,,,,,,,,,,,,,,,,,,,
287,GALANT HJ ,E54A,0,5D,,,,,,,,,,,,,,,,,,,,,,,,,,
288,MAGNA     TR,F15A*,0,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
289,MAGNA TS ,F15A*,1,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
290,VERADA     KS,F15A,0,4H,,,,,,,,,,,,,,,,,,,,,,,,,,
291,MAGNA      TE,F25A*,0,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
292,PAJERO     NC,L041G/46G,0,2V/4V,,,,,,,,,,,,,,,,,,,,,,,,,,
293,PAJERO     NF,L041G/46G,1,2V/4V,,,,,,,,,,,,,,,,,,,,,,,,,,
294,PAJERO     NH, V23#,0,2V,,,,,,,,,,,,,,,,,,,,,,,,,,
295,PAJERO,V43#,0,4V,,,,,,,,,,,,,,,,,,,,,,,,,,
296,PAJERO NM ,,,4V,,,,,,,,,,,,,,,,,,,,,,,,,,
297,PAJERO,V26W,0,2V,,,,,,,,,,,,,,,,,,,,,,,,,,
298,PAJERO,V45W,0,4V,,,,,,,,,,,,,,,,,,,,,,,,,,
299,PAJERO,V45W,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,PAJERO,V75W,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,PAJERO,V73W,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,PAJERO IO,H76W,,4V,,,,,,,,,,,,,,,,,,,,,,,,,,
303,PAJERO IO,H67W,,2V,,,,,,,,,,,,,,,,,,,,,,,,,,
304,FTO,DE3A,,2DR,,,,,,,,,,,,,,,,,,,,,,,,,,
305,CHALLENGER,K99W,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,OUTLANDER,CU5W,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,,JAPAN,M,SHAPE,BONNET,FENDER,,DOOR,,,,SLIDE DOOR,,BUMPER,,GRILL/,TRUNK/,LAMP,LAMP,,,,,      RADIATOR,,A/C,RADIATOR,A/C,UPPER,LOWER
310,,MODEL,,,,R,L,F/R,F/L,R/R,R/L,R,L,F,  R ,MASK,R/GATE,HEAD,HEAD, TAIL,, TAIL,CLEAR,AUTO,MAUAUL,CONDENSOR,FAN,FAN,PANEL,PANEL
311,    LEONE  WAGON,AM1,0,4V,,,,,,,,,,,,,,,,,,,,,,,,,,
312,   LEONEL  SERIES,AA2,0,4H,,,,,,,,,,,,,,,,,,,,,,,,,,
313,    LEONE  WAGON,AP2,0,4V,,,,,,,,,,,,,,,,,,,,,,,,,,
314,VORTEX,AX4,0,2H,,,,,,,,,,,,,,,,,,,,,,,,,,
315,SVX,CXD,0,2H,,,,,,,,,,,,,,,,,,,,,,,,,,
316,LIBERTY,BC2,0,4H,,,,,,,,,,,,,,,,,,,,,,,,,,
317,LIBERTY,BC2,1,4H,,,,,,,,,,,,,,,,,,,,,,,,,,
318,LIBERTY,BF3,0,4V,,,,,,,,,,,,,,,,,,,,,,,,,,
319,"    ""    SECOND",BD4,0,4H,,,,,,,,,,,,,,,,,,,,,,,,,,
320,"    ""    WAGON",BG4,0,4V,,,,,,,,,,,,,,,,,,,,,,,,,,
321,IMPREZA,GC1,0,4H,,,,,,,,,,,,,,,,,,,,,,,,,,
322,IMPREZA,GF3,0,5D,,,,,,,,,,,,,,,,,,,,,,,,,,
323,IMPREZA,GC/GF WRX,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,IMPREZA,96-00,1,4H,,,,,,,,,,,,,,,,,,,,,,,,,,
325,IMPREZA,96-00,1,5D,,,,,,,,,,,,,,,,,,,,,,,,,,
326,IMPREZA,96-00 WRX,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,IMPREZA,00-,,4H,,,,,,,,,,,,,,,,,,,,,,,,,,
328,IMPREZA,00-,,5D,,,,,,,,,,,,,,,,,,,,,,,,,,
329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,MIRA,L200S,0,2V,,,,,,,,,,,,,,,,,,,,,,,,,,
333,MIRA,L200S,1,4V,,,,,,,,,,,,,,,,,,,,,,,,,,
334,MOVE,L600S,0,4V,,,,,,,,,,,,,,,,,,,,,,,,,,
335,HI-JET,S80V,0,HV,,,,,,,,,,,,,,,,,,,,,,,,,,
336,CHARADE      G100,G100S,0,5D,,,,,,,,,,,,,,,,,,,,,,,,,,
337,"    """,G102S,1,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
338,"    ""        G200",G200S,0,3D/5D,,,,,,,,,,,,,,,,,,,,,,,,,,
339,"    """,G203S,0,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
340,G200 ,96-00,1,3D/5D,,,,,,,,,,,,,,,,,,,,,,,,,,
341,G200,96-00,1,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
342,APPLAUSE,A101S,0,5D,,,,,,,,,,,,,,,,,,,,,,,,,,
343,"    """,A101S,1,5D,,,,,,,,,,,,,,,,,,,,,,,,,,
344,FEROZA,F75,0,2V,,,,,,,,,,,,,,,,,,,,,,,,,,
345,TERIOS,J100S,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,,JAPAN,M,SHAPE,BONNET,FENDER,,DOOR,,,,SLIDE DOOR,,BUMPER,,GRILL/,TRUNK/,LAMP,LAMP,,,,,      RADIATOR,,A/C,RADIATOR,A/C,UPPER,LOWER
348,,MODEL,,,,R,L,F/R,F/L,R/R,R/L,R,L,F,  R ,MASK,R/GATE,HEAD,HEAD, TAIL,, TAIL,CLEAR,AUTO,MAUAUL,CONDENSOR,FAN,FAN,PANEL,PANEL
349,CIVIC,AH,0,3D,,,,,,,,,,,,,,,,,,,,,,,,,,
350,"   """,AK,0,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
351,"   ""      WAGON",AK,0,4V,,,,,,,,,,,,,,,,,,,,,,,,,,
352,CIVIC,EF3,0,3D,,,,,,,,,,,,,,,,,,,,,,,,,,
353,CIVIC,EF3,0,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
354,CIVIC,EF3,1,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
355,CIVIC,EF3,0,4V,,,,,,,,,,,,,,,,,,,,,,,,,,
356,CIVIC,EG3,0,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
357,CIVIC,EG3,0,3D,,,,,,,,,,,,,,,,,,,,,,,,,,
358,CIVIC,EG7,0,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
359,"   ""       COUPE",EJ1,0,2C,,,,,,,,,,,,,,,,,,,,,,,,,,
360,"   """,EK3,0,3D,,,,,,,,,,,,,,,,,,,,,,,,,,
361,"   """,EK3,0,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
362,"   """,EK3,1,3D,,,,,,,,,,,,,,,,,,,,,,,,,,
363,"   """,EK3,1,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
364,CIVIC,ES1,,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
365,CIVIC,EU3,,5D,,,,,,,,,,,,,,,,,,,,,,,,,,
366,CRX,EF7,0,3D,,,,,,,,,,,,,,,,,,,,,,,,,,
367,"   """,EG1,0,2D,,,,,,,,,,,,,,,,,,,,,,,,,,
368,CONCERTO,MA2,1,5D,,,,,,,,,,,,,,,,,,,,,,,,,,
369,"   """,MA2,2,5D,,,,,,,,,,,,,,,,,,,,,,,,,,
370,,JAPAN,M,SHAPE,BONNET,FENDER,,DOOR,,,,SLIDE DOOR,,BUMPER,,GRILL/,TRUNK/,LAMP,LAMP,,,,,      RADIATOR,,A/C,RADIATOR,A/C,UPPER,LOWER
371,,MODEL,,,,R,L,F/R,F/L,R/R,R/L,R,L,F,  R ,MASK,R/GATE,HEAD,HEAD, TAIL,, TAIL,CLEAR,AUTO,MAUAUL,CONDENSOR,FAN,FAN,PANEL,PANEL
372,ACCORD,CA1,0,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
373,"   """,CA1,0,3D,,,,,,,,,,,,,,,,,,,,,,,,,,
374,"   """,CB1,0,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
375,"   """,CB1,1,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
376,"   """,CD3,0,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
377,,CD3,1,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
378,ACCORD,CD,,4V,,,,,,,,,,,,,,,,,,,,,,,,,,
379,"""",CG ,,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
380,ACCORD,CF3,,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
381,ACTY VAN,VD,0,HV,,,,,,,,,,,,,,,,,,,,,,,,,,
382,CITY VAN,AA,0,3D,,,,,,,,,,,,,,,,,,,,,,,,,,
383,INTEGRA,AV,0,3D,,,,,,,,,,,,,,,,,,,,,,,,,,
384,ROVER 416i,DA1,0,5D,,,,,,,,,,,,,,,,,,,,,,,,,,
385,INTEGRA,DA5,0,3D,,,,,,,,,,,,,,,,,,,,,,,,,,
386,"   """,DC1,0,3D,,,,,,,,,,,,,,,,,,,,,,,,,,
387,INTEGRA,DC5,,3D,,,,,,,,,,,,,,,,,,,,,,,,,,
388,PRELUDE,AB,0,2C,,,,,,,,,,,,,,,,,,,,,,,,,,
389,"   ""         4WS",BA4,0,2C,,,,,,,,,,,,,,,,,,,,,,,,,,
390,PRELUDE ,BA4,2,2C,,,,,,,,,,,,,,,,,,,,,,,,,,
391,PRELUDE ,BA8 / BB1,0,2C,,,,,,,,,,,,,,,,,,,,,,,,,,
392,PRELUDE,BB5,0,2C,,,,,,,,,,,,,,,,,,,,,,,,,,
393,PRELUDE,BB5,,2C,,,,,,,,,,,,,,,,,,,,,,,,,,
394,LEGEND,KA1,0,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
395,"   """,KA3,1,2H,,,,,,,,,,,,,,,,,,,,,,,,,,
396,"   """,KA7#,0,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
397, ,KA8#,0,2C,,,,,,,,,,,,,,,,,,,,,,,,,,
398,ODYSSEY,RA1,0,5D,,,,,,,,,,,,,,,,,,,,,,,,,,
399,ODYSSEY,RA6,,5D,,,,,,,,,,,,,,,,,,,,,,,,,,
400,CRV,RD2,,4V,,,,,,,,,,,,,,,,,,,,,,,,,,
401,CRV,RD5,,4V,,,,,,,,,,,,,,,,,,,,,,,,,,
402,HRV,GH2,,3D,,,,,,,,,,,,,,,,,,,,,,,,,,
403,INSIGHT,ZE1,,3D,,,,,,,,,,,,,,,,,,,,,,,,,,
404,JAZZ,GD1,,4V,,,,,,,,,,,,,,,,,,,,,,,,,,
405,MDX,YD1,,4V,,,,,,,,,,,,,,,,,,,,,,,,,,
406,NSX,NA2,1,2D,,,,,,,,,,,,,,,,,,,,,,,,,,
407,S2000,AP1,,2D,,,,,,,,,,,,,,,,,,,,,,,,,,
408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,,JAPAN,M,SHAPE,BONNET,FENDER,,DOOR,,,,SLIDE DOOR,,BUMPER,,GRILL/,TRUNK/,LAMP,LAMP,,,,,      RADIATOR,,A/C,RADIATOR,A/C,UPPER,LOWER
412,,MODEL,,,,R,L,F/R,F/L,R/R,R/L,R,L,F,  R ,MASK,R/GATE,HEAD,HEAD, TAIL,, TAIL,CLEAR,AUTO,MAUAUL,CONDENSOR,FAN,FAN,PANEL,PANEL
413,BALENO,GC21S,0,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
414,"   ""      HATCH",GA11S,0,3D,,,,,,,,,,,,,,,,,,,,,,,,,,
415,"   ""      WAGON",GC21W,0,4V,,,,,,,,,,,,,,,,,,,,,,,,,,
416,BALENO,GC21S,,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
417,BALENO,GA11S,,3D,,,,,,,,,,,,,,,,,,,,,,,,,,
418,BALENO,GC41W,,4V,,,,,,,,,,,,,,,,,,,,,,,,,,
419,BARINA ML,AB43S,0,5D,,,,,,,,,,,,,,,,,,,,,,,,,,
420,SWIFT,AA34S,0,3D,,,,,,,,,,,,,,,,,,,,,,,,,,
421,"    """,AB34S,0,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
422,BARINA MF-H,AB34S,0,5D,,,,,,,,,,,,,,,,,,,,,,,,,,
423,SWIFT,AA34S,1,3D,,,,,,,,,,,,,,,,,,,,,,,,,,
424,"    """,AB34S,1,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
425,"    """,AB34S,1,5D,,,,,,,,,,,,,,,,,,,,,,,,,,
426,ESCUDO,TA01W,0,2V,,,,,,,,,,,,,,,,,,,,,,,,,,
427,"    """,TD01W,1,4V,,,,,,,,,,,,,,,,,,,,,,,,,,
428,ESCUDO,98-,,4V,,,,,,,,,,,,,,,,,,,,,,,,,,
429,WAGON R+,MA61S,0,HL,,,,,,,,,,,,,,,,,,,,,,,,,,
430,GRAND VITARA,TD62W,,4V,,,,,,,,,,,,,,,,,,,,,,,,,,
431,JIMNY,JB23W,,2D,,,,,,,,,,,,,,,,,,,,,,,,,,
432,LIANA,RB21S,,3D,,,,,,,,,,,,,,,,,,,,,,,,,,
433,LIANA,RB21S,,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
434,XL-7,TX92W,,4V,,,,,,,,,,,,,,,,,,,,,,,,,,
435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,,JAPAN,M,SHAPE,BONNET,FENDER,,DOOR,,,,SLIDE DOOR,,BUMPER,,GRILL/,TRUNK/,LAMP,LAMP,,,,,      RADIATOR,,A/C,RADIATOR,A/C,UPPER,LOWER
438,,MODEL,,,,R,L,F/R,F/L,R/R,R/L,R,L,F,  R ,MASK,R/GATE,HEAD,HEAD, TAIL,, TAIL,CLEAR,AUTO,MAUAUL,CONDENSOR,FAN,FAN,PANEL,PANEL
439,PIAZZA,JR130,0,3D,,,,,,,,,,,,,,,,,,,,,,,,,,
440,BIGHORN,UBS52FK,0,2V,,,,,,,,,,,,,,,,,,,,,,,,,,
441,BIGHORN,UBS52FK,1,4V,,,,,,,,,,,,,,,,,,,,,,,,,,
442,BIGHORN,UBS25GW,,4V,,,,,,,,,,,,,,,,,,,,,,,,,,
443,WIZARD,EUER ,,4V ,,,,,,,,,,,,,,,,,,,,,,,,,,
444,OPEL VITA,,,3D,,,,,,,,,,,,,,,,,,,,,,,,,,
445,OPEL VITA,,,5D,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
