,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Share Price,Market Value,LARGE POSITIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-650528.2111,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,US Publics ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,059,592 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.46 ,0 ,Hanover Compressor Common,0 ,0 ,0 ,"1,035,731 ","1,035,731 ",,,,,,,,,,,,,,,,,,,,,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"22,786,088 ","(621,439)","1,242,878 ","207,146 ","(6,628,680)","(6,628,680)","(9,321,581)","(1,035,731)",,,,,,"(2,278,609)","6,628,680 ","10,978,751 ","(2,071,463)","(3,935,779)","414,293 ","(2,485,755)","3,728,633 ","5,178,656 ","621,439 ","(828,585)","1,864,316 ","1,450,024 ","4,557,218 ","(4,142,925)","(828,585)","(4,142,925)","2,485,755 ","2,692,901 ","(3,521,486)","1,864,316 ","207,146 ","828,585 ","207,146 ","1,242,878 ","2,485,755 ","(5,385,803)","(621,439)","(414,293)",0 ,"(207,146)","(2,071,463)","(414,293)","(1,242,878)","4,557,218 ","828,585 ","414,293 ","4,142,925 ","(828,585)","(6,007,241)","(621,439)","(414,293)","2,900,048 ","207,146 ","(207,146)","1,242,878 ","(1,242,878)","828,585 ","828,585 ","10,150,166 ","(3,521,486)","(2,071,463)","(2,071,463)","(1,242,878)","(2,900,048)","(207,146)","(1,242,878)","6,835,826 ","3,935,779 ","3,935,779 ","(2,900,048)","(2,071,463)",0 ,"(1,242,878)","(2,485,755)","1,450,024 ","(4,557,218)","(2,278,609)","2,692,901 ","(3,314,340)","(2,071,463)","7,042,973 ","(5,800,095)","(4,350,071)","7,042,973 ","(1,035,731)","3,107,194 ","2,278,609 ","(1,450,024)","828,585 ","1,864,316 ","207,146 ","(1,242,878)","4,142,925 ","828,585 ","5,178,656 ","(6,007,241)","4,350,071 ","(1,864,316)","(4,971,510)","1,864,316 ","(2,071,463)","(18,643,163)","621,439 ","8,285,850 ","(1,657,170)","(621,439)","207,146 ","(1,035,731)","1,035,731 ","(2,692,901)","(207,146)","2,692,901 ","1,035,731 ","(2,692,901)","(6,628,680)","(4,557,218)","828,585 ","(4,142,925)","(4,350,071)","3,314,340 ","(621,439)","2,278,609 ","2,071,463 ","3,314,340 ","3,935,779 ","2,071,463 ","(414,293)","(5,592,949)","(2,485,755)","7,871,558 ","2,071,463 ","(1,657,170)","(1,035,731)","9,321,581 ","621,439 ","(1,657,170)","1,035,731 ","(2,900,048)","(2,485,755)","3,107,194 ","6,214,388 ","3,417,913 ","2,900,048 ","725,012 ","725,012 ","3,003,621 ","(621,439)","1,346,451 ","725,012 ","(7,560,838)","3,521,486 ","517,866 ","517,866 ","(3,210,767)","(1,864,316)","(1,864,316)","(2,175,036)","(828,585)"," (1,967,889.38)"," (1,657,170.00)"," (1,035,731.25)"," 3,417,913.13 "," (621,438.75)"," 2,692,901.25 "," 3,521,486.25 "," (103,573.13)"," (1,864,316.25)"," 3,417,913.13 "," 621,438.75 "," (828,585.00)"," (414,292.50)"," 1,967,889.38 ", -   ," 932,158.13 "," 1,864,316.25 "," 3,521,486.25 "," 1,760,743.13 "," 3,832,205.63 "," 2,692,901.25 "," 5,075,083.13 "," (8,285,850.00)"," (1,864,316.25)"," 1,035,731.25 "," 5,385,802.50 "," (828,585.00)"," (5,282,229.38)"," 1,035,731.25 "," 1,760,743.13 "," (2,796,474.38)"," (4,246,498.13)"," (3,314,340.00)",,,,,,,,,,,
56.31 ,"4,521,331 ",Fuelcell Energy,"(255,924)","(750,210)","(1,219,404)","(983,553)","(983,553)",,,,,,,,,,,,,,,,,,,,,,"(506,831)","(235,852)","20,073 ","228,325 ","(27,600)","(60,218)","(381,378)","140,508 ","140,508 ","60,218 ","371,341 ","(260,943)","(306,106)","(175,634)","(426,541)","376,359 ","301,088 ","(35,127)","672,429 ","(281,015)","627,266 ","416,504 ","109,144 ","237,106 ","(792,864)","(321,160)","(155,562)","(461,668)","(747,701)","451,631 ","557,012 ","95,344 ","163,089 ","(112,908)","296,069 ","(332,451)","(23,836)","311,124 ","(180,653)","(471,704)","100,363 ","(476,722)","436,577 ","(301,088)","210,761 ","572,066 ","(30,109)","500,558 ","(13,800)","351,269 ","(356,287)","(270,979)","446,613 ","(160,580)","326,178 ","(190,689)","(486,758)","(326,178)","(10,036)","275,997 ","(456,649)","(451,631)","50,181 ","(361,305)","(220,798)","(80,290)","662,393 ","(30,109)","(356,287)","346,251 ","120,435 ","406,468 ","230,834 ","(697,519)","(144,271)","(166,853)","(682,465)","(180,653)","(341,233)","(125,453)","642,320 ","637,302 ","(481,740)","(80,290)","(165,598)","(306,106)","(627,266)","(23,836)","460,413 ","(943,408)","543,212 ","2,726,658 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.69 ,"246,457 ",Inland Common,0 ,"(27,384)","9,128 ","109,537 ","109,537 ",,,,,,,,,,,,,,,,,,,,,,0 ,"(27,384)",0 ,0 ,0 ,"36,512 ",0 ,"18,256 ",0 ,"(18,256)",0 ,0 ,0 ,0 ,"18,256 ",0 ,0 ,"36,512 ","31,948 ",0 ,0 ,0 ,0 ,"13,692 ",0 ,0 ,0 ,0 ,"(9,128)",0 ,"(9,128)","(18,256)","(9,128)","(18,256)",0 ,"(54,768)",0 ,"(18,256)","18,256 ","73,024 ",0 ,0 ,0 ,0 ,"(91,280)","91,280 ","(109,537)","18,256 ","18,256 ",0 ,"(36,512)","18,256 ","18,256 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"(36,512)",0 ,0 ,0 ,0 ,"73,024 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"(73,024)","(123,229)",0 ,0 ,"(95,844)",0 ,0 ,"18,256 ",0 ,"(73,024)",0 ,"(91,280)",0 ,"(36,512)","36,512 ",0 ,"(73,024)","73,024 ",0 ,0 ,0 ,0 ,"(73,024)",0 ,0 ,0 ,0 ,0 ,"36,512 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"(146,049)",0 ,0 ,"146,049 ",0 ,0 ,0 ,0 ,0 ,"(109,537)","109,537 ",0 ,0 ,0 ,"(146,049)",0 ,0 ,0 ,0 ,0 ,"36,512 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"36,512 ",0 ,0 ,"(200,817)",0 ,0 ,0 ,0 ,"164,305 ",0 ,"(219,073)",0 ,0 ,0 ,"292,098 ",0 ,0 ,"36,512 ","109,537 ",0 ,0 ,0 ,,"(73,024)",0 ,"73,024 ",0 ,"(109,537)","146,049 ",0 ,0 ,0 ,0 ,0 , -   , -   ," (73,024.38)", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 127,792.66 ", -   , -   ," 18,256.09 ", -   , -   , -   , -   ," (146,048.75)", -   , -   , -   , -   ," (438,146.25)"," 711,987.66 ",,,,,,,,,,,
,"$4,767,788 ",US Publics Total,"($255,924)","($777,594)","($1,210,276)","$161,715 ","$161,715 ",,,,,,,,,,,,,,,,,,,,,,"($506,831)","($263,236)","$20,073 ","$228,325 ","($27,600)","($23,705)","($381,378)","$158,764 ","$140,508 ","$41,961 ","$371,341 ","($260,943)","($306,106)","($175,634)","($408,285)","$376,359 ","$301,088 ","$1,385 ","$704,377 ","($281,015)","$627,266 ","$23,202,592 ","($512,295)","$1,493,676 ","($585,718)","($6,949,840)","($6,784,242)","($9,783,249)","($1,715,895)","($376,954)","$12,148,074 ","$5,877,183 ","$5,539,764 ","$1,111,714 ","($1,982,539)","$6,241,461 ","$10,954,915 ","($1,778,595)","($3,876,185)","($185,975)","($2,503,342)","$3,111,084 ","$5,657,827 ","$316,789 ","($445,004)","$2,439,207 ","$1,430,964 ","$4,863,675 ","($4,052,831)","($610,979)","($4,739,984)","$2,451,938 ","$3,447,662 ","($4,036,392)","$2,110,132 ","$239,615 ","$323,441 ","$96,583 ","$978,059 ","$2,755,524 ","($5,960,641)","($1,080,892)","($730,246)","$8,827 ","($1,148,646)","($2,121,114)","$482,076 ","($1,273,503)","$4,624,111 ","$402,456 ","$505,316 ","$4,565,418 ","($1,181,454)","($6,119,606)","($317,142)","($524,677)","$2,237,183 ","($314,069)","$14,057 ","$991,687 ","($504,525)","$1,797,404 ","$18,238 ","$9,794,388 ","($3,614,938)","($2,377,568)","($2,809,965)","($1,290,777)","($2,376,400)","($1,195,560)","($1,135,351)","$9,698,857 ","$3,914,566 ","$3,918,572 ","($2,881,590)","($2,237,866)",$798 ,"($1,155,094)","($2,692,916)","$1,336,731 ","($4,580,252)","($2,380,211)","$2,763,413 ","($3,688,822)","($1,721,884)","$7,893,794 ","($5,684,810)","($12,699,870)","$7,035,974 ","($1,077,720)","$3,070,487 ","$2,395,380 ","($1,442,726)","$817,783 ","$2,421,428 ","$207,146 ","($1,207,152)","$4,627,190 ","$828,585 ","$5,178,656 ","($6,067,367)","$4,350,071 ","($1,864,316)","($4,971,510)","$1,700,090 ","($3,502,912)","($18,958,758)","$937,231 ","$70,574,348 ","($1,421,431)","($1,023,035)","$691,411 ","($6,380,943)","$154,160 ","($1,661,701)","($1,050,808)","$2,605,785 ","$337,905 ","($4,842,204)","($8,115,390)","($5,196,551)","($314,488)","($5,225,721)","($3,351,301)","$3,199,344 ","($397,334)","$1,952,130 ","$2,165,361 ","$1,198,640 ","$4,346,609 ","$2,624,169 ","($17,964,124)","($7,020,484)","($3,335,135)","$8,451,295 ","$3,408,482 ","($459,456)","($1,090,473)","$10,334,813 ","$2,211,740 ","($2,790,834)","($27,739)","($3,671,063)","($1,717,014)","$2,689,088 ","$4,102,867 ","$1,627,047 ","$1,771,451 ","($161,954)","$5,990,886 ","$2,708,719 ","($1,589,665)","($538,119)","$2,894,210 ","($6,029,506)","$3,733,292 ","$851,600 ","($1,548,706)","($2,862,437)","($3,671,516)","($5,114,742)","($3,957,830)","($1,544,975)"," $1,610,260.42 "," $459,979.78 "," $(112,317.00)"," $2,929,519.65 "," $(4,736,235.29)"," $3,985,692.44 "," $(886,457.19)"," $(1,918,009.90)"," $427,257.73 "," $5,595,073.81 "," $(414,142.42)"," $(7,157,350.31)"," $(2,650,447.08)"," $8,720,585.45 "," $3,058,432.85 "," $4,042,306.61 "," $(2,210,954.66)"," $462,812.95 "," $(634,973.84)"," $7,914,640.03 "," $7,110,667.59 "," $7,775,596.48 "," $(10,123,246.10)"," $(16,038,020.61)"," $(3,292,505.96)"," $450,371.35 "," $(4,744,185.62)"," $(6,886,432.90)"," $4,699,052.44 "," $2,707,116.47 "," $(3,101,402.06)"," $(11,968,940.62)"," $(10,589,219.03)",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, Canadian Publics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.66 ,0 ,ARC Energy Trust Unit Common,0 ,"(82,839)","(337,044)","(13,681)","(13,681)",,,,,,,,,,,,,,,,,,,,,,0 ,"(258,967)","155,986 ","20,142 ","(147,752)","(4,248,869)","4,142,415 ","(39,434)","60,584 ","52,427 ","46,432 ","90,094 ","51,959 ","1,232 ","8,120 ","(1,556)","(3,115)","(18,236)","(21,691)","(15,267)","51,118 ","19,509 ","(23,945)","17,303 ","60,359 ",0 ,"28,910 ","(41,438)","(21,489)","12,515 ","18,424 ",0 ,"47,346 ","(54,963)","42,679 ","(69,996)","15,067 ","38,223 ","77,738 ","37,653 ","80,756 ","(19,828)","50,351 ","(68,726)","44,884 ","21,063 ","217,409 ","644,333 ","(22,691)","(33,917)","(77,524)","78,880 ","126,862 ","(32,742)","216,841 ","(42,180)","34,269 ","(91,449)","204,305 ","41,567 ","(48,864)","59,736 ","(17,854)","(14,958)","15,546 ","27,003 ","(92,649)","(62,818)","66,091 ","(5,520)","65,687 ","(34,908)","(102,434)","(12,765)","(102,326)","(14,024)","66,328 ","(34,362)","31,099 ","(68,361)","(28,291)","(110,051)","103,704 ","(13,006)","93,780 ",0 ,"82,927 ","(142,981)","207,711 ","13,030 ","12,533 ","125,163 ","(103,796)","(89,679)","(24,001)","(87,553)","(97,525)","130,273 ","(49,638)","(78,381)","(12,553)","56,124 ","36,039 ","(97,208)","93,320 ","(9,240)","50,363 ","103,832 ","198,278 ","17,488 ","68,642 ","(15,152)","66,046 ","17,318 ","125,024 ","(135,665)","(8,466)","(43,071)","28,892 ","(60,454)","(21,290)","26,595 ","(1,248)","44,267 ","(126,043)","(4,366)","(105,367)","(93,693)","(57,982)","4,069 ","(86,771)","(58,015)","3,046 ","11,707 ","(41,882)","17,929 ","(73,987)","56,263 ","(3,646)","(10,113)","(113,551)","255,375 ","(153,283)","209,200 ","(283,544)","(76,968)","(34,473)","(45,905)","40,240 ","26,258 ","(13,662)","(72,554)","(32,007)","(6,654)","(150,377)","(145,296)","188,562 ","(154,543)","89,985 ","(42,877)","79,863 ","(27,260)","(9,969)","30,336 ","88,315 ","(63,699)","18,064 ","39,845 ","(60,812)","233,093 ","24,602 ","(23,202)","(17,846)","53,196 ","(185,388)","174,798 ","(36,053)","(42,286)","56,129 ","(141,230)","(119,736)","(3,643)","(2,430)"," 109,184.28 ", 833.17 ," (35,330.37)"," 43,267.93 "," (62,201.97)"," 237,847.52 "," (24,240.95)"," 85,951.65 "," 207,589.16 "," 126,530.44 "," (52,460.33)"," 125,200.69 "," (42,281.44)"," (36,611.05)"," 59,553.19 "," (4,841.51)"," (35,811.46)"," 5,861.84 "," (63,253.37)"," 39,653.54 "," 8,669.25 "," (210,339.55)"," (13,888.49)"," 188,670.35 "," (26,292.34)"," (75,219.57)"," (31,527.73)"," (23,636.52)"," 304,568.68 "," (46,681.01)"," (244,905.27)"," (190,110.21)"," 335,601.11 ",,,,,,,,,,,
0.45 ,"558,843 ",Impact Energy Common,"28,761 ","(22,166)","165,814 ","409,302 ","409,302 ",,,,,,,,,,,,,,,,,,,,,,"16,837 ","(8,797)","(23,593)","(35,374)","187,954 ","4,201,335 ","(4,201,309)","(91,402)","55,923 ","48,394 ","42,860 ","83,164 ","47,962 ","1,137 ","7,496 ","(1,436)","(2,876)","(16,833)","(20,023)","(14,093)","47,186 ","18,008 ","(22,104)","15,972 ","55,716 ",0 ,"26,686 ","(38,251)","(19,836)","11,552 ","17,007 ",0 ,"43,704 ","(42,346)","39,396 ","(64,611)","13,908 ","35,283 ","43,074 ","34,757 ","74,544 ","(18,303)","46,478 ","(94,857)","41,431 ","19,443 ","200,685 ","594,769 ","(39,750)","(31,308)","(60,795)","68,344 ","109,917 ","(28,369)","187,877 ","(36,546)","29,691 ","(79,234)","177,015 ","36,015 ","(42,337)","51,757 ","112,948 ","(12,960)","13,469 ","23,396 ","(80,273)","(54,427)","57,263 ","(4,783)","56,913 ","(30,246)","(88,751)","(11,060)","(88,658)","(12,150)","57,468 ","(29,772)","26,945 ","(59,230)","(24,512)","(95,351)","89,852 ","(11,268)","81,253 ",0 ,"71,850 ","(123,883)","179,966 ","11,289 ","(7,747)","108,445 ","(89,866)","(77,700)","(20,795)","(75,858)","(84,499)","122,900 ","(43,008)","(67,912)","(10,876)","48,628 ","31,225 ","(84,224)","79,959 ","(7,920)","43,168 ","81,089 ","169,953 ","14,990 ","58,836 ","(39,182)","56,614 ","13,572 ","106,531 ","(97,342)","50,482 ","(35,100)","17,529 ","(59,115)","(23,199)","26,805 ","10,574 ","43,963 ","(85,362)","19,281 ","(151,300)","(71,467)","(21,179)","5,045 ","(70,527)","(93,549)","15,092 ","18,868 ","(43,468)","(9,566)","(55,952)","45,255 ","(5,376)","(5,380)","(98,173)","227,705 ","(139,150)","172,088 ","(236,932)","(65,316)","(22,262)","(23,645)","59,276 ","5,104 ","7,515 ","(71,371)","(20,802)","2,501 ","(128,437)","(148,650)","166,547 ","(136,951)","61,909 ","(16,885)","53,139 ","(25,667)","(14,051)","45,758 ","62,098 ","(91,506)","41,576 ","14,601 ","(38,789)","206,666 ","17,418 ","(28,287)","(51,355)","36,835 ","(132,560)","145,560 ","(2,149)","(37,732)","42,805 ","(107,138)","(120,393)","(3,495)","(11,629)"," 122,015.05 "," (7,782.88)"," (16,736.49)"," 59,410.88 "," (58,257.25)"," 244,941.37 "," (25,126.30)"," 102,353.48 "," 140,035.17 "," 111,164.55 "," (43,065.66)"," 104,251.70 "," (13,279.24)"," (20,808.28)"," 37,053.59 "," (4,628.13)"," (27,755.83)"," 12,072.52 "," (45,942.19)"," 40,113.33 "," 13,949.60 "," (153,295.25)"," 1,365.32 "," 92,330.07 "," (17,940.88)"," (38,993.28)"," (5,086.12)"," (9,199.01)"," 218,969.74 "," (27,196.18)"," (199,792.14)"," (175,259.18)"," 294,324.66 ",,,,,,,,,,,
,"$558,843 ",Canadian Publics Total,"$28,761 ","($105,005)","($171,231)","$395,621 ","$395,621 ",,,,,,,,,,,,,,,,,,,,,,"$16,837 ","($267,764)","$132,393 ","($15,233)","$40,202 ","($47,534)","($58,894)","($130,835)","$116,507 ","$100,822 ","$89,293 ","$173,258 ","$99,921 ","$2,369 ","$15,616 ","($2,993)","($5,991)","($35,069)","($41,714)","($29,360)","$98,304 ","$37,517 ","($46,049)","$33,275 ","$116,074 ",$0 ,"$55,596 ","($79,689)","($83,324)","$24,067 ","$35,431 ",$0 ,"$91,051 ","($97,309)","$82,075 ","($134,607)","$28,974 ","$73,506 ","$120,812 ","$72,410 ","$155,300 ","($38,131)","$96,829 ","($227,059)","$86,315 ","$40,506 ","$418,094 ","$1,239,102 ","($62,441)","($65,226)","($138,319)","$147,224 ","$236,779 ","($61,111)","$404,718 ","($78,726)","$63,960 ","($170,683)","$381,320 ","$99,119 ","($98,004)","$218,506 ","$10,809 ","$28,499 ","$126,787 ","($161,539)","($204,187)","($108,782)","$69,713 ","$85,922 ","$118,775 ","($86,276)","($210,520)","($17,481)","($237,264)","$16,110 ","$119,899 ","($45,479)","$71,573 ","($127,591)","($98,274)","($170,150)","$176,007 ","($17,076)","$174,791 ","($13,068)","$113,515 ","$906,440 ","$306,919 ","($131,632)","($77,931)","$422,546 ","($254,998)","($260,368)","($215,337)","($33,830)","($131,766)","$90,498 ","($99,597)","$287,775 ","($39,892)","$89,026 ","$222,754 ","$638,019 ","$194,664 ","($34,368)","$108,937 ","$205,292 ","$418,665 ","$139,642 ","$174,727 ","($118,474)","$205,859 ","$53,467 ","$315,434 ","($286,646)","($449,916)","$10,633 ","$43,077 ","($214,249)","($129,451)","$390,925 ","($178,829)","$481,536 ","($321,845)","$104,520 ","($127,972)","($475,650)","$148,620 ","$17,649 ","($211,912)","($76,453)","$360,883 ","($104,967)","($291,186)","$22,922 ","($522,335)","($340,672)","($74,411)",$550 ,"$9,981 ","$358,860 ","($588,813)","$558,887 ","($664,411)","($155,779)","($311,952)","$135,235 ","$196,360 ","($254,830)","$105,720 ","($274,934)","($211,413)","($13,781)","($263,854)","($525,606)","($9,767)","($47,226)","$382,155 ","($309,388)","$227,537 ","($152,155)","$70,125 ","($34,197)","$85,728 ","($455,179)","$290,645 ","($154,074)","$343,210 ","$566,627 ","($267,035)","$60,115 ","($309,457)","$155,605 ","($423,783)","$256,178 ","($379,123)","$188,433 ","$80,222 ","($173,482)","($499,550)","($15,551)","($24,947)"," $262,467.32 "," $342,477.18 "," $(211,650.28)"," $(218,866.99)"," $363,064.15 "," $564,048.59 "," $(123,220.51)"," $512,023.20 "," $487,989.39 "," $262,358.60 "," $(214,978.41)"," $464,550.08 "," $(279,518.44)"," $(41,230.62)"," $(158,738.33)"," $289,921.45 "," $(480,766.78)"," $(181,012.17)"," $(379,117.29)"," $560,163.33 "," $560,522.16 "," $(534,697.62)"," $(88,964.71)"," $65,182.73 "," $(81,543.31)"," $(504,621.79)"," $(228,338.56)"," $3,523.95 "," $776,694.01 "," $467,835.14 "," $61,875.65 "," $(941,920.35)"," $1,454,039.33 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Warrants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.09 ,"302,472 ",Verado Warrants,"(80,371)","(271,515)","(708,421)","236,106 ","236,106 ",,,,,,,,,,,,,,,,,,,,,,"51,784 ","(113,223)","85,778 ","(215,483)","(109,006)","(72,918)","(254,982)","(6,107)","(147,130)","92,426 ","(143,568)","(249,600)","(1,053)","107,894 ",(721),"4,678 ","(9,329)","92,808 ","568,351 ","(33,544)","279,761 ","214,543 ","2,144 ","19,637 ","(24,518)","(3,191)","98,977 ","82,068 ","(11,510)","11,355 ","(22,893)","22,497 ",(120),"(37,673)","(15,962)","(32,579)","(80,440)","(23,765)","(580,067)","323,837 ","16,960 ","15,879 ","(15,779)","(55,338)","(44,675)","(25,199)","44,056 ","(44,455)","(2,883)","(79,037)","(153,973)","(218,964)","279,327 ","(244,288)","(37,955)","(83,603)",580 ,"(87,595)","(183,725)","(47,791)","42,774 ","(5,265)","136,956 ",(702),"362,874 ","(112,640)","(117,421)","80,432 ","(84,143)",(429),"(1,816)","(173,191)","(140,451)","(351,643)","1,079 ","(114,661)","107,294 ","106,167 ","(438,588)","(125,725)","118,721 ","112,748 ","(123,625)","(363,209)","(3,145)","471,070 ","(8,227)","(116,081)","173,351 ","(51,689)","75,288 ","(322,761)","(494,938)","(261,846)","189,716 ","(401,100)","262,229 ","(337,347)","(200,990)","(205,672)","(108,639)","(328,115)","1,289 ","(81,501)","1,054,939 ","(837,002)","139,083 ","(285,731)","(441,296)","365,208 ","(233,525)","280,144 ","(148,392)","77,200 ","(145,474)","72,896 ","(684,443)","219,170 ","(156,421)","(158,548)","71,569 ","303,257 ","(73,723)","305,949 ","(764,320)","(144,273)","1,207,381 ","(298,011)","288,762 ","76,737 ","206,718 ","282,489 ",(471),"476,274 ","(990,496)","(69,932)","60,414 ","(562,101)","2,690,838 ","281,250 ","(281,250)","(187,500)","(750,000)","562,500 ","937,500 ","(187,500)",0 ,"(562,500)","(656,250)","(468,750)","(93,750)","(16,593,750)","(1,500,000)","(1,125,000)","1,781,250 ","750,000 ","468,750 ","(750,000)","(750,000)","187,500 ","187,500 ","(750,000)","375,000 ",0 ,"(1,125,000)","375,000 ","(1,359,375)","(1,265,625)","(1,500,000)","4,875,000 ","(562,500)","(750,000)","187,500 ","1,312,500 ","1,125,000 ","(1,312,500)","3,375,000 ","(750,000)","562,500 ","(1,031,250)","(3,468,750)","(1,687,500)","(1,125,000)"," 3,000,000.00 "," 2,812,500.00 "," 1,125,000.00 "," (187,500.00)"," (3,562,500.00)"," (562,500.00)"," (4,875,000.00)"," (2,250,000.00)"," 2,625,000.00 "," 2,812,500.00 "," (562,500.00)"," (6,375,000.00)"," (1,875,000.00)"," 6,187,500.00 "," 2,812,500.00 "," 3,375,000.00 "," (2,062,500.00)"," (3,000,000.00)"," (1,875,000.00)"," 1,125,000.00 "," 5,437,500.00 "," (375,000.00)"," (1,875,000.00)"," (7,500,000.00)"," (4,875,000.00)"," (3,562,500.00)"," (2,812,500.00)"," (2,250,000.00)"," 3,000,000.00 "," (375,000.00)"," (375,000.00)"," (3,000,000.00)"," (7,125,000.00)",,,,,,,,,,,
