RR_Definition,UI Section,UI Field Name,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059,060,061,063,064,065,066,067,068,069,070,071,072,073,074,075,076,077,078,079,080,081,082,083,084,085,086,087,088,089,090,091,092,093,094,095,096,097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
debt_to_net_worth_cmb,Obligor,Leverage: Debt / Net Worth CmB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total_income,Obligor,Total Income,0,0,0,0,0,0,0,"88,200","230,842","12,854","239,500","4,948","8,675","272,336",0,"655,238","15,700","938,400",587500,0,244260,604000,289000,,247600,342600,293689,1865492,64119,"770,567","630,868","143,846","118,800","223,205","263,000","135,000","383,336",0,"137,279","155,931",136248,86222,138360,80226,30020,247392,96821,422910,"78,080","61,080","147,592","105,243","178,184","81,810","94,557","145,896","250,800","324,600","149,056",445261,29751348,164645,211356,114456,254244,"239,279","28,101","10,000","480,000","325,243",,"438,844","146,000","116,114","132,000","171,684",,86160,63180,906108,0,220617,498162,98400,261000,2893012,3813931,0,72000,50000,153000,,"35,000,000","256,000,000","2,110,000,000","1,191,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
net_income,Obligor,Net Income,1635263,61109000,0,61109000,0,103160000,4300000,"71,200","228,358","12,854","170,027","4,948","8,675","70,483",0,"503,984",0,"434,854",211200,0,123620,388810,282000,,15812,83409,153669,408571,35695,"414,772","379,708","91,418","118,800","159,705","214,493","104,000","283,699",0,"112,532","118,673",77035,27628,98480,38845,24116,196915,68203,256424,"42,912","50,748","120,310","80,421","138,375","63,871","63,803",,,,,358697,17595284,,,,,"149,434","28,101","10,000","480,000","217,440",,"151,654",,"63,616",,"110,684",,47140,50280,771524,,172881,209153,,,0,-776000,0,,,,,"35,000,000","256,000,000","2,110,000,000","1,191,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
net_income_to_tot_assets,Obligor,Return on Assets: Net Income / Total Assets,1.49,5.08,0.00,5.08,0.00,5.43,0.58,712.00,2.50,1.01,0.00,0.14,0.09,2.56,0.00,5.04,0.00,4.05,4.47,0.00,5.69,4.74,9.17,0.00,0.14,1.26,5.07,1301.18,2.59,3.42,3.42,1.87,6.33,7.57,4.44,6.30,2.99,0.00,0.00,3.14,0.67,1.74,1.32,0.52,0.82,9.85,1.60,3.15,0.20,5.07,4.21,3.19,0.00,6.79,0.67,0.00,0.00,0.00,0.00,8.25,5.00,0.00,0.00,0.00,0.00,0.40,6.11,0.16,36.92,2.37,0.00,2.77,0.00,1.05,0.00,4.70,0.00,6.20,8.11,1.23,0.00,5.47,3.18,0.00,0.00,0.00,-59.90,0.00,0.00,0.00,0.00,0.00,3.86,16.46,34.06,12.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
net_income_to_tot_assets_cmb,Obligor,Return on Assets: Net Income / Total Assets CmB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total_revenue,Obligor,Total Revenue,16577100,647039000,0,647039000,0,0,0,"88,200","10,641,272","12,854","239,500","4,948","8,675","272,336",0,"655,238","15,700","938,400",587500,0,244260,604000,289000,,247600,342600,293689,1865492,64119,"770,567","630,868","143,846","118,800","223,205","263,000","135,000","472,861",0,"137,279","155,931",136248,86222,138360,80226,30020,247392,96821,422910,,,,,,,,,,,,,,,,,,"149,434",0,"10,000","480,000","363,540",,"438,844",,,"132,000","171,684",240996,86160,63180,771524,xxxx,220617,498162,98400,261000,283012,3813931,0,72000,50000,153000,0,"192,000,000","564,000,000","22,831,000,000","8,902,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
revenue_to_tot_assets,Obligor,Total Revenue / Total Assets,15.14,53.78,0.00,53.78,0.00,0.00,0.00,882.00,116.63,1.01,0.00,0.14,0.09,9.89,0.00,6.55,0.42,8.74,12.44,0.00,11.25,7.37,9.40,0.00,2.24,5.16,9.68,5941.06,4.65,6.35,5.69,2.94,6.33,10.58,5.45,8.18,4.98,0.00,0.00,4.12,1.19,5.43,1.86,1.08,1.02,12.37,2.27,5.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.16,36.92,3.96,0.00,8.01,0.00,0.00,11.41,7.30,0.59,11.34,10.19,1.23,0.00,6.98,7.57,4.44,9.83,4.87,294.41,0.00,2.94,0.64,1.78,0.00,21.19,36.27,368.54,97.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
revenue_to_tot_assets_cmb,Obligor,Total Revenue / Total Assets CmB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
re_ltv,Obligor,RE LTV,50,74,936,74,44,66,59,0,60,51,0,21,25,26,0,14,20,58,64,0,43,55,39,0,20,27,1,48712,29,23,24,37,60,0,45,26,28,0,0,29,5,49,51,39,24,70,38,18,53,40,31,24,0,26,29,27,0,31,43,46,62,56,10,9,0,30,75,64,0,7,34,38,22,38,45,0,61,41,35,43,0,47,36,34,17,1,38,0,25,51,14,0,129,98,69,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stated_liquidity,Obligor,Stated Liquidity,1514238,143000000,0,143000000,4000000,40500000,14000000,"10,000","498,300","12,854",0,"4,848","473,000","54,584",0,0,"114,036","300,000",99100,0,0,0,0,,1800,24000,32697,254870,0,"1,331,000","208,500","105,090","659,054","9,187","151,000","150,000","113,625",0,0,"104,000",100000,53000,40000,275000,102000,0,671500,1750000,,,,,,,,,,,,,,,,,,"149,434",0,,"400,000","756,573",,"558,000",,"35,000",,"8,199,752",994698,,,6127304,0,10000,73,40000,415000,306922,-3303,0,45000,44000,550000,0,"1,659,000,000","-219,000,000","290,000,000","2,632,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stated_liquidity_as_pct_of_loan,Obligor,Stated Liquidity (as a % of loan amount),6,815,0,428,4,238,87,2,14,4,0,1,82,5,0,0,19,9,5,0,0,0,0,0,0,1,3,25,0,43,8,19,60,1,10,21,5,0,0,10,71,9,4,31,23,0,105,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,61,122,0,103,0,4,0,89,101,0,0,781,0,1,0,5,84,61,-1,0,9,4,45,0,138,-14,15,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stated_liquidity_as_pct_of_loan_cmb,Obligor,Stated Liquidity (as a % of loan amount) CmB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total_re_debt ,Obligor,Total RE Debt,52994733,4155501378,0,4155501378,60000000,970300000,405000000,"500,000","3,605,000","651,248",0,"737,773","2,439,000","711,827",,"1,370,141","695,745","6,228,340",3040000,1225000,930000,4515000,1200000,,2165000,1760476,No SORE required,31400000,400000,"2,736,000","2,640,000","1,794,647","1,000,000",0,"2,200,000","435,000","2,861,801",0,0,"1,110,000",538000,775000,3759000,2884386,70000,1400000,1612000,1500000,"11,546,000","400,000","880,000","608,453",0,,"2,784,000","730,000","1,524,250","4,635,000","3,691,264",2017500,202185670,8386500,235000,502000,1400000,"4,438,109","1,209,664","2,224,500",0,"604,689",,"2,091,563","2,164,463","2,275,677",,,,314000,217000,118037241,0,"1,492,450",139558,750000,450000,0,133257,,591000,3987190,1090000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total_all_prop_values,Obligor,Total All Prop Values,106825448,784972000,0,784972000,149100000,1380000000,680600000,"895,000","5,150,000","1,203,000",0,"3,010,000","2,120,000","2,700,000",,"10,000,000","2,405,000","25,650,000",4581250,4400000,2171000,8200000,3075000,,9500000,6615000,No SORE,49400000,1380000,"8,300,000","8,739,000","4,610,000","1,550,000",1900000,"4,500,000","1,170,000","8,994,000",0,0,"3,200,000",11475000,1450000,7200000,4742500,2250000,2000000,3121000,6300000,"20,855,000","1,000,000","2,700,000","1,600,000",0,,"8,800,000","2,670,000","4,280,000","14,250,000","8,884,000",4300000,338470000,16050000,1500000,4400000,2700000,"21,000,000","1,735,000","6,030,000","900,000","8,798,000",,"4,860,469","5,830,000","6,050,000",,,,760000,620000,204779290,0,"3,150,000",4800000,1950000,2585000,5500000,1,1650000,24000000,7699000,6982000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
re_debt_to_value,Obligor,Total RE Debt to Value,50,529,0,529,40,70,60,56,70,54,0,25,115,26,0,14,29,24,66,28,43,55,39,0,23,27,0,64,29,33,30,39,65,0,49,37,32,0,0,35,5,53,52,61,3,70,52,24,55,40,33,38,0,0,32,27,36,33,42,47,60,52,16,11,52,21,70,37,0,7,0,43,37,38,0,0,0,41,35,58,0,47,3,38,17,0,13325700,0,2,52,16,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_trdl_holdings,Obligor,No of Traditional Holdings,7,168,10,168,6,148,,1,,1,1,2,1,3,1,1,1,6,2,2,1,2,2,,1,2,No SORE,14,1,1,4,1,1,1,1,1,2,1,1,1,6,1,2,6,1,1,0,1,9,1,2,1,1,1,9,3,3,5,7,2,7,3,,3,1,3,3,2,1,2,,6,,4,xxxx,xxxx,xxxx,1,1,37,4,1,1,2,1,1,1,1,1,4,2,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total_no_holdings,Obligor,Total No. of Holdings,15,15,13,15,9,229,,1,,1,1,2,1,4,1,1,1,6,2,2,1,2,2,,1,3,,14,1,1,5,8,1,1,2,1,4,1,1,3,8,2,3,8,2,1,4,2,14,1,2,1,1,1,9,5,5,5,7,2,7,3,,3,1,3,3,2,1,3,,6,,5,xxxx,xxxx,xxxx,1,1,37,4,1,1,2,3,1,1,1,2,8,5,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition_re_holdings,Obligor,Composition of RE holdings,47,1120,77,1120,67,65,0,100,0,100,100,100,100,75,100,100,100,100,100,100,100,100,100,0,100,67,0,100,100,100,80,13,100,100,50,100,50,100,100,33,75,50,67,75,50,100,0,50,64,100,100,100,100,100,100,60,60,100,100,100,100,100,0,100,100,100,100,100,100,67,0,100,0,80,0,0,0,100,100,100,100,100,100,100,33,100,100,100,50,50,40,0,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
market_strength,Obligor,Market Strength and Diversity,,,,,,,,Most prop Quad QIII-A or QII-B,Most prop Quad QII-A or QI-B,Most prop Quad QII-A or QI-B,Most prop Quad QIII-A or QII-B,Most prop Quad QIII-A or QII-B,Most prop Quad QIII-A or QII-B,All prop in Quad QI-A,All prop in Quad QI-A,All prop in Quad QI-A,All prop in Quad QI-A,All prop in Quad QI-A,,All prop in Quad QI-A,Most prop Quad QIV-A or QIII-B,,All prop in Quad QI-A,All prop in Quad QI-A,Most prop Quad QIII-A or QII-B,,,Most prop Quad QIII-A or QII-B,All prop in Quad QI-A,Most prop Quad QIII-A or QII-B,Most prop in unrated markets,Most prop Quad QIV-B,Most prop Quad QIII-A or QII-B,Most prop Quad QIV-A or QIII-B,Most prop Quad QIII-A or QII-B,Most prop Quad QIV-B,Most prop Quad QIV-A or QIII-B,All prop in Quad QI-A,All prop in Quad QI-A,Most prop Quad QIII-A or QII-B,Most prop Quad QIV-B,Most prop Quad QIII-A or QII-B,Most prop Quad QIII-A or QII-B,Most prop Quad QIII-A or QII-B,Most prop Quad QIV-B,All prop in Quad QI-A,Most prop Quad QII-A or QI-B,Most prop Quad QIV-B,Most prop Quad QIII-A or QII-B,Most prop Quad QIII-A or QII-B,Most prop Quad QI-A,Most prop Quad QIII-A or QII-B,Most prop Quad QII-A or QI-B,Most prop Quad QIII-A or QII-B,Most prop Quad QIV-A or QIII-B,Most prop Quad QII-A or QI-B,Most prop Quad QIII-A or QII-B,Most prop Quad QI-A,Most prop Quad QIII-A or QII-B,Most prop Quad QIII-A or QII-B,Most prop Quad QIII-A or QII-B,Most prop Quad QIV-A or QIII-B,Most prop Quad QIII-A or QII-B,Most prop Quad QIV-B,Most prop Quad QIV-B,Most prop Quad QIV-B,Most prop Quad QIII-A or QII-B,Most prop Quad QIII-A or QII-B,All prop in Quad QI-A,Most prop Quad QIII-A or QII-B,All prop in Quad QI-A,Most prop Quad QII-A or QI-B,Most prop Quad QIII-A or QII-B,Most prop Quad QIII-A or QII-B,Most prop Quad QIV-B,All prop in Quad QI-A,Most prop Quad QI-A,Most prop Quad QIV-B,All prop in Quad QI-A,Most prop Quad QIII-A or QII-B,All prop in Quad QI-A,Most prop Quad QIII-A or QII-B,Most prop Quad QIV-A or QIII-B,Most prop Quad QIII-A or QII-B,Most prop Quad QIII-A or QII-B,Most prop Quad QIV-A or QIII-B,Most prop Quad QII-A or QI-B,Most prop Quad QIII-A or QII-B,All prop in Quad QI-A,Most prop Quad QIII-A or QII-B,All prop in Quad QI-A,All prop in Quad QI-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pd_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
property_id,Loan/Property,Property ID,,,,,,,,560569,559977,559799,559793,459624,560351,462074,560033,560029,559906,560520,515338,559869,560513,560817,560450,551508,502556,560811,560822,508707,560578,560149,552756,560030,559744,560510,559985,559613,559794,560807,559914,560524,560126,556153,505280,560330,560526,514186,560851,560207,559855,560034,560269,560352,556091,560640,454144,559961,500995,560396,560454,560731,561249,560514,559797,472758,560579,561124,560741,560962,560341,560264,514951,560270,560527,551851,559919,,560211,560198,560410,560409,491004,560272,560802,560327,559745,559759,560130,560830,559782,491896,559857,560589,531081,528100,530239,529038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
property_type,Loan/Property,Property Type,Apartment,Land,Apartment,Apartment,Retail - Strong Anchor/Urban,Industrial - Warehouse,Land,Apartment,Industrial - Warehouse,Apartment,Apartment,Apartment,Apartment,Apartment,Office,Retail - Non Anchor/OO,Retail - Non Anchor/OO,Retail - Non Anchor/OO,Apartment,Apartment,Apartment,Apartment,Apartment,Apartment,Industrial - Warehouse,Retail - Other Anchored,Retail - Other Anchored,Apartment,Apartment,Apartment,Apartment,Apartment,Office,Retail - Other Anchored,Industrial - Other,Industrial - Other,Retail - Other Anchored,Retail - Other Anchored,Retail - Other Anchored,Office,Apartment,Apartment,Apartment,Apartment,Apartment,Apartment,Apartment,Apartment,Apartment,Office,Retail - Non Anchor/OO,Retail - Non Anchor/OO,Industrial - Other,Apartment,Apartment,Apartment,Apartment,Apartment,Apartment,Apartment,Apartment,Apartment,Industrial - Warehouse,Apartment,Apartment,Apartment,Apartment,Apartment,Apartment,Apartment,Apartment,Apartment,Apartment,Apartment,Apartment,Apartment,Apartment,Apartment,Apartment,Apartment,Office,Industrial - Other,Retail - Non Anchor/OO,Retail - Non Anchor/OO,Industrial - Warehouse,Retail - Non Anchor/OO,Industrial - Warehouse,Apartment,Apartment,Apartment,Apartment,Apartment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
property_addr_state,Loan/Property,Property State,TX,NV,TX,NC,TX,CA,TX,New Jersey,California,New York,CT,California,California,California,New Jersey,New York,PA,California,IL,California,Oregon,California,NY,California,NY,California,NY,California,California,CA,NV,CA,CA,NY,CA,NY,CA,NY,NY,CA,NJ,CA,CA,MN,CA,NY,MD,CA,California,CA,NY,NJ,NJ,NY,CA,WA,CA,CA,CA,CO,CA,CA,CA,CA,CA,CA,CO,CT,NY,CA,IL,CA,WA,CA,MA,CA,CA,CA,NY,CA,CA,WA,NY,CA,PA,NY,CA,NY,NY,CA,CA,CA,WA   ,NJ   ,ID  ,UT   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
property_addr_zip,Loan/Property,Property Zip,78717,89178,78216,27606,75240,,75220,11235,92083,11423,6606,90302,95682,94618,7632,11217,19053,94928,60050,94085,97045,94306,11373,91356,11237,95742,10463,95117,90004,95815,89074,95816,92705,11561,94518,11779,92373,10002,10459,92866,07514,95206,94606,55032,92841,11219,21201,92084,95662,92028,11223,07762,08846,11238,92103,98133,90802,93117,94602,80909,95662,90026,92154,94080,90057,94010,80210,06604,11204,91020,60202,91606,98277,91607,02746,94709,94704,90303,11215,94040,90274,98003,44590,90291,19038,10013,95112,11215,11215,90815,94040,90046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
op_statement_date,Loan/Property,Operating Statement Date,,,,,,,,12/31/06,10/31/06,12/31/06,12/31/06,12/20/06,12/31/06,11/30/06,12/31/06,1/10/07,12/1/06,12/31/06,12/14/06,11/22/06,12/31/06,1/24/07,6/25/03,12/27/06,2/13/07,12/31/06,12/31/06,10/31/06,2/28/07,12/31/05,12/31/06,12/31/06,11/30/06,12/31/06,12/31/06,12/31/06,12/31/06,,12/31/06,12/31/06,12/31/06,12/31/06,12/31/06,12/31/06,11/30/06,2/28/07,12/31/06,12/31/06,1/31/07,12/31/06,1/15/07,12/31/06,12/18/07,2/22/07,12/31/06,,12/31/06,1/10/07,12/31/06,12/31/06,1/31/07,12/31/06,12/31/06,12/31/06,12/31/06,12/31/06,12/31/06,12/31/06,12/31/06,12/31/06,11/31/06,12/31/07,12/31/06,12/31/06,Not dated,,,12/31/06,,11/31/06,12/31/05,12/31/05,12/31/06,12/31/07,12/31/05,12/31/06,6/31/06,12/31/06,12/31/05,3/2/07,12/31/05,12/31/05,12/31/05,12/31/05,12/31/05,12/31/05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
loan_balance,Loan/Property,Loan Amount,25650000 ,17540000 ,23774646 ,33432267 ,113577166 ,17000000 ,16173000 ,550000,3605000,330000,1166250,550000,575000,1100000,1120000,"3,000,000","600,000","3,400,000",2012500,500000,1500000,860000,1097000,3100000,5000000,2490000,1200000,1035000,400000,3100000,2500000,550000,1100000,1300000,1500000,730000,2300000,"2,400,000","1,000,000","1,000,000",140000,610000,1050000,900000,450000,1500000,637500,1500000,611000,550000,1125000,1000000,1106250,705000,800000,450000,"731,000","1,820,000","700,000",1010000,16500000,915000,500000,300000,1400000,1050000,345000,442500,654000,620000,575000,540000,640500,"950,000","208,000","9,200,000",980000,440000,492000,785000,4250000,2000000,3300000,825000,492000,499500,486000,1100000,500000,1000000,1225000,500000,1200000000,1550000000,1998000000,2500000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
loan_to_value,Loan/Property,Loan To Value (%),68,65,96.1,75,81.12,73.6,74,65,70,64,75,32,66,39,66,45,40,67,65,48,75,51,72,64,46,59,48,55,29,37,43,28,58,68,53,62,52,75,67,40,16,60,68,73,43,54,75,30,64,63,75,63,75,75,62,52,75,51,67,54,67,57,49,20,52,29,75,75,65,13,40,52,59,53,65,67,68,50,73,48,58,57,73,63,72,5,54,67,29,67,29,42,60.4,22,55.3,65.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
property_value_date,Loan/Property,Latest Value Assessment Date,,,,,,,,12/20/06,1/12/07,1/29/07,1/19/07,2/15/07,2/15/07,2/4/07,1/30/07,6/28/06,1/24/07,1/29/07,1/26/07,12/21/06,2/25/07,2/18/05,2/6/07,2/5/07,2/23/07,9/12/06,2/16/07,1/21/07,2/9/07,2/12/07,2/8/07,2/20/07,1/25/07,2/21/07,2/7/07,2/9/07,1/22/06,12/19/06,1/3/07,2/7/07,1/16/07,2/16/07,2/20/07,2/21/07,2/15/07,2/20/07,2/15/07,2/19/07,2/15/07,1/19/07,1/29/07,2/14/07,1/3/07,2/5/07,3/1/07,3/26/37,1/19/07,2/14/07,2/7/07,2/27/07,2/2/07,2/15/07,2/8/07,2/7/07,2/6/07,3/12/07,6/8/59,2/22/07,2/9/07,2/23/07,1/12/07,2/10/07,3/5/07,2/8/07,1/18/07,2/1/07,1/19/07,1/4/07,1/30/07,1/10/07,1/3/07,1/31/07,3/14/07,2/5/07,1/29/07,1/23/07,12/18/06,2/7/07,2/8/07,2/16/07,10/31/06,2/1/07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
debt_serv_coverage,Loan/Property,Debt Service Coverage Ratio,1.07,,0.81,1.03,1.07,1.03,,1.38,1.24,1.51,1.53,1.81,1.2,1.28,1.28,1.44,2.69,1.25,1.15,1.06,1.30,1.02,1.01,1,1.46,1.26,1.98,1.02,2.20,1.44,2.01,2.22,1.26,1.25,1.33,1.26,1.36,1.22,1.22,1.27,4.92,1.15,1.04,1.18,1.16,1.07,1.15,2.63,32,1.25,1.27,1.28,1.3,1.22,1.01,1.16,1.07,1.1,1.07,1.63,1.14,1.2,1.54,2.22,1.44,29,1.16,1.19,1.18,4.69,1.25,1.09,1.26,1.19,1.24,1.05,1,1.37,1.12,1.05,1.14,1.15,1.25,1.44,1.2,1.16,1.25,1.29,2.67,1.15,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
interest_rate,Loan/Property,Interest Rate (%),7.5,6.5,6.5,6.5,6.5,7.25,,6.35,6.45,6.75,6.14,6.5,6.3,6.5,6.07,6.11,6.2,6.39,6.2,6.25,6.2,6.5,5.94,6.55,6.22,6.19,6.46,6.4,5.89,6.5,5.81,6.4,6.46,6.26,6.5,6.34,6.54,6.2,6.41,6.34,8.5,6.5,6.4,6.45,6.7,6.35,6.47,5.72,6.2,6.66,6.45,6.12,6.33,6.35,6.45,6.3,6.2,6.07,6.6,6.35,6,6.55,6.83,6.8,6.08,5.89,6.5,6.55,6.25,6.4,6.55,6.5,6.17,6.35%,6.65%,6.45%,6.15,6.77,6.13,6.4,5.99,6.4,6.15,6.7,6.61,6.09,6.61,6.15,6.3,6.5,6.5,5.885,6.23,5.6,7.82,3.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
int_only_term_remaining,Loan/Property,Interest Only Term,3,1,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,NA,NA,NA,,36,0,84,0,0,0,0,0,0,0,0,36,60,36,0,0,0,0,132,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amortization_period_remaining,Loan/Property,Remaining Amortization Period (months),,,,,,,,360,360,360,360,360,360,240,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,300,360,360,360,360,360,360,360,360,360,360,360,360,180,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,180,360,360,360,360,360,360,240,360,360,360,180,360,360,260,,360,360,209,84,104,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maturity_term_remaining,Loan/Property,Remaining Maturity Term (months),29,8,36,32,36,21,6,360,120,360,120,360,360,240,120,120,84,120,360,360,360,360,360,360,120,120,120,360,132,360,120,360,84,120,120,120,120,120,120,120,36,360,360,360,360,180,360,132,360,120,84,120,120,360,360,360,360,360,360,360,360,360,120,360,132,120,480,360,360,360,360,360,120,360,180,360,360,360,360,360,120,84,120,84,120,180,84,120,120,,360,132,89,84,104,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
note_type,Loan/Property,Interest Rate Type,Floating,Floating,Floating,Floating,Floating,Floating,Floating,Floating,Fixed,Floating,Fixed,Floating,Floating,Floating,Floating,Fixed,Fixed,Fixed,Floating,Floating,Floating,Floating,Floating,Floating,Fixed,Floating,Fixed,Floating,Fixed,Floating,Fixed,Floating,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Floating,Floating,Floating,Floating,Floating,Fixed,Floating,Floating,Floating,Fixed,Fixed,Fixed,Fixed,Floating,Floating,Floating,Floating,Floating,Floating,Floating,Floating,Floating,Fixed,Floating,Floating,Fixed,Floating,Floating,Floating,Floating,Floating,Floating,Fixed,Floating,Fixed,Floating,Floating,Floating,Floating,Floating,Floating,Fixed,Floating,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Floating,Floating,Floating,Fixed,Fixed,Floating,Floating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
